node_id,cycle_id,FFc,dFF,rho_recv,tau,lambda_t_norm,is_attacker
132,2,1.0,0.25,1.0,1.0,0.0004,1
134,2,1.0,0.8571,1.0,1.0,0.0004,0
140,2,1.0,0.0,1.0,1.0,0.0004,0
141,2,1.0,0.0,1.0,1.0,0.0004,0
143,2,1.0,0.0,1.0,1.0,0.0004,0
148,2,1.0,0.0,1.0,1.0,0.0004,1
152,2,0.1875,0.4375,1.0,1.0,0.0004,1
154,2,1.0,0.1667,0.83335,1.0,0.0004,1
155,2,1.0,0.8333,1.0,1.0,0.0004,0
168,2,1.0,0.8333,1.0,1.0,0.0004,1
188,2,1.0,0.0,1.0,1.0,0.0004,0
193,2,1.0,0.2647,0.4706,1.0,0.0004,1
195,2,1.0,1.0,1.0,1.0,0.0004,1
197,2,0.0,0.0,1.0,1.0,0.0004,1
198,2,1.0,0.8333,1.0,1.0,0.0004,0
238,2,1.0,0.0,0.6,1.0,0.0004,0
239,2,1.0,0.0714,0.8571,1.0,0.0004,0
240,2,1.0,0.75,1.0,1.0,0.0004,0
241,2,1.0,0.0,1.0,1.0,0.0004,0
248,2,1.0,0.8333,1.0,1.0,0.0004,1
249,2,0.0667,0.4333,0.5333,1.0,0.0004,1
250,2,1.0,0.4848,1.0,1.0,0.0004,0
251,2,1.0,0.4083,1.0,1.0,0.0004,0
252,2,1.0,0.6667,1.0,1.0,0.0004,0
257,2,0.0,0.0,1.0,1.0,0.0004,1
258,2,1.0,0.7857,1.0,1.0,0.0004,0
261,2,1.0,0.8571,1.0,1.0,0.0004,0
262,2,1.0,0.6667,1.0,1.0,0.0004,1
263,2,1.0,0.6667,1.0,1.0,0.0004,0
271,2,0.0,0.0,0.875,1.0,0.0004,1
272,2,1.0,0.6667,1.0,1.0,0.0004,0
273,2,1.0,0.5263,1.0,1.0,0.0004,0
283,2,1.0,0.0,1.0,1.0,0.0004,0
284,2,1.0,0.0,1.0,1.0,0.0004,0
1,3,1.0,0.0,1.0,1.0,0.0004,0
2,3,1.0,0.0,1.0,1.0,0.0004,1
3,3,1.0,0.0,0.3333,1.0,0.0004,1
5,3,0.0,0.0,1.0,1.0,0.0004,1
6,3,1.0,0.0455,1.0,1.0,0.0004,0
12,3,0.0,0.0,1.0,1.0,0.0004,1
14,3,1.0,0.8571,1.0,1.0,0.0004,0
21,3,1.0,0.0,1.0,1.0,0.0004,0
23,3,1.0,0.0,1.0,1.0,0.0004,0
27,3,0.0,0.0,1.0,1.0,0.0004,1
29,3,0.0,0.0,1.0,1.0,0.0004,1
30,3,1.0,0.0,1.0,1.0,0.0004,0
31,3,1.0,1.0,1.0,1.0,0.0004,1
36,3,1.0,0.0,1.0,1.0,0.0004,0
38,3,1.0,0.0,1.0,1.0,0.0004,0
41,3,0.0,0.0,1.0,1.0,0.0004,1
42,3,1.0,0.0,1.0,1.0,0.0004,0
44,3,1.0,0.0556,0.94445,1.0,0.0004,0
51,3,1.0,0.0,1.0,1.0,0.0004,0
57,3,1.0,0.0,1.0,1.0,0.0004,0
62,3,1.0,0.6667,1.0,1.0,0.0004,0
