node_id,cycle_id,FFc,dFF,DelayInfl,tau,lambda_t_norm,is_attacker,rho_recv,node_pdr,sum_abs_ff_deviation_normalized
262,1,1.0,0.0952,0.4319372878029348,1.0,0.8528,0,1.0,100.0,0.0952
263,1,1.0,0.6667,0.4533803596694486,1.0,0.8528,1,1.0,100.0,0.6667
268,1,1.0,0.0,0.4611725142001764,1.0,0.8528,0,1.0,100.0,0.0
269,1,1.0,0.30374999999999996,0.33884480169878084,1.0,0.8528,0,1.0,100.0,0.30374999999999996
270,1,1.0,0.125,0.4596004128474857,1.0,0.8528,0,1.0,100.0,0.125
273,1,1.0,0.0,0.31141277229820713,1.0,0.8528,1,1.0,100.0,0.0
279,1,1.0,0.5556,0.40404957685085646,1.0,0.8528,0,1.0,100.0,0.5556
280,1,1.0,0.7143,0.49767260647569056,1.0,0.8528,0,1.0,100.0,0.7143
281,1,1.0,0.8,0.38171304365657105,1.0,0.8528,1,1.0,100.0,0.8
289,1,1.0,0.0,0.3339989131994997,1.0,0.8528,0,0.125,100.0,0.0
290,1,1.0,0.0,0.3038940266983821,1.0,0.8528,0,1.0,100.0,0.0
291,1,1.0,0.75,0.38038017511842026,1.0,0.8528,0,1.0,100.0,0.75
292,1,1.0,0.1667,0.330141284065044,1.0,0.8528,0,1.0,100.0,0.1667
28,2,1.0,0.0,0.298972665942133,1.0,0.0004,1,1.0,100.0,0.0
30,2,1.0,0.0,0.41493222876125246,1.0,0.0004,0,1.0,100.0,0.0
38,2,1.0,0.0,0.3850964791764923,1.0,0.0004,0,1.0,100.0,0.0
41,2,1.0,0.06665,0.4265435642955277,1.0,0.0004,0,1.0,100.0,0.06665
42,2,1.0,0.0,0.41585498390304926,1.0,0.0004,0,1.0,100.0,0.0
44,2,1.0,0.0,0.4289786125863801,1.0,0.0004,0,1.0,100.0,0.0
57,2,1.0,0.0,0.45297024627309457,1.0,0.0004,0,1.0,100.0,0.0
62,2,1.0,0.8571,0.38745463120552837,1.0,0.0004,0,1.0,100.0,0.8571
70,2,1.0,0.3333,0.43010642442635394,1.0,0.0004,1,1.0,100.0,0.3333
75,2,0.9285499999999999,0.04565,0.3307222780432123,1.0,0.0004,0,1.0,92.85499999999999,0.04565
111,2,1.0,0.375,0.42805585744458347,1.0,0.0004,0,1.0,100.0,0.375
112,2,1.0,1.0,0.4198535895175016,1.0,0.0004,1,1.0,100.0,1.0
118,2,1.0,0.0,0.3094305575491623,1.0,0.0004,0,1.0,100.0,0.0
121,2,1.0,0.27275,0.4632230811819468,1.0,0.0004,1,1.0,100.0,0.27275
122,2,1.0,0.0,0.3590542785080075,1.0,0.0004,0,1.0,100.0,0.0
123,2,1.0,0.0,0.49726249307933645,1.0,0.0004,0,1.0,100.0,0.0
130,2,1.0,0.0,0.38683946111099726,1.0,0.0004,0,1.0,100.0,0.0
132,2,1.0,0.0,0.3683843582750631,1.0,0.0004,0,1.0,100.0,0.0
140,2,1.0,0.0,0.3350626448212931,1.0,0.0004,0,1.0,100.0,0.0
152,2,1.0,0.6111,0.4284864765107552,1.0,0.0004,0,1.0,100.0,0.6111
154,2,1.0,0.0,0.3289109438759817,1.0,0.0004,0,1.0,100.0,0.0
155,2,1.0,0.0,0.35228740746816495,1.0,0.0004,0,1.0,100.0,0.0
168,2,1.0,0.8824,0.3252199233087949,1.0,0.0004,0,1.0,100.0,0.8824
188,2,1.0,0.0,0.3543379744499354,1.0,0.0004,0,1.0,100.0,0.0
193,2,1.0,0.1905,0.3459306498246766,1.0,0.0004,0,1.0,100.0,0.1905
195,2,1.0,0.0,0.38909508479094473,1.0,0.0004,0,1.0,100.0,0.0
239,2,1.0,0.3,0.48424139274509403,1.0,0.0004,0,1.0,100.0,0.3
251,2,1.0,0.44015,0.4247656295147426,1.0,0.0004,0,1.0,100.0,0.44015
262,2,1.0,0.2778,0.3935038038017512,1.0,0.0004,0,1.0,100.0,0.2778
273,2,1.0,0.4444,0.4611725142001764,1.0,0.0004,1,1.0,100.0,0.4444
284,2,1.0,0.0,0.34111181741751595,1.0,0.0004,0,1.0,100.0,0.0
1,3,1.0,0.0,0.4801197531117354,1.0,0.0004,0,0.5,100.0,0.0
2,3,1.0,0.0,0.42262185494289173,1.0,0.0004,0,1.0,100.0,0.0
5,3,1.0,0.0,0.4671191584473107,1.0,0.0004,0,1.0,100.0,0.0
6,3,1.0,0.07835,0.39165829351815784,1.0,0.0004,0,1.0,100.0,0.07835
22,3,1.0,0.2182,0.6780106517633944,1.0,0.0004,0,0.4545,100.0,0.2182
30,3,1.0,0.0,0.5417597965837554,1.0,0.0004,0,1.0,100.0,0.0
31,3,1.0,0.0,0.5870773268808827,1.0,0.0004,0,1.0,100.0,0.0
38,3,1.0,0.0,0.7119568560707036,1.0,0.0004,0,1.0,100.0,0.0
41,3,1.0,0.0625,0.5408370414419588,1.0,0.0004,0,1.0,100.0,0.0625
42,3,1.0,0.0,0.5878975536735908,1.0,0.0004,0,1.0,100.0,0.0
44,3,1.0,0.0,0.39168758733218306,1.0,0.0004,0,1.0,100.0,0.0
46,3,1.0,0.0,0.5434002501691718,1.0,0.0004,1,1.0,100.0,0.0
51,3,1.0,0.75,0.5546783685689094,1.0,0.0004,0,1.0,100.0,0.75
55,3,1.0,0.0,0.432669633153567,1.0,0.0004,0,1.0,100.0,0.0
57,3,1.0,0.0,0.3382922878175816,1.0,0.0004,0,1.0,100.0,0.0
62,3,1.0,0.0,0.3747069398021887,1.0,0.0004,0,1.0,100.0,0.0
63,3,1.0,0.0,0.4673242151454878,1.0,0.0004,0,1.0,100.0,0.0
64,3,1.0,0.0,0.4333873315971867,1.0,0.0004,0,1.0,100.0,0.0
72,3,1.0,0.0,0.3241946398179097,1.0,0.0004,0,1.0,100.0,0.0
73,3,1.0,0.47855,0.432874689851744,1.0,0.0004,0,1.0,100.0,0.47855
94,3,1.0,0.0,0.36541103615149595,1.0,0.0004,1,1.0,100.0,0.0
108,3,1.0,0.3,0.36858941497324016,1.0,0.0004,0,1.0,100.0,0.3
110,3,0.25,0.75,0.3381384952939488,1.0,0.0004,1,1.0,25.0,0.75
111,3,1.0,0.125,0.6499477105419649,1.0,0.0004,0,1.0,100.0,0.125
112,3,1.0,0.7142999999999999,0.5753012136427151,1.0,0.0004,1,1.0,100.0,0.7142999999999999
118,3,1.0,0.0,0.6885803924785204,1.0,0.0004,0,1.0,100.0,0.0
121,3,1.0,0.0,0.3384460803412144,1.0,0.0004,1,1.0,100.0,0.0
122,3,1.0,0.0,0.325630036705149,1.0,0.0004,0,1.0,100.0,0.0
126,3,1.0,0.0,0.7896049924470784,1.0,0.0004,0,1.0,100.0,0.0
130,3,1.0,0.0,0.6478766378903767,1.0,0.0004,0,1.0,100.0,0.0
132,3,1.0,0.1111,0.6001496913896693,1.0,0.0004,0,1.0,100.0,0.1111
140,3,1.0,0.0,0.2938462484877069,1.0,0.0004,0,1.0,100.0,0.0
143,3,1.0,0.0,0.3535177476572273,1.0,0.0004,0,1.0,100.0,0.0
152,3,1.0,0.0486,0.46287448479504584,1.0,0.0004,0,0.75,100.0,0.0486
154,3,1.0,0.0,0.2712900116882318,1.0,0.0004,0,1.0,100.0,0.0
155,3,1.0,0.41665,0.34459778128652574,1.0,0.0004,0,1.0,100.0,0.41665
162,3,1.0,0.8889,0.48290852420694325,1.0,0.0004,1,1.0,100.0,0.8889
168,3,1.0,0.45,0.37023918931766453,1.0,0.0004,0,1.0,100.0,0.45
180,3,1.0,0.3462,0.3645908093587877,1.0,0.0004,0,1.0,100.0,0.3462
184,3,1.0,0.0,0.5736461131502861,1.0,0.0004,0,1.0,100.0,0.0
187,3,1.0,0.0,0.5360182090347981,1.0,0.0004,0,1.0,100.0,0.0
188,3,1.0,0.0,0.44804888551684546,1.0,0.0004,0,1.0,100.0,0.0
193,3,1.0,0.2827,0.36922509073758897,1.0,0.0004,0,1.0,100.0,0.2827
194,3,1.0,0.8571,0.4152398138085181,1.0,0.0004,0,1.0,100.0,0.8571
195,3,1.0,0.0,0.3455205364283225,1.0,0.0004,0,1.0,100.0,0.0
197,3,1.0,0.0,0.7524555539606702,1.0,0.0004,0,1.0,100.0,0.0
240,3,1.0,0.0,0.35300510591178463,1.0,0.0004,0,1.0,100.0,0.0
241,3,0.0625,0.75,0.3108659544364017,1.0,0.0004,1,1.0,6.25,0.75
248,3,1.0,0.0,0.44148707117518,1.0,0.0004,0,1.0,100.0,0.0
251,3,1.0,0.133,0.7192158631861709,1.0,0.0004,0,1.0,100.0,0.133
261,3,1.0,0.0,0.42826091414276046,1.0,0.0004,0,1.0,100.0,0.0
262,3,1.0,0.1682,0.49177153038370663,1.0,0.0004,0,1.0,100.0,0.1682
268,3,1.0,0.8667,0.4342075583898949,1.0,0.0004,0,1.0,100.0,0.8667
269,3,1.0,0.3889,0.37525375766399416,1.0,0.0004,0,1.0,100.0,0.3889
270,3,1.0,0.0,0.5685196956958599,1.0,0.0004,0,1.0,100.0,0.0
273,3,1.0,0.8462,0.3946828798162692,1.0,0.0004,1,1.0,100.0,0.8462
279,3,1.0,0.0,0.40970328295773784,1.0,0.0004,0,1.0,100.0,0.0
284,3,1.0,0.1111,0.3570720637589627,1.0,0.0004,0,1.0,100.0,0.1111
5,4,1.0,0.0,0.7699879016548076,1.0,0.0,0,1.0,100.0,0.0
7,4,1.0,0.0,0.37176779379498437,1.0,0.0,0,1.0,100.0,0.0
17,4,1.0,0.0,0.47272404153081665,1.0,0.0,0,1.0,100.0,0.0
23,4,1.0,1.0,0.6654089855845142,1.0,0.0,1,1.0,100.0,1.0
29,4,1.0,0.0,0.44087190108064883,1.0,0.0,1,0.5,100.0,0.0
30,4,1.0,0.0,0.3727930772858696,1.0,0.0,0,1.0,100.0,0.0
33,4,1.0,0.0,0.3305513974613981,1.0,0.0,0,1.0,100.0,0.0
35,4,1.0,0.0,0.3866549100826379,1.0,0.0,0,1.0,100.0,0.0
37,4,1.0,0.5455,0.5046445342137101,1.0,0.0,0,1.0,100.0,0.5455
38,4,1.0,0.0,0.36910205671868274,1.0,0.0,0,1.0,100.0,0.0
42,4,1.0,0.0,0.43964156089158657,1.0,0.0,0,1.0,100.0,0.0
48,4,1.0,0.0,0.4026903438800829,1.0,0.0,0,0.2,100.0,0.0
55,4,1.0,0.0,0.4291067730227408,1.0,0.0,0,0.25,100.0,0.0
57,4,1.0,0.8333,0.33526770151947016,1.0,0.0,0,1.0,100.0,0.8333
72,4,1.0,0.0,0.38017511842024326,1.0,0.0,0,0.2353,100.0,0.0
75,4,1.0,0.3,0.40990833965591494,1.0,0.0,0,1.0,100.0,0.3
82,4,0.0417,0.4129,0.31701765538171306,1.0,0.0,1,0.4583,4.17,0.4129
85,4,1.0,0.0,0.39810293260372215,1.0,0.0,0,0.2857,100.0,0.0
88,4,1.0,0.2083,0.36438575266061074,1.0,0.0,0,1.0,100.0,0.2083
93,4,1.0,0.0,0.7605552935386635,1.0,0.0,0,1.0,100.0,0.0
95,4,1.0,0.1905,0.39979220921251396,1.0,0.0,0,1.0,100.0,0.1905
97,4,1.0,0.0,0.3782270797875613,1.0,0.0,0,1.0,100.0,0.0
99,4,1.0,0.0,0.406012262390551,1.0,0.0,0,1.0,100.0,0.0
102,4,1.0,0.1736,0.4013472225070232,1.0,0.0,0,0.375,100.0,0.1736
110,4,1.0,0.0,0.32193901613796216,1.0,0.0,0,1.0,100.0,0.0
115,4,1.0,0.0,0.40122760609975333,1.0,0.0,0,1.0,100.0,0.0
118,4,1.0,0.0,0.3231693563270245,1.0,0.0,0,1.0,100.0,0.0
119,4,1.0,0.0,0.3144544466545,1.0,0.0,1,1.0,100.0,0.0
122,4,1.0,0.0,0.33034634076322106,1.0,0.0,0,1.0,100.0,0.0
128,4,1.0,0.0,0.29015522792052006,1.0,0.0,1,1.0,100.0,0.0
138,4,1.0,0.1905,0.4309608273354249,1.0,0.0,0,1.0,100.0,0.1905
140,4,1.0,0.0,0.3965796542744069,1.0,0.0,0,1.0,100.0,0.0
153,4,1.0,0.3571,0.4700924805708779,1.0,0.0,0,1.0,100.0,0.3571
155,4,1.0,0.0,0.4455882051387209,1.0,0.0,1,1.0,100.0,0.0
163,4,1.0,0.0,0.3734082473804007,1.0,0.0,0,1.0,100.0,0.0
169,4,1.0,0.0,0.3311665675559292,1.0,0.0,0,1.0,100.0,0.0
181,4,1.0,0.8,0.4439477515533045,1.0,0.0,0,1.0,100.0,0.8
187,4,1.0,0.3125,0.3835243778238016,1.0,0.0,0,1.0,100.0,0.3125
191,4,1.0,0.0,0.6055324297168168,1.0,0.0,0,1.0,100.0,0.0
195,4,1.0,0.0,0.3262452067996801,1.0,0.0,0,1.0,100.0,0.0
239,4,1.0,0.8,0.3988352779543544,1.0,0.0,0,1.0,100.0,0.8
269,4,1.0,0.0,0.36366805421699105,1.0,0.0,0,1.0,100.0,0.0
270,4,1.0,0.125,0.382601622682005,1.0,0.0,0,1.0,100.0,0.125
271,4,1.0,0.8,0.499518116759284,1.0,0.0,1,1.0,100.0,0.8
279,4,1.0,0.0,0.6906309594602908,1.0,0.0,0,1.0,100.0,0.0
280,4,1.0,0.0,0.465991346607337,1.0,0.0,0,1.0,100.0,0.0
290,4,1.0,0.1563,0.41476562019398366,1.0,0.0,0,0.375,100.0,0.1563
291,4,1.0,0.0,0.4376935222589046,1.0,0.0,0,1.0,100.0,0.0
292,4,1.0,0.0,0.2958968154694773,1.0,0.0,0,1.0,100.0,0.0
3,5,1.0,0.0,0.7397420386736934,1.0,0.004,0,1.0,100.0,0.0
6,5,1.0,0.0,0.38663440441282015,1.0,0.004,0,1.0,100.0,0.0
10,5,0.07139999999999999,0.9286,0.29425636188406096,1.0,0.004,1,0.4286,7.14,0.9286
13,5,1.0,0.0,0.33752332519941763,1.0,0.004,1,1.0,100.0,0.0
17,5,1.0,0.0,0.2934361350913528,1.0,0.004,0,1.0,100.0,0.0
23,5,1.0,1.0,1.8269184762920285,1.0,0.004,1,1.0,100.0,1.0
29,5,1.0,0.0444,0.553261613199686,1.0,0.004,1,0.75,100.0,0.0444
30,5,1.0,0.0,0.3852331836419437,1.0,0.004,0,1.0,100.0,0.0
31,5,1.0,0.0,0.34849385855188963,1.0,0.004,0,0.5,100.0,0.0
36,5,1.0,0.1905,1.0943192459381688,1.0,0.004,0,1.0,100.0,0.1905
37,5,1.0,0.0,0.4687186006930917,1.0,0.004,0,1.0,100.0,0.0
42,5,1.0,0.0,0.41216396333586236,1.0,0.004,0,1.0,100.0,0.0
48,5,1.0,0.0,0.3186581089671294,1.0,0.004,0,1.0,100.0,0.0
55,5,1.0,0.0,0.39131653235452935,1.0,0.004,0,1.0,100.0,0.0
57,5,1.0,0.0303,0.46130921866562774,1.0,0.004,0,0.9167,100.0,0.0303
62,5,1.0,0.0,0.4598396456620256,1.0,0.004,0,1.0,100.0,0.0
