node_id,current_trust,blacklisted,cycles_seen,first_blacklist_cycle
217,1.0,False,27,-1
218,1.0,False,27,-1
219,1.0,False,27,-1
220,1.0,False,27,-1
221,1.0,False,27,-1
222,1.0,False,27,-1
223,1.0,False,27,-1
224,1.0,False,27,-1
225,1.0,False,27,-1
226,0.85,False,27,-1
227,1.0,False,27,-1
228,0.0,True,27,12
229,0.95,False,27,-1
230,1.0,False,27,-1
231,1.0,False,27,-1
232,1.0,False,27,-1
233,1.0,False,27,-1
234,1.0,False,27,-1
235,1.0,False,27,-1
236,0.2,True,27,15
237,1.0,False,27,-1
238,1.0,False,27,-1
239,0.5,False,27,-1
240,0.2,True,27,2
241,1.0,False,27,-1
242,1.0,False,27,-1
243,1.0,False,27,-1
244,1.0,False,27,-1
245,1.0,False,27,-1
246,1.0,False,27,-1
247,1.0,False,27,-1
248,0.2,True,27,15
249,0.15,True,27,25
250,0.4,False,27,-1
251,0.0,True,27,3
252,0.95,False,27,-1
253,1.0,False,27,-1
254,1.0,False,27,-1
255,1.0,False,27,-1
256,1.0,False,27,-1
257,1.0,False,27,-1
258,0.7,False,27,-1
259,1.0,False,27,-1
260,1.0,False,27,-1
261,0.7,False,27,-1
262,0.6,False,27,-1
263,1.0,False,27,-1
264,1.0,False,27,-1
265,1.0,False,27,-1
266,1.0,False,27,-1
267,1.0,False,27,-1
268,0.15,True,27,4
269,0.95,False,27,-1
270,1.0,False,27,-1
271,0.9,False,27,-1
272,1.0,False,27,-1
273,1.0,False,27,-1
274,0.1,True,27,4
275,1.0,False,27,-1
276,1.0,False,27,-1
277,1.0,False,27,-1
278,1.0,False,27,-1
279,0.35,True,27,16
280,1.0,False,27,-1
281,1.0,False,27,-1
282,1.0,False,27,-1
283,1.0,False,27,-1
284,1.0,False,27,-1
285,1.0,False,27,-1
286,1.0,False,27,-1
287,1.0,False,27,-1
288,1.0,False,27,-1
289,1.0,False,27,-1
290,0.95,False,27,-1
291,1.0,False,27,-1
292,1.0,False,27,-1
293,0.95,False,27,-1
294,1.0,False,27,-1
295,1.0,False,27,-1
296,0.65,False,27,-1
297,1.0,False,27,-1
298,1.0,False,27,-1
299,1.0,False,27,-1
300,1.0,False,27,-1
301,1.0,False,27,-1
302,1.0,False,27,-1
303,1.0,False,27,-1
304,1.0,False,27,-1
305,1.0,False,27,-1
306,1.0,False,27,-1
307,1.0,False,27,-1
308,1.0,False,27,-1
309,0.9,False,27,-1
310,1.0,False,27,-1
311,1.0,False,27,-1
312,1.0,False,27,-1
313,1.0,False,27,-1
314,1.0,False,27,-1
315,1.0,False,27,-1
316,1.0,False,27,-1
317,1.0,False,27,-1
318,1.0,False,27,-1
319,1.0,False,27,-1
320,1.0,False,27,-1
