cycle_id,node_id,agent,gate_fired,action,delta,final_delta
1,44,fs,False,,0.0,0.0
1,44,igh,False,,0.0,0.0
1,45,sp,False,,0.0,0.0
1,45,als,False,,0.0,0.0
1,45,fs,False,,0.0,0.0
1,45,igh,False,,0.0,0.0
1,46,sp,False,,0.0,0.0
1,46,als,False,,0.0,0.0
1,46,fs,False,,0.0,0.0
1,46,igh,False,,0.0,0.0
1,47,sp,False,,0.0,0.0
1,47,als,False,,0.0,0.0
1,47,fs,False,,0.0,0.0
1,47,igh,False,,0.0,0.0
1,48,sp,False,,0.0,0.0
1,48,als,False,,0.0,0.0
1,48,fs,False,,0.0,0.0
1,48,igh,False,,0.0,0.0
1,49,sp,False,,0.0,0.0
1,49,als,False,,0.0,0.0
1,49,fs,False,,0.0,0.0
1,49,igh,False,,0.0,0.0
1,50,sp,False,,0.0,0.0
1,50,als,False,,0.0,0.0
1,50,fs,False,,0.0,0.0
1,50,igh,False,,0.0,0.0
1,51,sp,False,,0.0,0.0
1,51,als,False,,0.0,0.0
1,51,fs,False,,0.0,0.0
1,51,igh,False,,0.0,0.0
1,52,sp,False,,0.0,0.0
1,52,als,False,,0.0,0.0
1,52,fs,False,,0.0,0.0
1,52,igh,False,,0.0,0.0
1,53,sp,False,,0.0,0.0
1,53,als,False,,0.0,0.0
1,53,fs,False,,0.0,0.0
1,53,igh,False,,0.0,0.0
1,54,sp,False,,0.0,0.0
1,54,als,False,,0.0,0.0
1,54,fs,False,,0.0,0.0
1,54,igh,False,,0.0,0.0
1,55,sp,False,,0.0,0.0
1,55,als,False,,0.0,0.0
1,55,fs,False,,0.0,0.0
1,55,igh,False,,0.0,0.0
1,56,sp,False,,0.0,0.0
1,56,als,False,,0.0,0.0
1,56,fs,False,,0.0,0.0
1,56,igh,False,,0.0,0.0
1,57,sp,False,,0.0,0.0
1,57,als,False,,0.0,0.0
1,57,fs,False,,0.0,0.0
1,57,igh,False,,0.0,0.0
1,58,sp,False,,0.0,0.0
1,58,als,False,,0.0,0.0
1,58,fs,False,,0.0,0.0
1,58,igh,False,,0.0,0.0
1,59,sp,False,,0.0,0.0
1,59,als,False,,0.0,0.0
1,59,fs,False,,0.0,0.0
