node_id,current_trust,blacklisted,cycles_seen,first_blacklist_cycle
216,0.6,False,295,-1
217,1.0,False,295,-1
218,0.95,False,295,-1
219,0.95,False,295,-1
220,1.0,False,295,-1
221,1.0,False,295,-1
222,1.0,False,295,-1
223,0.9,False,295,-1
224,0.9,False,295,-1
225,0.9,False,295,-1
226,0.4,False,295,-1
227,0.9,False,295,-1
228,0.35,False,295,-1
229,0.9,False,295,-1
230,0.95,False,295,-1
231,1.0,False,295,-1
232,1.0,False,295,-1
233,0.45,False,295,-1
234,0.95,False,295,-1
235,1.0,False,295,-1
236,0.4,False,295,-1
237,0.35,False,295,-1
238,0.85,False,295,-1
239,0.6,False,295,-1
240,0.3,False,295,-1
241,0.55,False,295,-1
242,0.95,False,295,-1
243,1.0,False,295,-1
244,1.0,False,295,-1
245,0.9,False,295,-1
246,0.9,False,295,-1
247,0.85,False,295,-1
248,0.35,False,295,-1
249,0.4,False,295,-1
250,0.1,True,295,24
251,0.4,False,295,-1
252,0.5,False,295,-1
253,0.95,False,295,-1
254,0.95,False,295,-1
255,0.9,False,295,-1
256,1.0,False,295,-1
257,0.4,False,295,-1
258,0.2,True,295,158
259,0.3,False,295,-1
260,0.25,True,295,25
261,0.3,True,295,83
262,0.35,False,295,-1
263,0.95,False,295,-1
264,0.9,False,295,-1
265,1.0,False,295,-1
266,0.95,False,295,-1
267,0.95,False,295,-1
268,0.4,False,295,-1
269,0.7,False,295,-1
270,0.7,False,295,-1
271,0.85,False,295,-1
272,0.3,False,295,-1
273,0.5,False,295,-1
274,0.25,True,295,31
275,0.95,False,295,-1
276,0.9,False,295,-1
277,1.0,False,295,-1
278,0.45,False,295,-1
279,0.35,False,295,-1
280,0.35,False,295,-1
281,0.35,False,295,-1
282,0.3,True,295,122
283,0.35,False,295,-1
284,0.3,True,295,101
285,0.55,False,295,-1
286,0.55,False,295,-1
287,0.95,False,295,-1
288,1.0,False,295,-1
289,0.4,False,295,-1
290,0.3,False,295,-1
291,0.35,False,295,-1
292,0.55,False,295,-1
293,0.9,False,295,-1
294,0.35,False,295,-1
295,0.55,False,295,-1
296,0.25,True,295,25
297,0.9,False,295,-1
298,0.95,False,295,-1
299,1.0,False,295,-1
300,0.95,False,295,-1
301,0.4,False,295,-1
302,0.95,False,295,-1
303,0.9,False,295,-1
304,1.0,False,295,-1
305,0.9,False,295,-1
306,0.95,False,295,-1
307,0.95,False,295,-1
308,0.95,False,295,-1
309,1.0,False,295,-1
310,1.0,False,295,-1
311,1.0,False,295,-1
312,1.0,False,295,-1
313,1.0,False,295,-1
314,1.0,False,295,-1
315,1.0,False,295,-1
316,1.0,False,295,-1
317,0.95,False,295,-1
318,1.0,False,295,-1
319,1.0,False,295,-1
320,1.0,False,295,-1
