cycle_id,sim_time_s,flow_id,flow_source,flow_destination,node_id,node_type,num_active_next_hops,sum_abs_ff_deviation,sum_abs_ff_deviation_normalized,threshold,detected,total_inbound,total_outbound,node_pdr,mean_pdr_flow,pdr_deviation,inbound_ratio
48,49.0001,0,70,68,1,VEHICLE,1,0.0000,0.0000,0.5000,0,3,3,100.00,59.10,-40.90,1.6667
48,49.0001,0,70,68,3,VEHICLE,1,0.0000,0.0000,0.5000,0,3,3,100.00,59.10,-40.90,0.3333
48,49.0001,0,70,68,14,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,59.10,59.10,4.0000
48,49.0001,0,70,68,23,VEHICLE,1,0.0000,0.0000,0.5000,0,3,3,100.00,59.10,-40.90,0.3333
48,49.0001,0,70,68,28,VEHICLE,2,0.6667,0.3333,0.5000,1,6,6,100.00,59.10,-40.90,2.6667
48,49.0001,0,70,68,41,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,59.10,59.10,3.0000
48,49.0001,0,70,68,62,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,59.10,-40.90,3.0000
48,49.0001,0,70,68,64,VEHICLE,1,0.0000,0.0000,0.5000,0,3,3,100.00,59.10,-40.90,0.3333
48,49.0001,0,70,68,67,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,59.10,-40.90,3.0000
48,49.0001,0,70,68,75,VEHICLE,0,1.0000,1.0000,0.5000,0,6,0,0.00,59.10,59.10,1.0000
48,49.0001,0,70,68,76,VEHICLE,2,0.0889,0.0444,0.5000,0,9,9,100.00,59.10,-40.90,1.1111
48,49.0001,0,70,68,111,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,59.10,59.10,2.0000
48,49.0001,0,70,68,112,RSU,1,1.0000,1.0000,0.5000,1,5,5,100.00,59.10,-40.90,1.0000
48,49.0001,0,70,68,124,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,59.10,-40.90,7.0000
48,49.0001,0,70,68,130,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,59.10,-40.90,2.0000
48,49.0001,0,70,68,143,RSU,2,0.5000,0.2500,0.5000,0,3,3,100.00,59.10,-40.90,2.6667
48,49.0001,0,70,68,152,RSU,1,0.2545,0.2545,0.5000,0,5,1,20.00,59.10,39.10,2.2000
48,49.0001,0,70,68,155,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,59.10,59.10,4.0000
48,49.0001,0,70,68,159,RSU,1,0.0000,0.0000,0.5000,0,3,3,100.00,59.10,-40.90,1.6667
48,49.0001,0,70,68,193,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,59.10,59.10,3.0000
48,49.0001,0,70,68,198,RSU,2,0.7143,0.3571,0.5000,1,2,2,100.00,59.10,-40.90,3.5000
48,49.0001,0,70,68,238,RSU,0,1.0000,1.0000,0.5000,0,5,0,0.00,59.10,59.10,2.0000
48,49.0001,0,70,68,249,RSU,1,0.0098,0.0098,0.5000,0,6,1,16.67,59.10,42.44,2.8333
48,49.0001,0,70,68,250,RSU,4,0.5392,0.1348,0.5000,1,12,12,100.00,59.10,-40.90,1.4167
48,49.0001,0,70,68,251,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,59.10,59.10,3.0000
48,49.0001,0,70,68,259,RSU,0,1.0000,1.0000,0.5000,0,3,0,0.00,59.10,59.10,1.0000
48,49.0001,1,254,126,73,VEHICLE,1,0.0000,0.0000,0.5000,0,2,2,100.00,73.33,-26.67,2.5000
48,49.0001,1,254,126,81,RSU,1,0.0000,0.0000,0.5000,0,2,2,100.00,73.33,-26.67,2.5000
48,49.0001,1,254,126,95,RSU,1,0.0000,0.0000,0.5000,0,2,2,100.00,73.33,-26.67,1.0000
48,49.0001,1,254,126,242,RSU,0,1.0000,1.0000,0.5000,0,8,0,0.00,73.33,73.33,1.1250
48,49.0001,1,254,126,243,RSU,1,0.0000,0.0000,0.5000,0,8,8,100.00,73.33,-26.67,1.1250
48,49.0001,1,254,126,253,RSU,0,1.0000,1.0000,0.5000,0,11,0,0.00,73.33,73.33,1.4545
48,49.0001,1,254,126,262,RSU,0,1.0000,1.0000,0.5000,0,7,0,0.00,73.33,73.33,1.1429
48,49.0001,1,254,126,263,RSU,1,0.5556,0.5556,0.5000,1,7,7,100.00,73.33,-26.67,1.2857
48,49.0001,1,254,126,264,RSU,2,0.1436,0.0718,0.5000,0,13,13,100.00,73.33,-26.67,1.1538
48,49.0001,1,254,126,265,RSU,1,0.4167,0.4167,0.5000,0,13,13,100.00,73.33,-26.67,0.9231
48,49.0001,1,254,126,274,RSU,1,0.5556,0.5556,0.5000,1,2,2,100.00,73.33,-26.67,4.5000
48,49.0001,1,254,126,275,RSU,2,0.5333,0.2667,0.5000,1,6,6,100.00,73.33,-26.67,1.6667
48,49.0001,1,254,126,284,RSU,1,0.0000,0.0000,0.5000,0,2,2,100.00,73.33,-26.67,2.5000
48,49.0001,1,254,126,285,RSU,1,0.7143,0.7143,0.5000,1,2,2,100.00,73.33,-26.67,3.5000
48,49.0001,1,254,126,286,RSU,0,1.0000,1.0000,0.5000,0,4,0,0.00,73.33,73.33,1.5000
