Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
29, 1, 7.50194, 0, 0, 0, 50, 72.375
29, 2, 44.8003, 10.7061, 326.834, 2.30943, 50, 72.375
