Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
54, 1, 8.12405, 13.6838, 419.739, 5.0069, 62, 49.762
54, 2, 8.42773, 0, 0, 0, 62, 49.762
