Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
32, 1, 6.28696, 12.4325, 276.699, 0, 4, 46.698
32, 2, 22.0422, 0, 0, 0, 4, 46.698
