Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
13, 1, 7.80089, 17.9362, 449.078, 3.61202, 36, 28.615
13, 2, 7.75152, 0, 0, 0, 36, 28.615
