cycle_id,sim_time_s,flow_id,flow_source,flow_destination,forwarding_node_id,forwarding_node_type,next_hop_id,next_hop_type,unique_inbound_count,unique_outbound_to_next_hop,observed_ff,expected_ff_planned,ff_deviation
10,11.0001,0,70,68,3,VEHICLE,161,RSU,1,1,1.0000,0.1429,0.8571
10,11.0001,0,70,68,6,VEHICLE,250,RSU,3,3,1.0000,1.0000,0.0000
10,11.0001,0,70,68,30,VEHICLE,75,VEHICLE,5,1,0.2000,0.1667,0.0333
10,11.0001,0,70,68,30,VEHICLE,239,RSU,5,3,0.6000,0.6667,-0.0667
10,11.0001,0,70,68,30,VEHICLE,251,RSU,5,1,0.2000,0.1667,0.0333
10,11.0001,0,70,68,38,VEHICLE,42,VEHICLE,1,1,1.0000,1.0000,0.0000
10,11.0001,0,70,68,67,VEHICLE,30,VEHICLE,1,1,1.0000,1.0000,0.0000
10,11.0001,0,70,68,75,VEHICLE,3,VEHICLE,6,1,0.1667,0.2500,-0.0833
10,11.0001,0,70,68,110,RSU,30,VEHICLE,3,3,1.0000,1.0000,0.0000
10,11.0001,0,70,68,111,RSU,240,RSU,1,1,1.0000,1.0000,0.0000
10,11.0001,0,70,68,118,RSU,41,VEHICLE,1,1,1.0000,1.0000,0.0000
10,11.0001,0,70,68,122,RSU,110,RSU,1,1,1.0000,0.0000,1.0000
10,11.0001,0,70,68,132,RSU,198,RSU,1,1,1.0000,1.0000,0.0000
10,11.0001,0,70,68,140,RSU,241,RSU,1,1,1.0000,1.0000,0.0000
10,11.0001,0,70,68,143,RSU,251,RSU,1,1,1.0000,0.1429,0.8571
10,11.0001,0,70,68,154,RSU,41,VEHICLE,1,1,1.0000,1.0000,0.0000
10,11.0001,0,70,68,161,RSU,5,VEHICLE,1,1,1.0000,1.0000,0.0000
10,11.0001,0,70,68,188,RSU,12,VEHICLE,1,1,1.0000,1.0000,0.0000
10,11.0001,0,70,68,195,RSU,110,RSU,1,1,1.0000,0.0000,1.0000
10,11.0001,0,70,68,240,RSU,75,VEHICLE,2,2,1.0000,0.2222,0.7778
10,11.0001,0,70,68,241,RSU,12,VEHICLE,2,2,1.0000,1.0000,0.0000
10,11.0001,0,70,68,251,RSU,262,RSU,3,3,1.0000,0.2308,0.7692
10,11.0001,0,70,68,262,RSU,6,VEHICLE,3,3,1.0000,0.0000,1.0000
10,11.0001,1,272,241,31,VEHICLE,64,VEHICLE,1,1,1.0000,0.0000,1.0000
10,11.0001,1,272,241,37,VEHICLE,73,VEHICLE,1,1,1.0000,1.0000,0.0000
10,11.0001,1,272,241,41,VEHICLE,252,RSU,20,1,0.0500,1.0000,-0.9500
10,11.0001,1,272,241,57,VEHICLE,152,RSU,2,2,1.0000,1.0000,0.0000
10,11.0001,1,272,241,64,VEHICLE,73,VEHICLE,3,3,1.0000,1.0000,0.0000
10,11.0001,1,272,241,73,VEHICLE,84,RSU,5,5,1.0000,1.0000,0.0000
10,11.0001,1,272,241,84,RSU,121,RSU,6,6,1.0000,0.0000,1.0000
10,11.0001,1,272,241,94,RSU,57,VEHICLE,1,1,1.0000,1.0000,0.0000
10,11.0001,1,272,241,121,RSU,168,RSU,8,8,1.0000,1.0000,0.0000
10,11.0001,1,272,241,139,RSU,197,RSU,2,2,1.0000,1.0000,0.0000
10,11.0001,1,272,241,168,RSU,41,VEHICLE,20,20,1.0000,0.4444,0.5556
10,11.0001,1,272,241,184,RSU,261,RSU,1,1,1.0000,1.0000,0.0000
10,11.0001,1,272,241,252,RSU,130,RSU,1,1,1.0000,1.0000,0.0000
10,11.0001,1,272,241,261,RSU,168,RSU,12,12,1.0000,1.0000,0.0000
10,11.0001,1,272,241,271,RSU,139,RSU,1,1,1.0000,1.0000,0.0000
10,11.0001,1,272,241,273,RSU,121,RSU,1,1,1.0000,1.0000,0.0000
10,11.0001,1,272,241,283,RSU,64,VEHICLE,1,1,1.0000,1.0000,0.0000
