Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
8, 1, 5.05059, 0, 0, 0, 24, 46.957
8, 2, 17.2001, 16.1073, 472.029, 2.29885, 24, 46.957
