Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
12, 1, 2.27713, 0, 0, 0, 2, 72.069
12, 2, 11.0736, 20.4327, 286.098, 4.28098, 2, 72.069
