Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
27, 1, 6.44308, 22.3171, 191.637, 0, 24, 55.038
27, 2, 42.743, 14.479, 422.515, 1.45808, 24, 55.038
