cycle_id,flow_id,node_id,prev_hop_id,hop_delay_sum_ms,hop_delay_count,mean_delay_ms
5,0,1,70,9.84,1,9.84
5,0,6,250,20.16,8,2.52
5,0,23,139,32.29,5,6.458
5,0,30,70,13.617,6,2.2695
5,0,30,143,2.383,1,2.383
5,0,36,261,8.356,5,1.6712
5,0,42,155,2.637,1,2.637
5,0,67,70,2.077,1,2.077
5,0,75,30,10.681,4,2.67025
5,0,75,240,2.157,1,2.157
5,0,77,78,17.059,5,3.4118
5,0,77,124,3.19,2,1.595
5,0,77,260,2.208,1,2.208
5,0,78,23,29.949,5,5.9898
5,0,78,36,1.767,1,1.767
5,0,78,79,6.155,1,6.155
5,0,78,260,2.954,1,2.954
5,0,79,36,1.775,1,1.775
5,0,79,260,1.438,1,1.438
5,0,110,1,3.254,1,3.254
5,0,110,70,2.339,1,2.339
5,0,111,70,1.43,1,1.43
5,0,111,241,1.645,1,1.645
5,0,118,70,1.638,1,1.638
5,0,121,6,14.437,6,2.40617
5,0,121,168,119.842,14,8.56014
5,0,122,70,1.525,1,1.525
5,0,123,70,2.697,1,2.697
5,0,124,260,1.548,1,1.548
5,0,130,70,1.704,1,1.704
5,0,132,70,2.535,1,2.535
5,0,139,261,57.057,5,11.4114
5,0,140,70,1.387,1,1.387
5,0,143,70,1.394,1,1.394
5,0,154,70,2.563,1,2.563
5,0,155,70,1.878,1,1.878
5,0,168,198,72.844,12,6.07033
5,0,168,251,1.844,1,1.844
5,0,184,261,54.501,5,10.9002
5,0,188,70,2.959,1,2.959
5,0,194,36,1.755,1,1.755
5,0,194,78,7.831,1,7.831
5,0,194,260,6.976,1,6.976
5,0,195,70,3.822,1,3.822
5,0,195,123,1.346,1,1.346
5,0,198,42,17.355,1,17.355
5,0,198,67,1.496,1,1.496
5,0,198,70,2.472,1,2.472
5,0,198,111,5.503,3,1.83433
5,0,198,132,6.844,2,3.422
5,0,198,241,16.425,3,5.475
5,0,240,70,1.622,1,1.622
5,0,241,70,2.347,1,2.347
5,0,241,140,1.753,1,1.753
5,0,241,154,2.476,1,2.476
5,0,241,195,4.729,2,2.3645
5,0,250,75,7.237,4,1.80925
5,0,251,70,2.683,1,2.683
5,0,260,184,19.14,3,6.38
5,0,260,261,3.032,2,1.516
5,0,261,121,83.849,15,5.58993
5,1,3,193,3.623,2,1.8115
5,1,6,3,6.369,2,3.1845
5,1,6,193,12.905,2,6.4525
5,1,7,291,3.602,2,1.801
5,1,10,29,8.608,2,4.304
5,1,10,88,11.586,1,11.586
5,1,10,119,10.901,3,3.63367
5,1,17,271,2.857,1,2.857
5,1,29,80,9.166,3,3.05533
5,1,29,282,6.661,1,6.661
5,1,31,62,5.031,1,5.031
5,1,36,261,3.644,2,1.822
5,1,37,73,2.413,1,2.413
5,1,37,94,17.558,9,1.95089
5,1,37,184,7.519,4,1.87975
5,1,57,6,33.563,4,8.39075
5,1,57,31,3.114,1,3.114
5,1,57,62,1.287,1,1.287
5,1,57,121,50.447,7,7.20671
5,1,57,193,3.995,2,1.9975
5,1,62,112,28.191,3,9.397
5,1,62,193,3.584,2,1.792
5,1,64,62,1.719,1,1.719
5,1,73,193,4.148,2,2.074
5,1,73,272,8.982,1,8.982
5,1,80,37,1.946,1,1.946
5,1,80,94,8.015,2,4.0075
5,1,84,62,8.102,1,8.102
5,1,85,10,8.107,5,1.6214
5,1,88,282,6.331,1,6.331
5,1,89,159,1.409,1,1.409
5,1,94,57,42.661,10,4.2661
5,1,94,64,2.062,1,2.062
5,1,94,73,2.816,1,2.816
5,1,94,126,22.668,2,11.334
5,1,94,184,4.927,2,2.4635
5,1,98,282,1.598,1,1.598
5,1,112,193,9.668,2,4.834
5,1,112,251,6.591,1,6.591
5,1,119,17,3.615,2,1.8075
5,1,119,282,2.665,1,2.665
5,1,121,193,3.733,2,1.8665
5,1,121,251,48.205,5,9.641
5,1,126,273,5.216,2,2.608
5,1,159,37,1.708,1,1.708
5,1,159,271,2.045,1,2.045
5,1,168,193,1.593,1,1.593
5,1,184,73,2.424,1,2.424
5,1,184,193,22.733,6,3.78883
5,1,184,272,3.262,1,3.262
5,1,250,168,6.192,1,6.192
5,1,250,193,12.839,2,6.4195
5,1,251,193,30.373,2,15.1865
5,1,251,250,12.653,3,4.21767
5,1,251,262,4.227,1,4.227
5,1,260,36,3.951,2,1.9755
5,1,261,193,3.156,2,1.578
5,1,262,193,1.535,1,1.535
5,1,270,271,1.474,1,1.474
5,1,271,37,1.686,1,1.686
5,1,271,184,6.957,2,3.4785
5,1,271,272,2.918,1,2.918
5,1,272,57,25.346,4,6.3365
5,1,273,62,3.935,1,3.935
5,1,273,84,2.428,1,2.428
5,1,282,37,1.988,1,1.988
5,1,282,94,23.095,3,7.69833
5,1,282,271,8.069,1,8.069
5,1,283,272,2.814,1,2.814
5,1,291,10,3.578,2,1.789
