Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
37, 1, 3.12561, 16.9394, 499.066, 4.77348, 26, 46.277
37, 2, 27.7718, 14.5559, 241.287, 7.14241, 26, 46.277
