cycle,flow_id,node,planned_inbound_by_subflow,planned_inbound_by_mainflow
22,1,1,8,8
22,1,3,7,7
22,1,5,4,4
22,1,6,8,8
22,1,12,3,3
22,1,14,1,1
22,1,21,7,7
22,1,23,2,2
22,1,24,1,1
22,1,27,4,4
22,1,30,4,4
22,1,34,1,1
22,1,36,1,1
22,1,38,1,1
22,1,41,3,3
22,1,42,1,1
22,1,44,1,1
22,1,46,13,13
22,1,50,1,1
22,1,56,1,1
22,1,63,1,1
22,1,67,1,1
22,1,70,30,30
22,1,71,1,1
22,1,75,4,4
22,1,77,2,2
22,1,78,1,1
22,1,79,8,8
22,1,84,3,3
22,1,108,7,7
22,1,109,9,9
22,1,110,2,2
22,1,111,2,2
22,1,112,2,2
22,1,118,2,2
22,1,122,2,2
22,1,123,2,2
22,1,124,1,1
22,1,129,3,3
22,1,130,7,7
22,1,132,2,2
22,1,134,7,7
22,1,135,1,1
22,1,136,1,1
22,1,140,2,2
22,1,141,15,15
22,1,143,2,2
22,1,152,3,3
22,1,154,2,2
22,1,155,2,2
22,1,161,1,1
22,1,166,5,5
22,1,175,1,1
22,1,180,14,14
22,1,182,1,1
22,1,183,1,1
22,1,188,2,2
22,1,189,7,7
22,1,193,10,10
22,1,194,16,16
22,1,195,1,1
22,1,196,3,3
22,1,197,9,9
22,1,198,2,2
22,1,235,1,1
22,1,236,1,1
22,1,237,1,1
22,1,238,1,1
22,1,239,3,3
22,1,240,2,2
22,1,246,2,2
22,1,247,1,1
22,1,248,1,1
22,1,249,1,1
22,1,250,5,5
22,1,251,3,3
22,1,252,2,2
22,1,257,12,12
22,1,258,14,14
22,1,259,15,15
22,1,260,8,8
22,1,261,22,22
22,1,262,13,13
22,1,263,4,4
22,1,268,11,11
22,1,270,1,1
22,1,271,1,1
22,2,1,6,6
22,2,2,4,4
22,2,3,1,1
22,2,4,3,3
22,2,6,1,1
22,2,8,2,2
22,2,12,7,7
22,2,19,2,2
22,2,22,9,9
22,2,27,1,1
22,2,30,1,1
22,2,39,2,2
22,2,42,2,2
22,2,45,6,6
22,2,49,2,2
22,2,52,4,4
22,2,54,3,3
22,2,57,1,1
22,2,62,1,1
22,2,65,3,3
22,2,66,3,3
22,2,67,2,2
22,2,69,1,1
22,2,70,1,1
22,2,84,3,3
22,2,90,2,2
22,2,91,4,4
22,2,92,4,4
22,2,94,2,2
22,2,100,2,2
22,2,101,3,3
22,2,103,5,5
22,2,107,26,26
22,2,110,1,1
22,2,111,1,1
22,2,112,1,1
22,2,113,4,4
22,2,118,2,2
22,2,122,5,5
22,2,123,1,1
22,2,126,1,1
22,2,130,13,13
22,2,134,1,1
22,2,137,1,1
22,2,139,2,2
22,2,143,1,1
22,2,147,2,2
22,2,150,2,2
22,2,152,1,1
22,2,154,2,2
22,2,155,1,1
22,2,158,1,1
22,2,160,2,2
22,2,168,4,4
22,2,171,3,3
22,2,176,4,4
22,2,179,1,1
22,2,186,2,2
22,2,188,1,1
22,2,193,1,1
22,2,195,3,3
22,2,198,8,8
22,2,199,5,5
22,2,249,1,1
22,2,250,1,1
22,2,251,2,2
22,2,252,11,11
22,2,253,1,1
22,2,261,1,1
22,2,262,3,3
22,2,263,19,19
22,2,264,2,2
22,2,265,1,1
22,2,273,3,3
22,2,274,16,16
22,2,275,6,6
22,2,276,1,1
22,2,284,3,3
22,2,285,12,12
22,2,286,7,7
22,2,287,1,1
22,2,296,6,6
22,2,297,3,3
22,2,298,2,2
22,2,308,1,1
