Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
55, 1, 5.68683, 0, 0, 0, 58, 55.016
55, 2, 16.6994, 13.6312, 365.332, 2.09548, 58, 55.016
