cycle_id,sim_time_s,flow_id,flow_source,flow_destination,forwarding_node_id,forwarding_node_type,next_hop_id,next_hop_type,unique_inbound_count,unique_outbound_to_next_hop,observed_ff,expected_ff_planned,ff_deviation
21,22.0001,0,70,68,3,VEHICLE,79,VEHICLE,3,1,0.3333,0.1667,0.1667
21,22.0001,0,70,68,3,VEHICLE,134,RSU,3,1,0.3333,0.1667,0.1667
21,22.0001,0,70,68,3,VEHICLE,261,RSU,3,1,0.3333,0.1667,0.1667
21,22.0001,0,70,68,6,VEHICLE,112,RSU,1,1,1.0000,0.1111,0.8889
21,22.0001,0,70,68,30,VEHICLE,1,VEHICLE,1,1,1.0000,1.0000,0.0000
21,22.0001,0,70,68,38,VEHICLE,1,VEHICLE,1,1,1.0000,1.0000,0.0000
21,22.0001,0,70,68,67,VEHICLE,1,VEHICLE,1,1,1.0000,1.0000,0.0000
21,22.0001,0,70,68,79,VEHICLE,109,RSU,2,2,1.0000,1.0000,0.0000
21,22.0001,0,70,68,109,RSU,108,RSU,2,2,1.0000,0.2222,0.7778
21,22.0001,0,70,68,111,RSU,1,VEHICLE,1,1,1.0000,1.0000,0.0000
21,22.0001,0,70,68,112,RSU,261,RSU,4,4,1.0000,1.0000,0.0000
21,22.0001,0,70,68,118,RSU,12,VEHICLE,1,1,1.0000,1.0000,0.0000
21,22.0001,0,70,68,122,RSU,1,VEHICLE,1,1,1.0000,1.0000,0.0000
21,22.0001,0,70,68,123,RSU,1,VEHICLE,1,1,1.0000,1.0000,0.0000
21,22.0001,0,70,68,130,RSU,112,RSU,2,2,1.0000,0.4000,0.6000
21,22.0001,0,70,68,132,RSU,130,RSU,1,1,1.0000,1.0000,0.0000
21,22.0001,0,70,68,134,RSU,79,VEHICLE,1,1,1.0000,0.1429,0.8571
21,22.0001,0,70,68,154,RSU,1,VEHICLE,1,1,1.0000,1.0000,0.0000
21,22.0001,0,70,68,155,RSU,1,VEHICLE,1,1,1.0000,1.0000,0.0000
21,22.0001,0,70,68,193,RSU,3,VEHICLE,4,3,0.7500,0.4286,0.3214
21,22.0001,0,70,68,239,RSU,250,RSU,1,1,1.0000,0.3333,0.6667
21,22.0001,1,147,40,4,VEHICLE,296,RSU,2,2,1.0000,1.0000,0.0000
21,22.0001,1,147,40,9,VEHICLE,144,RSU,4,1,0.2500,0.1667,0.0833
21,22.0001,1,147,40,9,VEHICLE,179,RSU,4,1,0.2500,0.1667,0.0833
21,22.0001,1,147,40,9,VEHICLE,294,RSU,4,1,0.2500,0.1667,0.0833
21,22.0001,1,147,40,9,VEHICLE,295,RSU,4,1,0.2500,0.1667,0.0833
21,22.0001,1,147,40,11,VEHICLE,83,RSU,6,1,0.1667,0.1250,0.0417
21,22.0001,1,147,40,11,VEHICLE,96,RSU,6,1,0.1667,0.1250,0.0417
21,22.0001,1,147,40,11,VEHICLE,144,RSU,6,1,0.1667,0.1250,0.0417
21,22.0001,1,147,40,11,VEHICLE,293,RSU,6,2,0.3333,0.5000,-0.1667
21,22.0001,1,147,40,11,VEHICLE,294,RSU,6,1,0.1667,0.1250,0.0417
21,22.0001,1,147,40,13,VEHICLE,171,RSU,5,5,1.0000,1.0000,0.0000
21,22.0001,1,147,40,17,VEHICLE,48,VEHICLE,4,4,1.0000,1.0000,0.0000
21,22.0001,1,147,40,34,VEHICLE,14,VEHICLE,1,1,1.0000,1.0000,0.0000
21,22.0001,1,147,40,45,VEHICLE,179,RSU,9,9,1.0000,1.0000,0.0000
21,22.0001,1,147,40,46,VEHICLE,40,VEHICLE,1,1,1.0000,0.1250,0.8750
21,22.0001,1,147,40,47,VEHICLE,80,RSU,1,1,1.0000,0.0000,1.0000
21,22.0001,1,147,40,48,VEHICLE,269,RSU,9,9,1.0000,1.0000,0.0000
21,22.0001,1,147,40,52,VEHICLE,92,RSU,19,2,0.1053,0.1053,0.0000
21,22.0001,1,147,40,52,VEHICLE,113,RSU,19,2,0.1053,0.1053,0.0000
21,22.0001,1,147,40,52,VEHICLE,172,RSU,19,2,0.1053,0.1053,0.0000
21,22.0001,1,147,40,52,VEHICLE,176,RSU,19,2,0.1053,0.1053,0.0000
21,22.0001,1,147,40,52,VEHICLE,177,RSU,19,2,0.1053,0.1053,0.0000
21,22.0001,1,147,40,52,VEHICLE,190,RSU,19,2,0.1053,0.1053,0.0000
21,22.0001,1,147,40,52,VEHICLE,199,RSU,19,2,0.1053,0.1053,0.0000
21,22.0001,1,147,40,52,VEHICLE,285,RSU,19,2,0.1053,0.1053,0.0000
21,22.0001,1,147,40,52,VEHICLE,296,RSU,19,3,0.1579,0.1579,-0.0000
21,22.0001,1,147,40,55,VEHICLE,269,RSU,2,2,1.0000,1.0000,0.0000
21,22.0001,1,147,40,80,RSU,48,VEHICLE,1,1,1.0000,1.0000,0.0000
21,22.0001,1,147,40,81,RSU,82,RSU,5,5,1.0000,0.0000,1.0000
21,22.0001,1,147,40,82,RSU,48,VEHICLE,5,1,0.2000,1.0000,-0.8000
21,22.0001,1,147,40,83,RSU,96,RSU,7,2,0.2857,0.2857,0.0000
21,22.0001,1,147,40,83,RSU,282,RSU,7,2,0.2857,0.2857,0.0000
21,22.0001,1,147,40,83,RSU,293,RSU,7,3,0.4286,0.4286,0.0000
21,22.0001,1,147,40,88,RSU,55,VEHICLE,2,2,1.0000,1.0000,0.0000
21,22.0001,1,147,40,90,RSU,52,VEHICLE,2,1,0.5000,0.3333,0.1667
21,22.0001,1,147,40,90,RSU,297,RSU,2,1,0.5000,0.6667,-0.1667
21,22.0001,1,147,40,91,RSU,295,RSU,1,1,1.0000,1.0000,0.0000
21,22.0001,1,147,40,92,RSU,176,RSU,2,2,1.0000,0.2000,0.8000
21,22.0001,1,147,40,96,RSU,47,VEHICLE,6,1,0.1667,0.1429,0.0238
21,22.0001,1,147,40,96,RSU,81,RSU,6,3,0.5000,0.5714,-0.0714
21,22.0001,1,147,40,96,RSU,119,RSU,6,1,0.1667,0.1429,0.0238
21,22.0001,1,147,40,96,RSU,293,RSU,6,1,0.1667,0.1429,0.0238
21,22.0001,1,147,40,101,RSU,295,RSU,4,4,1.0000,1.0000,0.0000
21,22.0001,1,147,40,102,RSU,48,VEHICLE,3,3,1.0000,1.0000,0.0000
21,22.0001,1,147,40,107,RSU,176,RSU,2,2,1.0000,1.0000,0.0000
21,22.0001,1,147,40,108,RSU,194,RSU,1,1,1.0000,0.2000,0.8000
21,22.0001,1,147,40,109,RSU,108,RSU,1,1,1.0000,0.3750,0.6250
21,22.0001,1,147,40,113,RSU,176,RSU,2,2,1.0000,0.4000,0.6000
21,22.0001,1,147,40,119,RSU,102,RSU,3,3,1.0000,1.0000,0.0000
21,22.0001,1,147,40,141,RSU,40,VEHICLE,1,1,1.0000,0.3750,0.6250
21,22.0001,1,147,40,144,RSU,13,VEHICLE,8,1,0.1250,0.1111,0.0139
21,22.0001,1,147,40,144,RSU,83,RSU,8,3,0.3750,0.4444,-0.0694
21,22.0001,1,147,40,144,RSU,293,RSU,8,2,0.2500,0.2222,0.0278
21,22.0001,1,147,40,144,RSU,294,RSU,8,2,0.2500,0.2222,0.0278
21,22.0001,1,147,40,150,RSU,297,RSU,2,2,1.0000,1.0000,0.0000
21,22.0001,1,147,40,153,RSU,268,RSU,1,1,1.0000,0.2500,0.7500
21,22.0001,1,147,40,160,RSU,4,VEHICLE,2,2,1.0000,1.0000,0.0000
21,22.0001,1,147,40,171,RSU,272,RSU,10,10,1.0000,1.0000,0.0000
21,22.0001,1,147,40,172,RSU,190,RSU,2,2,1.0000,0.0000,1.0000
21,22.0001,1,147,40,176,RSU,45,VEHICLE,8,1,0.1250,0.1111,0.0139
21,22.0001,1,147,40,176,RSU,91,RSU,8,1,0.1250,0.1111,0.0139
21,22.0001,1,147,40,176,RSU,199,RSU,8,2,0.2500,0.2222,0.0278
21,22.0001,1,147,40,176,RSU,296,RSU,8,4,0.5000,0.5556,-0.0556
21,22.0001,1,147,40,177,RSU,306,RSU,2,2,1.0000,1.0000,0.0000
21,22.0001,1,147,40,179,RSU,171,RSU,10,5,0.5000,0.4167,0.0833
21,22.0001,1,147,40,179,RSU,295,RSU,10,5,0.5000,0.5833,-0.0833
21,22.0001,1,147,40,186,RSU,52,VEHICLE,13,2,0.1538,0.1333,0.0205
21,22.0001,1,147,40,186,RSU,107,RSU,13,2,0.1538,0.1333,0.0205
21,22.0001,1,147,40,186,RSU,150,RSU,13,2,0.1538,0.1333,0.0205
21,22.0001,1,147,40,186,RSU,160,RSU,13,2,0.1538,0.1333,0.0205
21,22.0001,1,147,40,186,RSU,297,RSU,13,3,0.2308,0.3333,-0.1026
