cycle_id,flow_id,node_id,prev_hop_id,hop_delay_sum_ms,hop_delay_count,mean_delay_ms
37,0,1,70,1.929,1,1.929
37,0,3,249,9.186,5,1.8372
37,0,6,70,1.333,1,1.333
37,0,12,70,1.593,1,1.593
37,0,30,12,1.905,1,1.905
37,0,38,70,1.544,1,1.544
37,0,41,70,1.885,1,1.885
37,0,51,3,2.052,1,2.052
37,0,51,197,11.847,6,1.9745
37,0,62,6,2.272,1,2.272
37,0,63,194,3.297,2,1.6485
37,0,64,3,2.084,1,2.084
37,0,79,30,2.394,1,2.394
37,0,79,121,1.285,1,1.285
37,0,84,70,1.563,1,1.563
37,0,108,51,14.87,7,2.12429
37,0,112,70,1.504,1,1.504
37,0,118,70,1.693,1,1.693
37,0,121,62,1.738,1,1.738
37,0,123,70,1.411,1,1.411
37,0,132,70,2.155,1,2.155
37,0,134,3,1.614,1,1.614
37,0,152,70,2.238,1,2.238
37,0,154,70,1.864,1,1.864
37,0,159,3,1.78,1,1.78
37,0,159,79,1.585,1,1.585
37,0,165,63,2.154,1,2.154
37,0,194,108,4.503,2,2.2515
37,0,197,3,1.766,1,1.766
37,0,197,64,2.145,1,2.145
37,0,197,79,2.372,1,2.372
37,0,197,134,2.497,1,2.497
37,0,197,159,3.624,2,1.812
37,0,198,70,1.992,1,1.992
37,0,247,108,4.497,2,2.2485
37,0,249,250,10.637,5,2.1274
37,0,250,70,12.582,5,2.5164
37,1,0,93,2.468,1,2.468
37,1,16,93,4.357,2,2.1785
37,1,35,93,2.863,1,2.863
37,1,36,71,1.622,1,1.622
37,1,36,248,2.031,1,2.031
37,1,40,257,5.471,3,1.82367
37,1,46,141,1.517,1,1.517
37,1,46,269,12.816,6,2.136
37,1,59,108,1.636,1,1.636
37,1,61,46,3.779,2,1.8895
37,1,63,129,1.843,1,1.843
37,1,68,258,1.96,1,1.96
37,1,71,196,2.59,1,2.59
37,1,72,93,3.724,2,1.862
37,1,72,146,14.109,8,1.76363
37,1,72,162,3.289,2,1.6445
37,1,72,280,1.951,1,1.951
37,1,74,16,3.272,2,1.636
37,1,74,35,3.226,1,3.226
37,1,74,138,1.675,1,1.675
37,1,74,191,1.426,1,1.426
37,1,97,93,1.794,1,1.794
37,1,102,72,2.176,1,2.176
37,1,102,280,1.655,1,1.655
37,1,108,36,3.552,2,1.776
37,1,108,63,1.858,1,1.858
37,1,108,194,1.535,1,1.535
37,1,115,72,1.452,1,1.452
37,1,115,280,2.066,1,2.066
37,1,129,46,1.544,1,1.544
37,1,138,93,1.858,1,1.858
37,1,141,93,1.496,1,1.496
37,1,146,0,1.606,1,1.606
37,1,146,93,3.169,2,1.5845
37,1,146,97,1.827,1,1.827
37,1,146,153,1.875,1,1.875
37,1,146,169,3.89,2,1.945
37,1,146,279,1.434,1,1.434
37,1,153,93,1.946,1,1.946
37,1,162,93,3.502,2,1.751
37,1,163,72,1.333,1,1.333
37,1,163,280,1.716,1,1.716
37,1,165,59,1.744,1,1.744
37,1,165,108,2.42,1,2.42
37,1,169,93,1.858,1,1.858
37,1,169,290,1.815,1,1.815
37,1,187,102,2.426,1,2.426
37,1,191,93,1.572,1,1.572
37,1,194,196,1.444,1,1.444
37,1,196,270,5.915,3,1.97167
37,1,248,196,1.976,1,1.976
37,1,257,46,1.87,1,1.87
37,1,257,61,3.847,2,1.9235
37,1,258,46,2.194,1,2.194
37,1,268,279,2.204,1,2.204
37,1,269,72,15.209,8,1.90112
37,1,269,163,4.196,2,2.098
37,1,269,268,1.866,1,1.866
37,1,269,280,1.759,1,1.759
37,1,270,269,5.073,3,1.691
37,1,279,93,3.503,2,1.7515
37,1,280,93,19.823,11,1.80209
37,1,281,72,1.708,1,1.708
37,1,281,102,1.933,1,1.933
37,1,281,280,2.182,1,2.182
37,1,290,93,2.002,1,2.002
