Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
10, 1, 0, 0, 0, 0, 26, 41.722
10, 2, 18.6456, 0, 0, 0, 26, 41.722
