cycle,timestamp,flow_id,src,dst,from_node,to_node,delta_value
6,6.2985,1,70,68,1,12,1.0
6,6.2985,1,70,68,3,5,1.0
6,6.2985,1,70,68,5,23,1.0
6,6.2985,1,70,68,6,193,1.0
6,6.2985,1,70,68,12,38,1.0
6,6.2985,1,70,68,14,68,0.333333
6,6.2985,1,70,68,14,146,0.666667
6,6.2985,1,70,68,21,162,1.0
6,6.2985,1,70,68,23,260,1.0
6,6.2985,1,70,68,24,248,1.0
6,6.2985,1,70,68,27,30,1.0
6,6.2985,1,70,68,28,60,1.0
6,6.2985,1,70,68,30,67,1.0
6,6.2985,1,70,68,31,184,1.0
6,6.2985,1,70,68,34,116,1.0
6,6.2985,1,70,68,36,194,1.0
6,6.2985,1,70,68,38,41,1.0
6,6.2985,1,70,68,41,111,0.333333
6,6.2985,1,70,68,41,168,0.666667
6,6.2985,1,70,68,42,41,1.0
6,6.2985,1,70,68,44,27,1.0
6,6.2985,1,70,68,46,21,0.25
6,6.2985,1,70,68,46,258,0.75
6,6.2985,1,70,68,51,247,1.0
6,6.2985,1,70,68,56,226,1.0
6,6.2985,1,70,68,57,261,1.0
6,6.2985,1,70,68,60,56,1.0
6,6.2985,1,70,68,63,68,0.4
6,6.2985,1,70,68,63,129,0.6
6,6.2985,1,70,68,64,94,1.0
6,6.2985,1,70,68,67,38,1.0
6,6.2985,1,70,68,70,111,0.033333
6,6.2985,1,70,68,70,110,0.033333
6,6.2985,1,70,68,70,155,0.033333
6,6.2985,1,70,68,70,38,0.033333
6,6.2985,1,70,68,70,195,0.033333
6,6.2985,1,70,68,70,122,0.033333
6,6.2985,1,70,68,70,132,0.033333
6,6.2985,1,70,68,70,118,0.033333
6,6.2985,1,70,68,70,123,0.033333
6,6.2985,1,70,68,70,42,0.033333
6,6.2985,1,70,68,70,252,0.033333
6,6.2985,1,70,68,70,188,0.033333
6,6.2985,1,70,68,70,140,0.033333
6,6.2985,1,70,68,70,130,0.033333
6,6.2985,1,70,68,70,154,0.033333
6,6.2985,1,70,68,70,143,0.033333
6,6.2985,1,70,68,70,198,0.033333
6,6.2985,1,70,68,70,44,0.033333
6,6.2985,1,70,68,70,12,0.033333
6,6.2985,1,70,68,70,240,0.033333
6,6.2985,1,70,68,70,67,0.033333
6,6.2985,1,70,68,70,30,0.033333
6,6.2985,1,70,68,70,1,0.033333
6,6.2985,1,70,68,70,251,0.033333
6,6.2985,1,70,68,70,41,0.033333
6,6.2985,1,70,68,70,75,0.166667
6,6.2985,1,70,68,71,34,1.0
6,6.2985,1,70,68,75,3,1.0
6,6.2985,1,70,68,76,238,1.0
6,6.2985,1,70,68,77,260,1.0
6,6.2985,1,70,68,78,260,1.0
6,6.2985,1,70,68,79,259,1.0
6,6.2985,1,70,68,80,281,1.0
6,6.2985,1,70,68,94,127,1.0
6,6.2985,1,70,68,105,120,1.0
6,6.2985,1,70,68,108,258,1.0
6,6.2985,1,70,68,109,108,1.0
6,6.2985,1,70,68,110,111,1.0
6,6.2985,1,70,68,111,168,1.0
6,6.2985,1,70,68,112,193,1.0
6,6.2985,1,70,68,118,41,1.0
6,6.2985,1,70,68,120,227,1.0
6,6.2985,1,70,68,121,168,1.0
6,6.2985,1,70,68,122,41,1.0
6,6.2985,1,70,68,123,28,1.0
6,6.2985,1,70,68,124,108,0.25
6,6.2985,1,70,68,124,194,0.25
6,6.2985,1,70,68,124,259,0.5
6,6.2985,1,70,68,127,271,1.0
6,6.2985,1,70,68,129,68,1.0
6,6.2985,1,70,68,130,122,1.0
6,6.2985,1,70,68,132,154,1.0
6,6.2985,1,70,68,134,78,1.0
6,6.2985,1,70,68,136,71,1.0
6,6.2985,1,70,68,140,41,1.0
6,6.2985,1,70,68,141,258,1.0
6,6.2985,1,70,68,143,41,1.0
6,6.2985,1,70,68,146,68,1.0
6,6.2985,1,70,68,151,227,1.0
6,6.2985,1,70,68,154,41,1.0
6,6.2985,1,70,68,155,38,1.0
6,6.2985,1,70,68,161,261,1.0
6,6.2985,1,70,68,162,68,0.125
6,6.2985,1,70,68,162,129,0.125
6,6.2985,1,70,68,162,63,0.25
6,6.2985,1,70,68,162,14,0.5
6,6.2985,1,70,68,166,196,1.0
6,6.2985,1,70,68,168,262,0.25
6,6.2985,1,70,68,168,193,0.333333
6,6.2985,1,70,68,168,261,0.416667
6,6.2985,1,70,68,180,194,1.0
6,6.2985,1,70,68,182,51,1.0
6,6.2985,1,70,68,183,36,1.0
6,6.2985,1,70,68,184,260,0.5
6,6.2985,1,70,68,184,197,0.5
6,6.2985,1,70,68,188,241,0.2
6,6.2985,1,70,68,188,111,0.2
6,6.2985,1,70,68,188,195,0.2
6,6.2985,1,70,68,188,41,0.4
6,6.2985,1,70,68,189,194,1.0
6,6.2985,1,70,68,193,262,0.4
6,6.2985,1,70,68,193,261,0.6
6,6.2985,1,70,68,194,108,0.384615
6,6.2985,1,70,68,194,258,0.615385
6,6.2985,1,70,68,195,241,0.333333
6,6.2985,1,70,68,195,111,0.666667
6,6.2985,1,70,68,196,260,1.0
6,6.2985,1,70,68,197,124,1.0
6,6.2985,1,70,68,198,140,1.0
6,6.2985,1,70,68,226,237,1.0
6,6.2985,1,70,68,228,105,1.0
6,6.2985,1,70,68,229,240,1.0
6,6.2985,1,70,68,230,195,1.0
6,6.2985,1,70,68,237,248,1.0
6,6.2985,1,70,68,238,182,1.0
6,6.2985,1,70,68,239,3,1.0
6,6.2985,1,70,68,240,143,1.0
6,6.2985,1,70,68,241,111,1.0
6,6.2985,1,70,68,247,21,1.0
6,6.2985,1,70,68,248,259,1.0
6,6.2985,1,70,68,249,260,1.0
6,6.2985,1,70,68,250,168,1.0
6,6.2985,1,70,68,251,41,1.0
6,6.2985,1,70,68,252,38,1.0
6,6.2985,1,70,68,258,68,0.173913
6,6.2985,1,70,68,258,129,0.173913
6,6.2985,1,70,68,258,63,0.26087
6,6.2985,1,70,68,258,162,0.391304
6,6.2985,1,70,68,259,108,0.181818
6,6.2985,1,70,68,259,46,0.181818
6,6.2985,1,70,68,259,258,0.181818
6,6.2985,1,70,68,259,194,0.454545
6,6.2985,1,70,68,260,124,0.285714
6,6.2985,1,70,68,260,194,0.285714
6,6.2985,1,70,68,260,259,0.428571
6,6.2985,1,70,68,261,184,0.192308
6,6.2985,1,70,68,261,36,0.192308
6,6.2985,1,70,68,261,197,0.230769
6,6.2985,1,70,68,261,260,0.384615
6,6.2985,1,70,68,262,261,1.0
6,6.2985,1,70,68,263,262,1.0
6,6.2985,2,219,193,1,155,1.0
6,6.2985,2,219,193,3,193,0.25
6,6.2985,2,219,193,3,261,0.75
6,6.2985,2,219,193,6,261,1.0
6,6.2985,2,219,193,12,155,1.0
6,6.2985,2,219,193,27,143,1.0
6,6.2985,2,219,193,28,239,1.0
6,6.2985,2,219,193,30,155,1.0
6,6.2985,2,219,193,38,41,1.0
6,6.2985,2,219,193,41,155,0.25
6,6.2985,2,219,193,41,111,0.25
6,6.2985,2,219,193,41,251,0.5
6,6.2985,2,219,193,42,38,1.0
6,6.2985,2,219,193,44,1,1.0
6,6.2985,2,219,193,57,193,0.4
6,6.2985,2,219,193,57,62,0.6
6,6.2985,2,219,193,62,193,1.0
6,6.2985,2,219,193,67,12,1.0
6,6.2985,2,219,193,70,12,1.0
6,6.2985,2,219,193,75,239,0.333333
6,6.2985,2,219,193,75,3,0.666667
6,6.2985,2,219,193,110,252,1.0
6,6.2985,2,219,193,111,168,0.444444
6,6.2985,2,219,193,111,251,0.555556
6,6.2985,2,219,193,112,168,1.0
6,6.2985,2,219,193,118,41,1.0
6,6.2985,2,219,193,121,57,1.0
6,6.2985,2,219,193,122,41,1.0
6,6.2985,2,219,193,123,12,1.0
6,6.2985,2,219,193,125,228,0.125
6,6.2985,2,219,193,125,27,0.125
6,6.2985,2,219,193,125,229,0.125
6,6.2985,2,219,193,125,30,0.125
6,6.2985,2,219,193,125,28,0.125
6,6.2985,2,219,193,125,123,0.375
6,6.2985,2,219,193,130,155,1.0
6,6.2985,2,219,193,132,111,1.0
6,6.2985,2,219,193,140,41,1.0
6,6.2985,2,219,193,143,239,1.0
6,6.2985,2,219,193,154,41,1.0
6,6.2985,2,219,193,155,251,0.428571
6,6.2985,2,219,193,155,111,0.571429
6,6.2985,2,219,193,168,193,0.461538
6,6.2985,2,219,193,168,62,0.538462
6,6.2985,2,219,193,188,41,1.0
6,6.2985,2,219,193,195,111,1.0
6,6.2985,2,219,193,198,155,1.0
6,6.2985,2,219,193,206,217,1.0
6,6.2985,2,219,193,207,206,0.428571
6,6.2985,2,219,193,207,218,0.571429
6,6.2985,2,219,193,208,207,1.0
6,6.2985,2,219,193,217,228,0.428571
6,6.2985,2,219,193,217,125,0.571429
6,6.2985,2,219,193,218,125,0.307692
6,6.2985,2,219,193,218,217,0.307692
6,6.2985,2,219,193,218,229,0.384615
6,6.2985,2,219,193,219,208,0.2
6,6.2985,2,219,193,219,220,0.2
6,6.2985,2,219,193,219,218,0.266667
6,6.2985,2,219,193,219,230,0.333333
6,6.2985,2,219,193,220,231,1.0
6,6.2985,2,219,193,228,239,1.0
6,6.2985,2,219,193,229,30,1.0
6,6.2985,2,219,193,230,44,0.083333
6,6.2985,2,219,193,230,229,0.083333
6,6.2985,2,219,193,230,132,0.166667
6,6.2985,2,219,193,230,241,0.166667
6,6.2985,2,219,193,230,195,0.166667
6,6.2985,2,219,193,230,110,0.333333
6,6.2985,2,219,193,231,230,0.428571
6,6.2985,2,219,193,231,242,0.571429
6,6.2985,2,219,193,239,250,0.4
6,6.2985,2,219,193,239,3,0.6
6,6.2985,2,219,193,240,155,1.0
6,6.2985,2,219,193,241,111,1.0
6,6.2985,2,219,193,242,42,1.0
6,6.2985,2,219,193,250,251,0.166667
6,6.2985,2,219,193,250,6,0.166667
6,6.2985,2,219,193,250,168,0.166667
6,6.2985,2,219,193,250,261,0.166667
6,6.2985,2,219,193,250,3,0.333333
6,6.2985,2,219,193,251,193,0.076923
6,6.2985,2,219,193,251,168,0.153846
6,6.2985,2,219,193,251,112,0.153846
6,6.2985,2,219,193,251,6,0.153846
6,6.2985,2,219,193,251,262,0.461538
6,6.2985,2,219,193,252,41,1.0
6,6.2985,2,219,193,253,118,1.0
6,6.2985,2,219,193,261,57,0.142857
6,6.2985,2,219,193,261,168,0.142857
6,6.2985,2,219,193,261,121,0.142857
6,6.2985,2,219,193,261,262,0.571429
6,6.2985,2,219,193,262,193,0.166667
