cycle_id,sim_time_s,flow_id,flow_source,flow_destination,node_id,node_role,next_hop_id,unique_inbound_count,unique_outbound_count,num_watchers_inbound,num_watchers_outbound
53,54.0001,0,70,68,1,INTERMEDIATE,-1,3,0,28,0
53,54.0001,0,70,68,1,INTERMEDIATE,12,3,3,28,16
53,54.0001,0,70,68,6,INTERMEDIATE,-1,3,0,26,0
53,54.0001,0,70,68,12,INTERMEDIATE,-1,5,0,19,0
53,54.0001,0,70,68,12,INTERMEDIATE,261,5,5,19,24
53,54.0001,0,70,68,23,INTERMEDIATE,-1,2,0,26,0
53,54.0001,0,70,68,23,INTERMEDIATE,71,2,2,26,17
53,54.0001,0,70,68,27,INTERMEDIATE,-1,3,0,27,0
53,54.0001,0,70,68,29,INTERMEDIATE,-1,1,0,23,0
53,54.0001,0,70,68,29,INTERMEDIATE,82,1,1,23,17
53,54.0001,0,70,68,41,INTERMEDIATE,-1,1,0,15,0
53,54.0001,0,70,68,62,INTERMEDIATE,-1,1,0,15,0
53,54.0001,0,70,68,62,INTERMEDIATE,27,1,1,15,24
53,54.0001,0,70,68,70,SOURCE,-1,0,0,0,0
53,54.0001,0,70,68,71,INTERMEDIATE,-1,2,0,17,0
53,54.0001,0,70,68,71,INTERMEDIATE,183,2,2,17,14
53,54.0001,0,70,68,75,INTERMEDIATE,-1,1,0,15,0
53,54.0001,0,70,68,75,INTERMEDIATE,262,1,1,15,16
53,54.0001,0,70,68,82,INTERMEDIATE,-1,19,0,39,0
53,54.0001,0,70,68,112,INTERMEDIATE,-1,1,0,15,0
53,54.0001,0,70,68,112,INTERMEDIATE,1,1,1,15,24
53,54.0001,0,70,68,130,INTERMEDIATE,-1,1,0,15,0
53,54.0001,0,70,68,130,INTERMEDIATE,12,1,1,15,10
53,54.0001,0,70,68,143,INTERMEDIATE,-1,1,0,15,0
53,54.0001,0,70,68,143,INTERMEDIATE,27,1,1,15,24
53,54.0001,0,70,68,152,INTERMEDIATE,-1,1,0,15,0
53,54.0001,0,70,68,152,INTERMEDIATE,6,1,1,15,23
53,54.0001,0,70,68,155,INTERMEDIATE,-1,1,0,15,0
53,54.0001,0,70,68,155,INTERMEDIATE,1,1,1,15,22
53,54.0001,0,70,68,159,INTERMEDIATE,-1,1,0,23,0
53,54.0001,0,70,68,159,INTERMEDIATE,82,1,1,23,13
53,54.0001,0,70,68,183,INTERMEDIATE,-1,2,0,14,0
53,54.0001,0,70,68,183,INTERMEDIATE,82,2,2,14,16
53,54.0001,0,70,68,193,INTERMEDIATE,-1,1,0,15,0
53,54.0001,0,70,68,193,INTERMEDIATE,6,1,1,15,22
53,54.0001,0,70,68,197,INTERMEDIATE,-1,2,0,24,0
53,54.0001,0,70,68,197,INTERMEDIATE,23,2,2,24,26
53,54.0001,0,70,68,251,INTERMEDIATE,-1,1,0,15,0
