cycle_id,sim_time_s,flow_id,flow_source,flow_destination,node_id,node_type,num_active_next_hops,sum_abs_ff_deviation,sum_abs_ff_deviation_normalized,threshold,detected,total_inbound,total_outbound,node_pdr,mean_pdr_flow,pdr_deviation,inbound_ratio
21,22.0001,0,70,68,1,VEHICLE,0,1.0000,1.0000,0.5000,0,7,0,0.00,52.12,52.12,1.4286
21,22.0001,0,70,68,5,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,52.12,52.12,6.0000
21,22.0001,0,70,68,6,VEHICLE,1,0.8571,0.8571,0.5000,1,1,1,100.00,52.12,-47.88,7.0000
21,22.0001,0,70,68,12,VEHICLE,1,0.8000,0.8000,0.5000,1,5,1,20.00,52.12,32.12,0.6000
21,22.0001,0,70,68,27,VEHICLE,0,1.0000,1.0000,0.5000,0,2,0,0.00,52.12,52.12,1.0000
21,22.0001,0,70,68,30,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,52.12,52.12,2.0000
21,22.0001,0,70,68,38,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,52.12,-47.88,1.0000
21,22.0001,0,70,68,41,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,52.12,52.12,3.0000
21,22.0001,0,70,68,57,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,52.12,-47.88,1.0000
21,22.0001,0,70,68,64,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,52.12,-47.88,4.0000
21,22.0001,0,70,68,67,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,52.12,-47.88,1.0000
21,22.0001,0,70,68,75,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,52.12,52.12,3.0000
21,22.0001,0,70,68,84,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,52.12,-47.88,3.0000
21,22.0001,0,70,68,111,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,52.12,52.12,3.0000
21,22.0001,0,70,68,112,RSU,1,0.5833,0.5833,0.5000,1,1,1,100.00,52.12,-47.88,12.0000
21,22.0001,0,70,68,118,RSU,1,0.0000,0.0000,0.5000,0,2,2,100.00,52.12,-47.88,1.5000
21,22.0001,0,70,68,122,RSU,1,1.0000,1.0000,0.5000,1,1,1,100.00,52.12,-47.88,2.0000
21,22.0001,0,70,68,123,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,52.12,-47.88,2.0000
21,22.0001,0,70,68,130,RSU,1,0.6000,0.6000,0.5000,1,2,2,100.00,52.12,-47.88,2.5000
21,22.0001,0,70,68,132,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,52.12,-47.88,2.0000
21,22.0001,0,70,68,134,RSU,0,1.0000,1.0000,0.5000,0,4,0,0.00,52.12,52.12,2.7500
21,22.0001,0,70,68,143,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,52.12,52.12,2.0000
21,22.0001,0,70,68,152,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,52.12,52.12,3.0000
21,22.0001,0,70,68,154,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,52.12,-47.88,2.0000
