Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
35, 1, 2.15643, 0, 0, 0, 24, 45.743
35, 2, 47.169, 17.6695, 271.358, 4.5011, 24, 45.743
