node_id,detected,attack_type
1,0,
3,0,
6,1,Interleaved_Jamming_Attack
12,1,Split_Path_Attack
20,0,
24,0,
27,1,Split_Path_Attack
30,0,
34,1,Split_Path_Attack
38,0,
41,1,Split_Path_Attack
42,0,
44,0,
59,0,
67,0,
75,0,
78,0,
110,0,
111,0,
118,0,
121,0,
122,1,Flow_Stretching_Attack
123,1,Interleaved_Jamming_Attack
124,1,Interleaved_Jamming_Attack
130,1,Split_Path_Attack
132,0,
134,0,
140,0,
143,0,
154,0,
155,0,
168,0,
184,0,
188,1,Interleaved_Jamming_Attack
193,0,
195,0,
198,0,
228,1,Split_Path_Attack
238,0,
239,0,
240,0,
241,0,
250,0,
251,0,
252,0,
260,1,Interleaved_Jamming_Attack
261,1,Interleaved_Jamming_Attack
262,0,
271,0,
7,0,
15,0,
17,0,
23,0,
29,0,
33,0,
35,0,
37,0,
48,0,
55,0,
57,0,
64,0,
72,1,Split_Path_Attack
73,0,
74,0,
80,0,
81,0,
82,0,
85,0,
88,0,
89,1,Split_Path_Attack
93,0,
94,0,
95,0,
97,0,
98,0,
99,0,
102,0,
115,0,
127,1,Split_Path_Attack
128,0,
138,1,Split_Path_Attack
152,1,Split_Path_Attack
153,0,
163,0,
169,1,Split_Path_Attack
187,0,
191,0,
192,0,
269,0,
270,0,
272,0,
279,0,
280,0,
281,0,
282,0,
290,0,
291,0,
