cycle_id,sim_time_s,flow_id,flow_source,flow_destination,node_id,node_role,next_hop_id,unique_inbound_count,unique_outbound_count,num_watchers_inbound,num_watchers_outbound
37,38.0001,0,70,68,247,INTERMEDIATE,-1,2,0,24,0
37,38.0001,0,70,68,247,INTERMEDIATE,14,2,2,24,31
37,38.0001,0,70,68,247,INTERMEDIATE,258,2,1,24,31
37,38.0001,0,70,68,249,INTERMEDIATE,-1,5,0,20,0
37,38.0001,0,70,68,249,INTERMEDIATE,3,5,5,20,10
37,38.0001,0,70,68,250,INTERMEDIATE,-1,5,0,26,0
37,38.0001,0,70,68,250,INTERMEDIATE,249,5,5,26,20
37,38.0001,0,70,68,251,INTERMEDIATE,-1,1,0,25,0
37,38.0001,0,70,68,258,INTERMEDIATE,-1,4,0,34,0
37,38.0001,1,93,136,0,INTERMEDIATE,-1,1,0,15,0
37,38.0001,1,93,136,0,INTERMEDIATE,146,1,1,15,13
37,38.0001,1,93,136,10,INTERMEDIATE,-1,5,0,31,0
37,38.0001,1,93,136,14,INTERMEDIATE,-1,4,0,14,0
37,38.0001,1,93,136,16,INTERMEDIATE,-1,2,0,15,0
37,38.0001,1,93,136,16,INTERMEDIATE,74,2,2,15,16
37,38.0001,1,93,136,35,INTERMEDIATE,-1,1,0,15,0
37,38.0001,1,93,136,35,INTERMEDIATE,74,1,1,15,16
37,38.0001,1,93,136,36,INTERMEDIATE,-1,2,0,20,0
37,38.0001,1,93,136,36,INTERMEDIATE,108,2,2,20,19
37,38.0001,1,93,136,40,INTERMEDIATE,-1,3,0,8,0
37,38.0001,1,93,136,40,INTERMEDIATE,14,3,3,8,13
37,38.0001,1,93,136,46,INTERMEDIATE,-1,7,0,13,0
37,38.0001,1,93,136,46,INTERMEDIATE,61,7,2,13,7
37,38.0001,1,93,136,46,INTERMEDIATE,129,7,2,13,7
37,38.0001,1,93,136,46,INTERMEDIATE,257,7,1,13,7
37,38.0001,1,93,136,46,INTERMEDIATE,258,7,2,13,7
37,38.0001,1,93,136,59,INTERMEDIATE,-1,1,0,24,0
37,38.0001,1,93,136,59,INTERMEDIATE,165,1,1,24,20
37,38.0001,1,93,136,61,INTERMEDIATE,-1,2,0,6,0
37,38.0001,1,93,136,61,INTERMEDIATE,257,2,2,6,7
37,38.0001,1,93,136,63,INTERMEDIATE,-1,1,0,13,0
37,38.0001,1,93,136,63,INTERMEDIATE,108,1,1,13,20
37,38.0001,1,93,136,68,INTERMEDIATE,-1,1,0,16,0
37,38.0001,1,93,136,68,INTERMEDIATE,14,1,1,16,13
37,38.0001,1,93,136,71,INTERMEDIATE,-1,1,0,10,0
37,38.0001,1,93,136,71,INTERMEDIATE,36,1,1,10,19
37,38.0001,1,93,136,72,INTERMEDIATE,-1,13,0,29,0
37,38.0001,1,93,136,72,INTERMEDIATE,102,13,1,29,15
37,38.0001,1,93,136,72,INTERMEDIATE,115,13,1,29,15
37,38.0001,1,93,136,72,INTERMEDIATE,163,13,1,29,15
37,38.0001,1,93,136,72,INTERMEDIATE,192,13,1,29,15
37,38.0001,1,93,136,72,INTERMEDIATE,269,13,8,29,15
37,38.0001,1,93,136,72,INTERMEDIATE,281,13,1,29,15
37,38.0001,1,93,136,74,INTERMEDIATE,-1,5,0,17,0
37,38.0001,1,93,136,74,INTERMEDIATE,10,5,5,17,31
37,38.0001,1,93,136,93,SOURCE,-1,0,0,0,0
37,38.0001,1,93,136,97,INTERMEDIATE,-1,1,0,15,0
37,38.0001,1,93,136,97,INTERMEDIATE,146,1,1,15,11
37,38.0001,1,93,136,102,INTERMEDIATE,-1,2,0,21,0
37,38.0001,1,93,136,102,INTERMEDIATE,187,2,1,21,28
37,38.0001,1,93,136,102,INTERMEDIATE,281,2,1,21,28
37,38.0001,1,93,136,108,INTERMEDIATE,-1,4,0,34,0
37,38.0001,1,93,136,108,INTERMEDIATE,59,4,1,34,25
37,38.0001,1,93,136,108,INTERMEDIATE,116,4,1,34,25
37,38.0001,1,93,136,108,INTERMEDIATE,136,4,1,34,25
37,38.0001,1,93,136,108,INTERMEDIATE,165,4,1,34,25
37,38.0001,1,93,136,115,INTERMEDIATE,-1,2,0,21,0
37,38.0001,1,93,136,115,INTERMEDIATE,192,2,2,21,10
37,38.0001,1,93,136,116,INTERMEDIATE,-1,1,0,24,0
37,38.0001,1,93,136,129,INTERMEDIATE,-1,2,0,7,0
37,38.0001,1,93,136,129,INTERMEDIATE,63,2,1,7,13
37,38.0001,1,93,136,136,DESTINATION,-1,0,0,0,0
37,38.0001,1,93,136,138,INTERMEDIATE,-1,1,0,15,0
37,38.0001,1,93,136,138,INTERMEDIATE,74,1,1,15,16
37,38.0001,1,93,136,141,INTERMEDIATE,-1,1,0,15,0
37,38.0001,1,93,136,141,INTERMEDIATE,46,1,1,15,6
37,38.0001,1,93,136,146,INTERMEDIATE,-1,8,0,26,0
37,38.0001,1,93,136,146,INTERMEDIATE,72,8,8,26,17
37,38.0001,1,93,136,153,INTERMEDIATE,-1,1,0,15,0
37,38.0001,1,93,136,153,INTERMEDIATE,146,1,1,15,13
37,38.0001,1,93,136,162,INTERMEDIATE,-1,2,0,15,0
37,38.0001,1,93,136,162,INTERMEDIATE,72,2,2,15,15
37,38.0001,1,93,136,163,INTERMEDIATE,-1,2,0,20,0
37,38.0001,1,93,136,163,INTERMEDIATE,269,2,2,20,22
37,38.0001,1,93,136,165,INTERMEDIATE,-1,2,0,27,0
37,38.0001,1,93,136,165,INTERMEDIATE,136,2,2,27,23
37,38.0001,1,93,136,169,INTERMEDIATE,-1,2,0,20,0
37,38.0001,1,93,136,169,INTERMEDIATE,146,2,2,20,17
37,38.0001,1,93,136,187,INTERMEDIATE,-1,1,0,27,0
37,38.0001,1,93,136,187,INTERMEDIATE,192,1,1,27,27
37,38.0001,1,93,136,191,INTERMEDIATE,-1,1,0,15,0
37,38.0001,1,93,136,191,INTERMEDIATE,74,1,1,15,16
37,38.0001,1,93,136,192,INTERMEDIATE,-1,12,0,45,0
37,38.0001,1,93,136,194,INTERMEDIATE,-1,1,0,10,0
37,38.0001,1,93,136,194,INTERMEDIATE,108,1,1,10,23
37,38.0001,1,93,136,196,INTERMEDIATE,-1,3,0,22,0
37,38.0001,1,93,136,196,INTERMEDIATE,71,3,1,22,11
37,38.0001,1,93,136,196,INTERMEDIATE,194,3,1,22,11
37,38.0001,1,93,136,196,INTERMEDIATE,248,3,1,22,11
37,38.0001,1,93,136,248,INTERMEDIATE,-1,1,0,10,0
37,38.0001,1,93,136,248,INTERMEDIATE,36,1,1,10,19
37,38.0001,1,93,136,257,INTERMEDIATE,-1,3,0,11,0
37,38.0001,1,93,136,257,INTERMEDIATE,40,3,3,11,8
37,38.0001,1,93,136,258,INTERMEDIATE,-1,5,0,13,0
37,38.0001,1,93,136,258,INTERMEDIATE,68,5,1,13,16
37,38.0001,1,93,136,268,INTERMEDIATE,-1,1,0,17,0
37,38.0001,1,93,136,268,INTERMEDIATE,269,1,1,17,8
37,38.0001,1,93,136,269,INTERMEDIATE,-1,12,0,40,0
37,38.0001,1,93,136,269,INTERMEDIATE,46,12,6,40,9
37,38.0001,1,93,136,269,INTERMEDIATE,258,12,3,40,9
37,38.0001,1,93,136,269,INTERMEDIATE,270,12,3,40,9
37,38.0001,1,93,136,270,INTERMEDIATE,-1,3,0,8,0
37,38.0001,1,93,136,270,INTERMEDIATE,196,3,3,8,22
37,38.0001,1,93,136,279,INTERMEDIATE,-1,2,0,15,0
37,38.0001,1,93,136,279,INTERMEDIATE,146,2,1,15,18
37,38.0001,1,93,136,279,INTERMEDIATE,268,2,1,15,18
37,38.0001,1,93,136,280,INTERMEDIATE,-1,11,0,15,0
37,38.0001,1,93,136,280,INTERMEDIATE,72,11,1,15,20
37,38.0001,1,93,136,280,INTERMEDIATE,102,11,1,15,20
37,38.0001,1,93,136,280,INTERMEDIATE,115,11,1,15,20
37,38.0001,1,93,136,280,INTERMEDIATE,163,11,1,15,20
37,38.0001,1,93,136,280,INTERMEDIATE,192,11,5,15,20
37,38.0001,1,93,136,280,INTERMEDIATE,269,11,1,15,20
37,38.0001,1,93,136,280,INTERMEDIATE,281,11,1,15,20
37,38.0001,1,93,136,281,INTERMEDIATE,-1,3,0,41,0
37,38.0001,1,93,136,281,INTERMEDIATE,192,3,3,41,30
37,38.0001,1,93,136,290,INTERMEDIATE,-1,1,0,15,0
37,38.0001,1,93,136,290,INTERMEDIATE,169,1,1,15,14
