Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
7, 1, 7.21513, 16.6622, 479.391, 4.28808, 10, 45.794
7, 2, 16.0001, 0, 0, 0, 10, 45.794
