cycle_id,sim_time_s,flow_id,flow_source,flow_destination,node_id,node_role,next_hop_id,unique_inbound_count,unique_outbound_count,num_watchers_inbound,num_watchers_outbound
20,21.0001,0,70,68,1,INTERMEDIATE,-1,3,0,26,0
20,21.0001,0,70,68,3,INTERMEDIATE,-1,5,0,22,0
20,21.0001,0,70,68,3,INTERMEDIATE,249,5,1,22,9
20,21.0001,0,70,68,6,INTERMEDIATE,-1,7,0,39,0
20,21.0001,0,70,68,12,INTERMEDIATE,-1,1,0,28,0
20,21.0001,0,70,68,27,INTERMEDIATE,-1,1,0,27,0
20,21.0001,0,70,68,30,INTERMEDIATE,-1,1,0,28,0
20,21.0001,0,70,68,38,INTERMEDIATE,-1,1,0,28,0
20,21.0001,0,70,68,38,INTERMEDIATE,241,1,1,28,22
20,21.0001,0,70,68,41,INTERMEDIATE,-1,1,0,28,0
20,21.0001,0,70,68,44,INTERMEDIATE,-1,1,0,23,0
20,21.0001,0,70,68,44,INTERMEDIATE,240,1,1,23,15
20,21.0001,0,70,68,67,INTERMEDIATE,-1,1,0,28,0
20,21.0001,0,70,68,67,INTERMEDIATE,75,1,1,28,28
20,21.0001,0,70,68,70,SOURCE,-1,0,0,0,0
20,21.0001,0,70,68,75,INTERMEDIATE,-1,5,0,38,0
20,21.0001,0,70,68,75,INTERMEDIATE,3,5,5,38,22
20,21.0001,0,70,68,110,INTERMEDIATE,-1,1,0,28,0
20,21.0001,0,70,68,110,INTERMEDIATE,44,1,1,28,23
20,21.0001,0,70,68,111,INTERMEDIATE,-1,1,0,28,0
20,21.0001,0,70,68,111,INTERMEDIATE,6,1,1,28,21
20,21.0001,0,70,68,112,INTERMEDIATE,-1,1,0,27,0
20,21.0001,0,70,68,112,INTERMEDIATE,262,1,1,27,17
20,21.0001,0,70,68,118,INTERMEDIATE,-1,1,0,28,0
20,21.0001,0,70,68,122,INTERMEDIATE,-1,1,0,28,0
20,21.0001,0,70,68,122,INTERMEDIATE,1,1,1,28,20
20,21.0001,0,70,68,123,INTERMEDIATE,-1,1,0,27,0
20,21.0001,0,70,68,130,INTERMEDIATE,-1,1,0,27,0
20,21.0001,0,70,68,132,INTERMEDIATE,-1,1,0,28,0
20,21.0001,0,70,68,132,INTERMEDIATE,1,1,1,28,21
