Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
26, 1, 7.72657, 23.7662, 484.693, 0, 54, 58.234
26, 2, 38.7757, 14.203, 443.389, 5.072, 54, 58.234
