Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
46, 1, 10.7006, 17.0641, 365.111, 0, 22, 70.043
46, 2, 54.7116, 20.5311, 520.91, 6.96706, 22, 70.043
