Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
51, 1, 8.60534, 0, 0, 0, 10, 130.97
51, 2, 19.2135, 20.7123, 338.407, 4.26428, 10, 130.97
