cycle_id,flow_id,node_id,prev_hop_id,hop_delay_sum_ms,hop_delay_count,mean_delay_ms
22,0,1,110,3.156,1,3.156
22,0,1,123,4.86,2,2.43
22,0,3,6,11.934,6,1.989
22,0,6,30,4.381,2,2.1905
22,0,6,70,1.515,1,1.515
22,0,6,84,1.614,1,1.614
22,0,6,262,9.652,5,1.9304
22,0,14,129,2.034,1,2.034
22,0,30,70,1.545,1,1.545
22,0,30,143,1.577,1,1.577
22,0,36,77,5.272,3,1.75733
22,0,46,108,1.768,1,1.768
22,0,46,194,4.986,2,2.493
22,0,46,258,1.367,1,1.367
22,0,63,258,1.516,1,1.516
22,0,64,261,7.884,4,1.971
22,0,75,70,1.505,1,1.505
22,0,77,109,2.544,1,2.544
22,0,77,180,1.709,1,1.709
22,0,77,260,2.237,1,2.237
22,0,79,64,5.001,3,1.667
22,0,79,134,2.559,1,2.559
22,0,79,261,8.306,2,4.153
22,0,84,193,1.608,1,1.608
22,0,108,189,1.905,1,1.905
22,0,108,259,3.239,1,3.239
22,0,109,161,2.268,1,2.268
22,0,109,180,2.033,1,2.033
22,0,109,260,8.079,1,8.079
22,0,110,70,2.223,1,2.223
22,0,111,240,1.91,1,1.91
22,0,112,70,1.248,1,1.248
22,0,122,70,2.334,1,2.334
22,0,123,70,4.001,1,4.001
22,0,123,122,1.866,1,1.866
22,0,129,108,1.483,1,1.483
22,0,134,3,1.798,1,1.798
22,0,134,250,1.926,1,1.926
22,0,141,14,2.506,1,2.506
22,0,141,258,3.328,2,1.664
22,0,143,70,2.527,1,2.527
22,0,161,3,2.402,1,2.402
22,0,180,3,1.902,1,1.902
22,0,180,261,4.71,2,2.355
22,0,188,70,4.525,1,4.525
22,0,189,180,1.409,1,1.409
22,0,189,260,3.158,1,3.158
22,0,193,70,24.149,8,3.01862
22,0,194,259,2.277,1,2.277
22,0,198,70,3.268,1,3.268
22,0,239,70,2.006,1,2.006
22,0,240,70,2.451,1,2.451
22,0,246,21,1.768,1,1.768
22,0,250,70,2.35,1,2.35
22,0,251,70,2.016,1,2.016
22,0,258,259,8.726,5,1.7452
22,0,259,36,5.752,3,1.91733
22,0,259,180,1.464,1,1.464
22,0,259,260,7.461,4,1.86525
22,0,260,79,42.905,11,3.90045
22,0,261,3,1.291,1,1.291
22,0,261,6,4.006,2,2.003
22,0,261,193,21.265,3,7.08833
22,0,262,111,3.678,2,1.839
22,0,262,112,1.888,1,1.888
22,0,262,193,1.366,1,1.366
22,0,262,198,3.829,1,3.829
22,0,262,251,2.631,1,2.631
22,1,1,30,28.832,11,2.62109
22,1,8,100,2.09,1,2.09
22,1,30,84,16.98,10,1.698
22,1,30,262,1.42,1,1.42
22,1,39,49,3.232,2,1.616
22,1,39,52,2.865,2,1.4325
22,1,39,54,3.486,2,1.743
22,1,39,92,2.266,1,2.266
22,1,39,107,2.69,1,2.69
22,1,39,199,1.8,1,1.8
22,1,45,39,3.329,2,1.6645
22,1,45,285,11.249,5,2.2498
22,1,49,107,1.524,1,1.524
22,1,49,298,1.343,1,1.343
22,1,52,90,1.658,1,1.658
22,1,52,107,10.079,5,2.0158
22,1,52,296,3.263,1,3.263
22,1,54,107,1.642,1,1.642
22,1,54,297,1.906,1,1.906
22,1,62,274,2.367,1,2.367
22,1,65,107,1.523,1,1.523
22,1,66,39,1.758,1,1.758
22,1,66,107,1.587,1,1.587
22,1,84,168,36.367,10,3.6367
22,1,86,4,4.298,2,2.149
22,1,90,107,1.752,1,1.752
22,1,92,107,1.702,1,1.702
22,1,100,107,1.543,1,1.543
22,1,101,66,21.97,8,2.74625
22,1,101,295,3.349,2,1.6745
22,1,103,107,2.348,1,2.348
22,1,122,1,2.035,1,2.035
22,1,150,107,1.435,1,1.435
22,1,160,107,1.86,1,1.86
22,1,168,171,28.418,10,2.8418
22,1,171,101,27.759,10,2.7759
22,1,195,122,1.943,1,1.943
22,1,199,107,3.574,1,3.574
22,1,262,62,1.671,1,1.671
22,1,274,285,1.926,1,1.926
22,1,285,39,9.956,5,1.9912
22,1,285,52,5.253,3,1.751
22,1,285,65,2.634,1,2.634
22,1,285,103,1.956,1,1.956
22,1,286,107,1.93,1,1.93
22,1,295,86,5.138,2,2.569
22,1,296,107,1.778,1,1.778
22,1,297,107,2.073,1,2.073
22,1,298,107,1.679,1,1.679
