Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
24, 1, 12.1795, 27.633, 243.477, 2.7565, 28, 54.687
24, 2, 24.9091, 11.9596, 199.572, 5.13876, 28, 54.687
