node_id,detected,attack_type
1,0,
12,1,Split_Path_Attack
30,0,
38,0,
41,1,Split_Path_Attack
42,0,
44,0,
67,0,
75,1,Interleaved_Jamming_Attack
110,0,
111,1,Interleaved_Jamming_Attack
118,0,
122,1,Flow_Stretching_Attack
123,1,Interleaved_Jamming_Attack
130,0,
132,0,
140,0,
143,0,
154,0,
155,0,
188,0,
195,1,Flow_Stretching_Attack
198,0,
240,1,Interleaved_Jamming_Attack
241,0,
251,1,Interleaved_Jamming_Attack
252,0,
25,0,
27,1,Split_Path_Attack
62,0,
87,0,
125,0,
168,0,
206,0,
207,0,
208,0,
217,0,
218,0,
220,0,
228,1,Split_Path_Attack
229,0,
230,0,
231,0,
242,0,
