cycle,flow_id,node,planned_inbound_by_subflow,planned_inbound_by_mainflow
50,1,1,5,5
50,1,3,2,2
50,1,6,3,3
50,1,12,3,3
50,1,14,8,8
50,1,21,10,10
50,1,23,6,6
50,1,24,3,3
50,1,26,10,10
50,1,27,3,3
50,1,28,10,10
50,1,29,1,1
50,1,34,5,5
50,1,36,2,2
50,1,41,4,4
50,1,51,1,1
50,1,57,2,2
50,1,59,5,5
50,1,60,2,2
50,1,62,3,3
50,1,63,1,1
50,1,64,1,1
50,1,67,1,1
50,1,70,30,30
50,1,71,5,5
50,1,75,7,7
50,1,76,6,6
50,1,77,1,1
50,1,79,1,1
50,1,82,7,7
50,1,84,1,1
50,1,108,5,5
50,1,112,6,6
50,1,116,1,1
50,1,124,6,6
50,1,129,2,2
50,1,130,2,2
50,1,134,3,3
50,1,136,1,1
50,1,143,10,10
50,1,148,1,1
50,1,152,3,3
50,1,154,1,1
50,1,155,4,4
50,1,159,7,7
50,1,161,2,2
50,1,164,1,1
50,1,165,7,7
50,1,180,1,1
50,1,182,3,3
50,1,183,4,4
50,1,189,2,2
50,1,193,3,3
50,1,194,1,1
50,1,196,5,5
50,1,197,3,3
50,1,198,2,2
50,1,237,1,1
50,1,238,5,5
50,1,239,1,1
50,1,247,1,1
50,1,248,3,3
50,1,249,10,10
50,1,250,14,14
50,1,251,2,2
50,1,259,14,14
50,1,260,6,6
50,1,261,10,10
50,1,262,3,3
50,1,270,1,1
50,1,271,1,1
50,1,272,1,1
50,2,12,1,1
50,2,19,5,5
50,2,20,1,1
50,2,21,12,12
50,2,26,1,1
50,2,49,1,1
50,2,52,1,1
50,2,54,2,2
50,2,57,1,1
50,2,59,25,25
50,2,65,14,14
50,2,66,1,1
50,2,69,14,14
50,2,73,1,1
50,2,77,9,9
50,2,79,1,1
50,2,81,1,1
50,2,83,1,1
50,2,89,1,1
50,2,90,5,5
50,2,91,2,2
50,2,92,2,2
50,2,94,1,1
50,2,98,1,1
50,2,100,1,1
50,2,103,3,3
50,2,105,1,1
50,2,106,1,1
50,2,107,3,3
50,2,113,1,1
50,2,116,2,2
50,2,120,8,8
50,2,121,1,1
50,2,126,1,1
50,2,127,1,1
50,2,133,6,6
50,2,135,10,10
50,2,136,9,9
50,2,137,1,1
50,2,139,1,1
50,2,142,1,1
50,2,144,1,1
50,2,148,3,3
50,2,150,10,10
50,2,151,1,1
50,2,158,1,1
50,2,160,21,21
50,2,161,1,1
50,2,167,13,13
50,2,168,1,1
50,2,171,1,1
50,2,176,1,1
50,2,179,2,2
50,2,180,25,25
50,2,184,1,1
50,2,194,10,10
50,2,197,25,25
50,2,199,3,3
50,2,215,2,2
50,2,216,1,1
50,2,225,24,24
50,2,226,2,2
50,2,236,21,21
50,2,237,3,3
50,2,247,4,4
50,2,260,25,25
50,2,261,1,1
50,2,271,25,25
50,2,272,1,1
50,2,282,1,1
50,2,283,1,1
50,2,284,25,25
50,2,285,6,6
50,2,286,3,3
50,2,293,1,1
50,2,294,1,1
50,2,295,19,19
50,2,296,19,19
50,2,297,4,4
50,2,308,15,15
50,2,309,9,9
50,2,319,28,28
50,2,320,9,9
