cycle,timestamp,flow_id,src,dst,from_node,to_node,delta_value
13,13.2985,1,70,68,1,198,1.0
13,13.2985,1,70,68,3,134,1.0
13,13.2985,1,70,68,5,180,1.0
13,13.2985,1,70,68,6,193,0.384615
13,13.2985,1,70,68,6,134,0.615385
13,13.2985,1,70,68,12,27,1.0
13,13.2985,1,70,68,14,68,0.25
13,13.2985,1,70,68,14,21,0.25
13,13.2985,1,70,68,14,162,0.5
13,13.2985,1,70,68,18,225,1.0
13,13.2985,1,70,68,20,237,1.0
13,13.2985,1,70,68,21,68,1.0
13,13.2985,1,70,68,23,77,1.0
13,13.2985,1,70,68,24,51,1.0
13,13.2985,1,70,68,25,105,1.0
13,13.2985,1,70,68,26,59,1.0
13,13.2985,1,70,68,27,75,1.0
13,13.2985,1,70,68,28,60,1.0
13,13.2985,1,70,68,29,270,1.0
13,13.2985,1,70,68,30,41,0.125
13,13.2985,1,70,68,30,251,0.125
13,13.2985,1,70,68,30,239,0.125
13,13.2985,1,70,68,30,111,0.125
13,13.2985,1,70,68,30,198,0.125
13,13.2985,1,70,68,30,75,0.125
13,13.2985,1,70,68,30,250,0.25
13,13.2985,1,70,68,34,165,1.0
13,13.2985,1,70,68,36,189,1.0
13,13.2985,1,70,68,38,42,1.0
13,13.2985,1,70,68,41,198,1.0
13,13.2985,1,70,68,42,198,1.0
13,13.2985,1,70,68,44,30,1.0
13,13.2985,1,70,68,50,51,1.0
13,13.2985,1,70,68,51,248,1.0
13,13.2985,1,70,68,56,51,1.0
13,13.2985,1,70,68,59,247,1.0
13,13.2985,1,70,68,60,226,1.0
13,13.2985,1,70,68,63,257,1.0
13,13.2985,1,70,68,67,38,1.0
13,13.2985,1,70,68,70,44,0.033333
13,13.2985,1,70,68,70,143,0.033333
13,13.2985,1,70,68,70,42,0.033333
13,13.2985,1,70,68,70,38,0.033333
13,13.2985,1,70,68,70,132,0.033333
13,13.2985,1,70,68,70,130,0.033333
13,13.2985,1,70,68,70,1,0.033333
13,13.2985,1,70,68,70,123,0.033333
13,13.2985,1,70,68,70,240,0.033333
13,13.2985,1,70,68,70,154,0.033333
13,13.2985,1,70,68,70,122,0.033333
13,13.2985,1,70,68,70,195,0.033333
13,13.2985,1,70,68,70,27,0.033333
13,13.2985,1,70,68,70,12,0.033333
13,13.2985,1,70,68,70,67,0.033333
13,13.2985,1,70,68,70,110,0.033333
13,13.2985,1,70,68,70,155,0.033333
13,13.2985,1,70,68,70,118,0.033333
13,13.2985,1,70,68,70,239,0.033333
13,13.2985,1,70,68,70,41,0.033333
13,13.2985,1,70,68,70,111,0.033333
13,13.2985,1,70,68,70,251,0.033333
13,13.2985,1,70,68,70,188,0.033333
13,13.2985,1,70,68,70,30,0.033333
13,13.2985,1,70,68,70,198,0.033333
13,13.2985,1,70,68,70,75,0.166667
13,13.2985,1,70,68,71,136,1.0
13,13.2985,1,70,68,73,261,1.0
13,13.2985,1,70,68,75,250,0.4
13,13.2985,1,70,68,75,3,0.6
13,13.2985,1,70,68,76,120,1.0
13,13.2985,1,70,68,77,180,0.222222
13,13.2985,1,70,68,77,108,0.333333
13,13.2985,1,70,68,77,194,0.444444
13,13.2985,1,70,68,78,180,1.0
13,13.2985,1,70,68,81,280,1.0
13,13.2985,1,70,68,84,261,1.0
13,13.2985,1,70,68,87,216,1.0
13,13.2985,1,70,68,105,148,1.0
13,13.2985,1,70,68,108,258,0.25
13,13.2985,1,70,68,108,194,0.333333
13,13.2985,1,70,68,108,141,0.416667
13,13.2985,1,70,68,109,180,1.0
13,13.2985,1,70,68,110,188,1.0
13,13.2985,1,70,68,111,193,0.25
13,13.2985,1,70,68,111,198,0.25
13,13.2985,1,70,68,111,6,0.5
13,13.2985,1,70,68,112,111,1.0
13,13.2985,1,70,68,114,20,1.0
13,13.2985,1,70,68,116,34,1.0
13,13.2985,1,70,68,118,198,0.25
13,13.2985,1,70,68,118,188,0.75
13,13.2985,1,70,68,120,215,1.0
13,13.2985,1,70,68,121,73,1.0
13,13.2985,1,70,68,122,118,1.0
