node_id,detected,attack_type
1,1,Interleaved_Jamming_Attack
3,0,
5,1,Split_Path_Attack
6,0,
12,1,Interleaved_Jamming_Attack
27,1,Split_Path_Attack
30,0,
38,0,
41,1,Split_Path_Attack
42,1,Interleaved_Jamming_Attack
44,1,Interleaved_Jamming_Attack
67,0,
75,1,Interleaved_Jamming_Attack
110,0,
111,0,
118,0,
122,1,Flow_Stretching_Attack
123,1,Interleaved_Jamming_Attack
130,1,Interleaved_Jamming_Attack
132,0,
140,0,
143,0,
154,0,
155,1,Interleaved_Jamming_Attack
161,0,
188,0,
195,1,Flow_Stretching_Attack
198,1,Interleaved_Jamming_Attack
239,1,Interleaved_Jamming_Attack
240,0,
241,0,
250,1,Interleaved_Jamming_Attack
251,0,
262,1,Flow_Stretching_Attack
31,1,Flow_Stretching_Attack
37,0,
57,0,
64,0,
73,0,
84,1,Flow_Stretching_Attack
94,0,
121,0,
127,1,Split_Path_Attack
139,0,
152,1,Split_Path_Attack
168,0,
184,0,
197,1,Split_Path_Attack
252,0,
261,0,
271,0,
273,0,
283,0,
