time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,hausdorff_m,dtw_m,poi_retention
48.0000,9,185,15,71,0.1125,0.0750,0.3750,0.1731,0.0605,268.9115,0.8875,0.1125,0.5518,0.9250,0.6542,24.2104,268.9115,256.9115,0.7232
48.5000,14,191,9,66,0.1750,0.0450,0.6087,0.2718,0.2139,265.0900,0.8250,0.1750,0.5582,0.9550,0.6950,27.6796,265.0900,253.0900,0.7402
49.0000,8,185,15,72,0.1000,0.0750,0.3478,0.1553,0.0411,262.0334,0.9000,0.1000,0.5633,0.9250,0.6500,27.0550,262.0334,250.0334,0.7295
49.5000,10,190,10,70,0.1250,0.0500,0.5000,0.2000,0.1316,269.6539,0.8750,0.1250,0.5506,0.9500,0.6750,27.4288,269.6539,257.6539,0.7271
50.0000,13,192,8,67,0.1625,0.0400,0.6190,0.2574,0.2101,263.5710,0.8375,0.1625,0.5607,0.9600,0.6942,25.4231,263.5710,251.5710,0.7483
50.5000,7,190,10,73,0.0875,0.0500,0.4118,0.1443,0.0709,267.3508,0.9125,0.0875,0.5544,0.9500,0.6625,22.3001,267.3508,255.3508,0.7475
51.0000,13,195,5,67,0.1625,0.0250,0.7222,0.2653,0.2533,263.6917,0.8375,0.1625,0.5605,0.9750,0.7042,23.5528,263.6917,251.6917,0.7417
51.5000,7,181,19,73,0.0875,0.0950,0.2692,0.1321,-0.0117,269.9534,0.9125,0.0875,0.5501,0.9050,0.6325,26.2517,269.9534,257.9534,0.7500
52.0000,13,189,11,67,0.1625,0.0550,0.5417,0.2500,0.1735,265.4591,0.8375,0.1625,0.5576,0.9450,0.6842,26.9606,265.4591,253.4591,0.7247
52.5000,17,194,6,63,0.2125,0.0300,0.7391,0.3301,0.3003,273.0669,0.7875,0.2125,0.5449,0.9700,0.7175,26.9209,273.0669,261.0669,0.7379
53.0000,11,189,11,69,0.1375,0.0550,0.5000,0.2157,0.1385,272.1187,0.8625,0.1375,0.5465,0.9450,0.6758,24.8194,272.1187,260.1187,0.7387
53.5000,19,191,9,61,0.2375,0.0450,0.6786,0.3519,0.2899,269.9553,0.7625,0.2375,0.5501,0.9550,0.7158,26.6764,269.9553,257.9553,0.7504
54.0000,12,191,9,68,0.1500,0.0450,0.5714,0.2376,0.1801,273.3028,0.8500,0.1500,0.5445,0.9550,0.6867,22.9361,273.3028,261.3028,0.7263
54.5000,17,189,11,63,0.2125,0.0550,0.6071,0.3148,0.2372,270.5740,0.7875,0.2125,0.5490,0.9450,0.7008,25.9083,270.5740,258.5740,0.7348
55.0000,9,183,17,71,0.1125,0.0850,0.3462,0.1698,0.0428,267.8746,0.8875,0.1125,0.5535,0.9150,0.6475,27.2801,267.8746,255.8746,0.7374
55.5000,19,192,8,61,0.2375,0.0400,0.7037,0.3551,0.3023,267.3502,0.7625,0.2375,0.5544,0.9600,0.7192,23.4370,267.3502,255.3502,0.7353
56.0000,8,188,12,72,0.1000,0.0600,0.4000,0.1600,0.0702,272.3868,0.9000,0.1000,0.5460,0.9400,0.6600,23.3597,272.3868,260.3868,0.7317
56.5000,7,183,17,73,0.0875,0.0850,0.2917,0.1346,0.0040,263.8800,0.9125,0.0875,0.5602,0.9150,0.6392,26.1063,263.8800,251.8800,0.7321
57.0000,16,189,11,64,0.2000,0.0550,0.5926,0.2991,0.2219,263.7426,0.8000,0.2000,0.5604,0.9450,0.6967,26.4015,263.7426,251.7426,0.7330
57.5000,15,185,15,65,0.1875,0.0750,0.5000,0.2727,0.1643,264.9264,0.8125,0.1875,0.5585,0.9250,0.6792,27.2185,264.9264,252.9264,0.7258
58.0000,13,186,14,67,0.1625,0.0700,0.4815,0.2430,0.1416,266.3861,0.8375,0.1625,0.5560,0.9300,0.6742,25.6474,266.3861,254.3861,0.7321
58.5000,12,184,16,68,0.1500,0.0800,0.4286,0.2222,0.1054,262.0972,0.8500,0.1500,0.5632,0.9200,0.6633,25.9356,262.0972,250.0972,0.7247
59.0000,17,188,12,63,0.2125,0.0600,0.5862,0.3119,0.2261,268.7113,0.7875,0.2125,0.5521,0.9400,0.6975,22.4405,268.7113,256.7113,0.7463
59.5000,7,186,14,73,0.0875,0.0700,0.3333,0.1386,0.0300,267.3341,0.9125,0.0875,0.5544,0.9300,0.6492,25.8565,267.3341,255.3341,0.7344
60.0000,17,193,7,63,0.2125,0.0350,0.7083,0.3269,0.2864,272.2894,0.7875,0.2125,0.5462,0.9650,0.7142,26.5790,272.2894,260.2894,0.7480
60.5000,7,184,16,73,0.0875,0.0800,0.3043,0.1359,0.0123,262.2269,0.9125,0.0875,0.5630,0.9200,0.6425,23.0583,262.2269,250.2269,0.7383
61.0000,12,180,20,68,0.1500,0.1000,0.3750,0.2143,0.0710,262.1508,0.8500,0.1500,0.5631,0.9000,0.6500,22.8763,262.1508,250.1508,0.7290
61.5000,18,192,8,62,0.2250,0.0400,0.6923,0.3396,0.2880,270.7813,0.7750,0.2250,0.5487,0.9600,0.7150,25.4767,270.7813,258.7813,0.7307
62.0000,7,190,10,73,0.0875,0.0500,0.4118,0.1443,0.0709,266.6685,0.9125,0.0875,0.5556,0.9500,0.6625,26.7335,266.6685,254.6685,0.7273
62.5000,14,186,14,66,0.1750,0.0700,0.5000,0.2593,0.1581,271.1757,0.8250,0.1750,0.5480,0.9300,0.6783,25.7188,271.1757,259.1757,0.7395
63.0000,13,193,7,67,0.1625,0.0350,0.6500,0.2600,0.2236,272.1424,0.8375,0.1625,0.5464,0.9650,0.6975,23.1865,272.1424,260.1424,0.7260
63.5000,10,190,10,70,0.1250,0.0500,0.5000,0.2000,0.1316,264.0056,0.8750,0.1250,0.5600,0.9500,0.6750,23.7489,264.0056,252.0056,0.7500
64.0000,10,189,11,70,0.1250,0.0550,0.4762,0.1980,0.1201,266.2405,0.8750,0.1250,0.5563,0.9450,0.6717,23.0597,266.2405,254.2405,0.7495
64.5000,21,189,11,59,0.2625,0.0550,0.6562,0.3750,0.2946,266.4342,0.7375,0.2625,0.5559,0.9450,0.7175,24.8606,266.4342,254.4342,0.7306
65.0000,10,189,11,70,0.1250,0.0550,0.4762,0.1980,0.1201,266.0186,0.8750,0.1250,0.5566,0.9450,0.6717,26.0388,266.0186,254.0186,0.7292
65.5000,6,193,7,74,0.0750,0.0350,0.4615,0.1290,0.0859,264.3242,0.9250,0.0750,0.5595,0.9650,0.6683,26.5650,264.3242,252.3242,0.7265
66.0000,14,191,9,66,0.1750,0.0450,0.6087,0.2718,0.2139,270.3229,0.8250,0.1750,0.5495,0.9550,0.6950,27.2219,270.3229,258.3229,0.7388
