time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,hausdorff_m,dtw_m,poi_retention
107.0000,16,190,10,64,0.2000,0.0500,0.6154,0.3019,0.2335,270.8543,0.8000,0.2000,0.5486,0.9500,0.7000,24.9240,270.8543,258.8543,0.7454
107.5000,9,183,17,71,0.1125,0.0850,0.3462,0.1698,0.0428,271.0424,0.8875,0.1125,0.5483,0.9150,0.6475,22.6622,271.0424,259.0424,0.7308
108.0000,12,175,25,68,0.1500,0.1250,0.3243,0.2051,0.0334,269.2626,0.8500,0.1500,0.5512,0.8750,0.6333,27.0336,269.2626,257.2626,0.7529
108.5000,8,185,15,72,0.1000,0.0750,0.3478,0.1553,0.0411,271.3114,0.9000,0.1000,0.5478,0.9250,0.6500,24.8577,271.3114,259.3114,0.7474
109.0000,10,190,10,70,0.1250,0.0500,0.5000,0.2000,0.1316,263.3969,0.8750,0.1250,0.5610,0.9500,0.6750,24.6546,263.3969,251.3969,0.7408
109.5000,9,184,16,71,0.1125,0.0800,0.3600,0.1714,0.0515,262.0211,0.8875,0.1125,0.5633,0.9200,0.6508,22.4632,262.0211,250.0211,0.7407
110.0000,10,187,13,70,0.1250,0.0650,0.4348,0.1942,0.0987,269.5486,0.8750,0.1250,0.5508,0.9350,0.6650,23.2941,269.5486,257.5486,0.7276
110.5000,8,185,15,72,0.1000,0.0750,0.3478,0.1553,0.0411,265.2706,0.9000,0.1000,0.5579,0.9250,0.6500,26.6983,265.2706,253.2706,0.7494
111.0000,11,191,9,69,0.1375,0.0450,0.5500,0.2200,0.1623,272.3686,0.8625,0.1375,0.5461,0.9550,0.6825,27.0646,272.3686,260.3686,0.7488
111.5000,12,189,11,68,0.1500,0.0550,0.5217,0.2330,0.1563,267.0401,0.8500,0.1500,0.5549,0.9450,0.6800,24.6355,267.0401,255.0401,0.7375
112.0000,13,183,17,67,0.1625,0.0850,0.4333,0.2364,0.1132,270.5103,0.8375,0.1625,0.5491,0.9150,0.6642,22.7262,270.5103,258.5103,0.7494
112.5000,18,189,11,62,0.2250,0.0550,0.6207,0.3303,0.2520,266.3254,0.7750,0.2250,0.5561,0.9450,0.7050,27.0724,266.3254,254.3254,0.7244
113.0000,16,189,11,64,0.2000,0.0550,0.5926,0.2991,0.2219,266.3434,0.8000,0.2000,0.5561,0.9450,0.6967,27.5215,266.3434,254.3434,0.7292
113.5000,8,183,17,72,0.1000,0.0850,0.3200,0.1524,0.0238,269.8365,0.9000,0.1000,0.5503,0.9150,0.6433,24.1232,269.8365,257.8365,0.7309
114.0000,11,185,15,69,0.1375,0.0750,0.4231,0.2075,0.0973,264.1745,0.8625,0.1375,0.5597,0.9250,0.6625,27.2944,264.1745,252.1745,0.7518
114.5000,12,188,12,68,0.1500,0.0600,0.5000,0.2308,0.1452,264.2003,0.8500,0.1500,0.5597,0.9400,0.6767,22.7782,264.2003,252.2003,0.7324
115.0000,16,180,20,64,0.2000,0.1000,0.4444,0.2759,0.1350,268.0886,0.8000,0.2000,0.5532,0.9000,0.6667,24.2772,268.0886,256.0886,0.7338
115.5000,15,190,10,65,0.1875,0.0500,0.6000,0.2857,0.2178,270.8878,0.8125,0.1875,0.5485,0.9500,0.6958,26.4649,270.8878,258.8878,0.7236
116.0000,13,189,11,67,0.1625,0.0550,0.5417,0.2500,0.1735,270.9753,0.8375,0.1625,0.5484,0.9450,0.6842,22.8283,270.9753,258.9753,0.7388
116.5000,13,186,14,67,0.1625,0.0700,0.4815,0.2430,0.1416,263.7485,0.8375,0.1625,0.5604,0.9300,0.6742,26.7678,263.7485,251.7485,0.7480
117.0000,16,184,16,64,0.2000,0.0800,0.5000,0.2857,0.1704,269.6286,0.8000,0.2000,0.5506,0.9200,0.6800,25.7537,269.6286,257.6286,0.7400
117.5000,13,182,18,67,0.1625,0.0900,0.4194,0.2342,0.1044,273.7626,0.8375,0.1625,0.5437,0.9100,0.6608,26.4916,273.7626,261.7626,0.7510
118.0000,8,189,11,72,0.1000,0.0550,0.4211,0.1616,0.0808,273.1007,0.9000,0.1000,0.5448,0.9450,0.6633,25.8260,273.1007,261.1007,0.7287
118.5000,11,188,12,69,0.1375,0.0600,0.4783,0.2136,0.1275,266.8883,0.8625,0.1375,0.5552,0.9400,0.6725,22.3553,266.8883,254.8883,0.7425
