Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
39, 1, 6.39362, 22.2482, 504.228, 5.46512, 38, 48.555
39, 2, 31.7116, 0, 0, 0, 38, 48.555
