node_id,reported_vx,reported_vy,derived_vx,derived_vy,spoof_dev
0,-3.72733,-8.8143,-3.72793,-8.81785,0.003602
1,-2.629316,0.059975,-2.628287,0.059951,0.001029
2,0.000000,0.000000,0.000000,0.000000,0.000100
3,-5.243155,10.336219,-5.242842,10.335595,0.000698
4,-17.693212,1.946861,-17.693320,1.946812,0.000119
5,-4.178968,12.109183,-4.179029,12.109087,0.000114
6,11.013807,1.209320,11.005128,1.208367,0.008731
7,10.963011,-1.119281,10.963363,-1.119314,0.000354
8,0.000000,0.000000,-0.039411,6.432112,0.000100
9,-0.050011,-14.389913,-0.049996,-14.388756,0.001157
10,0.000000,0.000000,0.000000,0.000000,0.000100
11,-12.905053,0.950372,-12.905061,0.950372,0.000008
12,0.419738,16.394628,0.419738,16.394783,0.000155
13,0.011626,-0.048980,14.084552,-0.338137,14.075896
14,0.000000,0.000000,11.210000,-11.260000,0.000100
15,-7.679993,0.010000,-7.674776,0.009994,0.005217
16,0.412995,0.007000,0.000000,0.000000,0.413054
17,-4.493550,10.618329,-4.493606,10.618447,0.000130
18,-3.637783,9.164395,-3.637622,9.163982,0.000443
19,0.000000,0.000000,-0.350000,5.530000,0.000100
20,2.912197,-5.394072,2.913819,-5.397082,0.003420
21,0.000000,0.000000,11.720000,9.100000,0.000100
22,7.649902,4.164504,7.650014,4.164568,0.000129
23,10.543942,4.811797,10.544650,4.812117,0.000777
24,0.000000,0.000000,0.000000,0.000000,0.000100
25,0.149849,-10.918972,0.149736,-10.910783,0.008190
26,-2.550783,4.531391,-2.551014,4.531801,0.000471
27,0.420706,16.154523,0.420763,16.154036,0.000490
28,0.104894,0.000000,1.439224,10.824089,10.906023
29,0.412995,-0.007000,4.692372,-11.315716,12.091324
30,0.249464,18.568324,0.249451,18.568902,0.000578
31,0.000000,0.000000,0.000000,0.000000,0.000100
32,-0.412995,0.007000,-4.748477,10.506639,11.359526
33,5.414096,-12.769670,5.414187,-12.769894,0.000242
34,6.455288,4.466739,6.454177,4.465973,0.001349
35,0.000000,0.000000,0.000000,0.000000,0.000100
36,-10.041214,-9.083260,-10.043174,-9.085044,0.002650
37,0.000000,0.000000,-2.260000,2.320000,0.000100
38,0.000000,0.000000,-3.398502,-0.231381,0.000100
39,-0.035008,0.041999,-0.003688,0.009310,0.045271
40,8.909082,-12.842319,8.909301,-12.842614,0.000367
41,-0.290140,-14.997194,-0.290133,-14.996641,0.000553
42,-0.019963,0.001217,-0.019976,0.001223,0.000015
43,11.669486,-1.189952,11.669223,-1.189930,0.000264
44,5.734276,-1.300954,5.734430,-1.300982,0.000157
45,-0.002575,-0.006509,-14.005900,-5.508623,15.045477
46,-3.030390,0.188936,-8.927763,10.497398,11.876169
47,0.000000,0.000000,0.000002,-0.000007,0.000100
48,10.947142,-0.250166,10.947318,-0.250173,0.000176
49,-0.002575,0.006509,-19.083439,0.499639,19.087235
50,0.021747,0.201832,-4.690000,-0.910000,4.841149
51,0.000000,0.000000,13.581557,12.411424,0.000100
52,-0.159973,-8.478491,-0.159966,-8.478018,0.000473
53,-12.635897,1.170555,-12.636159,1.170590,0.000264
54,0.000000,0.000000,0.000000,0.000000,0.000100
55,11.806438,-0.290034,11.806026,-0.290165,0.000432
56,-5.476700,8.864658,-5.475547,8.862787,0.002197
57,-4.501550,6.382174,-4.501590,6.382213,0.000056
58,-7.068901,-1.199808,-7.068767,-1.199781,0.000137
59,8.244831,5.223060,8.240208,5.220132,0.005472
60,-4.198808,8.677535,-4.198517,8.676928,0.000673
61,8.727863,-12.100860,8.727475,-12.100320,0.000664
62,-9.399952,0.030013,-9.399789,0.030074,0.000174
63,4.424591,-6.006213,4.425049,-6.006830,0.000768
64,-12.257026,-10.926194,-12.257039,-10.926179,0.000020
65,0.000000,0.000000,0.000000,0.000000,0.000100
66,-16.152877,0.479753,-16.152517,0.479737,0.000361
67,-6.869884,-0.040002,-6.869844,-0.040009,0.000041
68,0.000000,0.000000,5.836385,-2.938807,0.000100
69,0.002575,0.006509,6.247618,0.778457,6.292572
70,0.013974,0.000000,-2.980000,4.870000,5.716711
71,0.021747,0.201832,12.860000,10.760000,16.622144
72,9.804443,-0.330162,9.804908,-0.330181,0.000466
73,-2.039761,9.298912,-2.039358,9.297088,0.001869
74,17.096287,-0.900756,17.096498,-0.900841,0.000227
75,5.168830,0.109972,5.170832,0.110011,0.002002
76,0.104894,0.000000,1.190202,10.321878,10.378780
77,-12.929275,-11.449312,-12.929135,-11.449178,0.000194
78,0.000000,0.000000,-13.140000,-9.900000,0.000100
79,11.783922,10.283423,11.783559,10.283096,0.000489
80,-0.412995,0.007000,-4.769807,11.249596,12.057271
81,15.808996,-0.589961,15.808460,-0.589935,0.000536
82,6.272705,-11.875103,6.272409,-11.874518,0.000655
83,9.746790,-0.250158,9.749427,-0.250221,0.002637
84,-0.052862,-16.419915,-0.050805,-16.419980,0.002058
85,5.312298,-12.465231,5.312395,-12.465237,0.000098
86,-12.438307,7.778008,-12.438380,7.777718,0.000299
87,11.320000,0.000000,11.319837,0.000000,0.000163
88,0.000000,0.000000,0.000000,0.000000,0.000100
89,9.657925,-0.200221,9.658247,-0.200271,0.000326
90,0.000000,0.000000,0.000000,0.000000,0.000100
91,17.479356,-0.150080,17.479189,-0.150080,0.000167
92,0.000000,0.000000,5.590000,-0.730000,0.000100
93,4.329129,8.038379,4.329240,8.038577,0.000227
94,0.011626,0.021009,0.000000,0.000000,0.024011
95,17.345000,-1.250226,17.344717,-1.249958,0.000390
96,0.000000,0.000000,0.000000,0.000000,0.000100
97,0.000000,0.000000,0.000000,0.000000,0.000100
98,0.011626,-0.007000,15.056375,-0.649556,15.058465
99,14.674553,-0.399856,14.674770,-0.399874,0.000217
100,-19.423570,0.499835,-19.419573,0.499735,0.003998
101,-7.285442,0.257757,-7.287833,0.257823,0.002392
102,9.656121,-0.679502,9.655905,-0.679318,0.000285
103,0.002575,0.006509,-5.846872,10.443016,11.963975
104,13.255159,-1.410549,13.255159,-1.410549,0.000000
105,7.518526,2.959420,7.517729,2.959106,0.000857
106,-0.315580,-16.576996,-0.315500,-16.577392,0.000403
107,-0.002575,0.006509,-7.205525,0.059963,7.203149
108,0.000000,0.000000,-5.825112,-7.454680,0.000100
109,9.837435,4.208903,9.837531,4.208945,0.000105
110,0.000000,0.000000,-7.273773,3.061560,0.000100
111,0.000000,0.000000,-1.574559,-0.979911,0.000100
112,-0.349521,-17.846578,-0.349504,-17.846284,0.000294
113,0.000000,0.000000,-15.800000,0.670000,0.000100
114,-4.814971,9.229526,-4.814961,9.229506,0.000023
115,10.541640,-0.419910,10.541283,-0.419853,0.000362
116,14.513654,6.590710,14.514106,6.590507,0.000495
117,-1.010331,13.692777,-1.010416,13.693116,0.000350
118,0.000000,0.000000,-0.000006,-0.000000,0.000100
119,0.412995,0.007000,0.000000,0.000000,0.413054
120,0.000000,0.000000,-9.570000,0.260000,0.000100
121,-0.035008,0.021009,-0.016610,0.098622,0.079763
122,0.000000,0.000000,-2.590000,-5.150000,0.000100
123,0.279979,11.446576,0.280034,11.448775,0.002199
124,-1.785548,-1.820562,-6.985341,-5.677099,6.473849
125,0.000000,0.000000,3.809970,-2.422787,0.000100
126,-10.476530,0.269653,-10.470789,0.269506,0.005743
127,8.929441,-0.099894,8.929310,-0.099895,0.000131
128,0.412995,-0.007000,14.236348,-1.450642,13.898532
129,0.000000,0.000000,0.000005,0.000001,0.000100
130,0.199930,8.027511,0.199919,8.027171,0.000340
131,0.412995,0.007000,3.951546,-8.763417,9.457355
132,-7.549994,2.849998,-7.545947,2.848470,0.004326
133,0.000000,0.000000,-0.840396,-2.361125,0.000100
134,0.000000,0.000000,-4.554764,-1.601804,0.000100
135,10.183120,2.600803,10.183617,2.600933,0.000514
136,0.000000,0.000000,12.700000,6.720000,0.000100
137,2.479013,-0.069972,2.477709,-0.069935,0.001304
138,-10.228772,0.799895,-10.230867,0.799974,0.002097
139,0.000000,0.000000,11.590000,9.340000,0.000100
140,-3.901907,0.880409,-3.903938,0.880861,0.002080
141,-10.027070,13.715610,-10.027021,13.715531,0.000094
142,-0.766692,-12.476465,-0.766913,-12.475592,0.000901
143,0.000000,0.000000,-2.599423,7.381915,0.000100
144,3.839378,-9.568452,3.839982,-9.569964,0.001628
145,0.589993,-1.689973,0.590620,-1.691763,0.001897
146,5.020775,9.301436,5.020087,9.300172,0.001439
147,0.000000,0.000000,-16.500000,3.610000,0.000100
148,-4.677395,9.344756,-4.677532,9.345004,0.000282
149,0.000000,0.000000,0.000000,0.000000,0.000100
150,0.000000,0.000000,-0.290000,-7.590000,0.000100
151,-10.572092,-4.370865,-10.571715,-4.370709,0.000408
152,-0.299356,-15.097032,-0.299352,-15.097057,0.000025
153,-10.466520,0.269908,-10.465671,0.269884,0.000850
154,-7.049887,-0.040001,-7.049645,-0.040001,0.000241
155,-7.127974,0.169953,-7.128082,0.169958,0.000108
156,-0.412995,0.007000,-13.071053,0.030168,12.658079
157,0.000000,0.000000,0.000000,0.000000,0.000100
158,0.000000,0.000000,0.000000,0.000000,0.000100
159,2.828044,-0.069926,5.490290,-13.160701,13.358740
160,0.000000,0.000000,-13.850000,0.820000,0.000100
161,6.732190,6.182008,6.731818,6.181664,0.000507
162,2.609131,0.188936,-3.607789,7.190180,9.363093
163,11.252172,-0.419801,11.252261,-0.419830,0.000093
164,-3.651313,7.542699,-3.651524,7.543132,0.000481
165,0.000000,0.000000,6.420000,3.640000,0.000100
166,-5.417723,13.060929,-5.417685,13.060894,0.000052
167,-3.318637,8.376559,-3.318454,8.376091,0.000503
168,-4.040063,15.140237,-4.038347,15.135519,0.005021
169,15.820321,-0.789337,15.820197,-0.789319,0.000125
170,0.000000,0.000000,5.090894,9.471657,0.000100
171,0.011626,-0.021009,5.259866,-7.279852,8.957390
172,-14.115636,4.579785,-14.116001,4.579184,0.000704
173,-1.309971,14.209746,-1.309934,14.209384,0.000363
174,-0.031067,0.288331,-0.031269,0.290046,0.001727
175,0.000000,0.000000,0.000000,0.000000,0.000100
176,-13.002169,-5.271100,-13.002129,-5.271091,0.000041
177,0.000000,0.000000,-14.140000,4.900000,0.000100
178,-0.021747,0.201832,-4.186605,9.662161,10.336531
179,0.000000,0.000000,0.000000,0.000000,0.000100
180,11.809347,10.810154,11.809527,10.810335,0.000255
181,0.000000,0.000000,0.000000,0.000000,0.000100
182,0.000000,0.000000,0.000000,0.000000,0.000100
183,7.841182,3.580540,7.839912,3.579957,0.001397
184,0.000000,0.000000,-0.550022,4.660283,0.000100
185,0.412995,-0.007000,5.581686,-13.404013,14.359503
186,-16.586757,1.941516,-16.586506,1.941494,0.000253
187,11.580468,-0.469949,11.580623,-0.469928,0.000156
188,-0.933177,-0.177990,-0.932781,-0.177915,0.000403
189,10.409150,4.549638,10.409257,4.549719,0.000134
190,-12.790034,7.184980,-12.790106,7.184083,0.000900
191,15.532851,-0.730101,15.532596,-0.730093,0.000255
192,0.000000,0.000000,7.050000,-1.640000,0.000100
193,0.000000,0.000000,7.840000,-0.630000,0.000100
194,-6.312115,-5.781938,-6.312107,-5.781936,0.000009
195,5.345001,-1.208869,5.342809,-1.208374,0.002247
196,0.000000,0.000000,-7.030000,-3.360000,0.000100
197,10.330703,9.329683,10.330105,9.329146,0.000804
198,0.000000,0.000000,-0.000089,0.000004,0.000100
199,0.000000,0.000000,0.000000,0.000000,0.000100
200,0.000000,0.000000,0.000000,0.000000,0.000100
201,0.000000,0.000000,0.000000,0.000000,0.000100
202,0.000000,0.000000,0.000000,0.000000,0.000100
203,0.000000,0.000000,0.000000,0.000000,0.000100
204,0.000000,0.000000,0.000000,0.000000,0.000100
205,0.000000,0.000000,0.000000,0.000000,0.000100
206,0.000000,0.000000,0.000000,0.000000,0.000100
207,0.000000,0.000000,0.000000,0.000000,0.000100
208,0.000000,0.000000,0.000000,0.000000,0.000100
209,0.000000,0.000000,0.000000,0.000000,0.000100
210,0.000000,0.000000,0.000000,0.000000,0.000100
211,0.000000,0.000000,0.000000,0.000000,0.000100
212,0.000000,0.000000,0.000000,0.000000,0.000100
213,0.000000,0.000000,0.000000,0.000000,0.000100
214,0.000000,0.000000,0.000000,0.000000,0.000100
215,0.000000,0.000000,0.000000,0.000000,0.000100
216,0.000000,0.000000,0.000000,0.000000,0.000100
217,0.000000,0.000000,0.000000,0.000000,0.000100
218,0.000000,0.000000,0.000000,0.000000,0.000100
219,0.000000,0.000000,0.000000,0.000000,0.000100
220,0.000000,0.000000,0.000000,0.000000,0.000100
221,0.000000,0.000000,0.000000,0.000000,0.000100
222,0.000000,0.000000,0.000000,0.000000,0.000100
223,0.000000,0.000000,0.000000,0.000000,0.000100
224,0.000000,0.000000,0.000000,0.000000,0.000100
225,0.000000,0.000000,0.000000,0.000000,0.000100
226,0.000000,0.000000,0.000000,0.000000,0.000100
227,0.000000,0.000000,0.000000,0.000000,0.000100
228,0.000000,0.000000,0.000000,0.000000,0.000100
229,0.000000,0.000000,0.000000,0.000000,0.000100
230,0.000000,0.000000,0.000000,0.000000,0.000100
231,0.000000,0.000000,0.000000,0.000000,0.000100
232,0.000000,0.000000,0.000000,0.000000,0.000100
233,0.000000,0.000000,0.000000,0.000000,0.000100
234,0.000000,0.000000,0.000000,0.000000,0.000100
235,0.000000,0.000000,0.000000,0.000000,0.000100
236,0.000000,0.000000,0.000000,0.000000,0.000100
237,0.000000,0.000000,0.000000,0.000000,0.000100
238,0.000000,0.000000,0.000000,0.000000,0.000100
239,0.000000,0.000000,0.000000,0.000000,0.000100
240,0.000000,0.000000,0.000000,0.000000,0.000100
241,0.000000,0.000000,0.000000,0.000000,0.000100
242,0.000000,0.000000,0.000000,0.000000,0.000100
243,0.000000,0.000000,0.000000,0.000000,0.000100
244,0.000000,0.000000,0.000000,0.000000,0.000100
245,0.000000,0.000000,0.000000,0.000000,0.000100
246,0.000000,0.000000,0.000000,0.000000,0.000100
247,0.000000,0.000000,0.000000,0.000000,0.000100
248,0.000000,0.000000,0.000000,0.000000,0.000100
249,0.000000,0.000000,0.000000,0.000000,0.000100
250,0.000000,0.000000,0.000000,0.000000,0.000100
251,0.000000,0.000000,0.000000,0.000000,0.000100
252,0.000000,0.000000,0.000000,0.000000,0.000100
253,0.000000,0.000000,0.000000,0.000000,0.000100
254,0.000000,0.000000,0.000000,0.000000,0.000100
255,0.000000,0.000000,0.000000,0.000000,0.000100
256,0.000000,0.000000,0.000000,0.000000,0.000100
257,0.000000,0.000000,0.000000,0.000000,0.000100
258,0.000000,0.000000,0.000000,0.000000,0.000100
259,0.000000,0.000000,0.000000,0.000000,0.000100
260,0.000000,0.000000,0.000000,0.000000,0.000100
261,0.000000,0.000000,0.000000,0.000000,0.000100
262,0.000000,0.000000,0.000000,0.000000,0.000100
263,0.000000,0.000000,0.000000,0.000000,0.000100
264,0.000000,0.000000,0.000000,0.000000,0.000100
265,0.000000,0.000000,0.000000,0.000000,0.000100
266,0.000000,0.000000,0.000000,0.000000,0.000100
267,0.000000,0.000000,0.000000,0.000000,0.000100
268,0.000000,0.000000,0.000000,0.000000,0.000100
269,0.000000,0.000000,0.000000,0.000000,0.000100
270,0.000000,0.000000,0.000000,0.000000,0.000100
271,0.000000,0.000000,0.000000,0.000000,0.000100
272,0.000000,0.000000,0.000000,0.000000,0.000100
273,0.000000,0.000000,0.000000,0.000000,0.000100
274,0.000000,0.000000,0.000000,0.000000,0.000100
275,0.000000,0.000000,0.000000,0.000000,0.000100
276,0.000000,0.000000,0.000000,0.000000,0.000100
277,0.000000,0.000000,0.000000,0.000000,0.000100
278,0.000000,0.000000,0.000000,0.000000,0.000100
279,0.000000,0.000000,0.000000,0.000000,0.000100
280,0.000000,0.000000,0.000000,0.000000,0.000100
281,0.000000,0.000000,0.000000,0.000000,0.000100
282,0.000000,0.000000,0.000000,0.000000,0.000100
283,0.000000,0.000000,0.000000,0.000000,0.000100
284,0.000000,0.000000,0.000000,0.000000,0.000100
285,0.000000,0.000000,0.000000,0.000000,0.000100
286,0.000000,0.000000,0.000000,0.000000,0.000100
287,0.000000,0.000000,0.000000,0.000000,0.000100
288,0.000000,0.000000,0.000000,0.000000,0.000100
289,0.000000,0.000000,0.000000,0.000000,0.000100
290,0.000000,0.000000,0.000000,0.000000,0.000100
291,0.000000,0.000000,0.000000,0.000000,0.000100
292,0.000000,0.000000,0.000000,0.000000,0.000100
293,0.000000,0.000000,0.000000,0.000000,0.000100
294,0.000000,0.000000,0.000000,0.000000,0.000100
295,0.000000,0.000000,0.000000,0.000000,0.000100
296,0.000000,0.000000,0.000000,0.000000,0.000100
297,0.000000,0.000000,0.000000,0.000000,0.000100
298,0.000000,0.000000,0.000000,0.000000,0.000100
299,0.000000,0.000000,0.000000,0.000000,0.000100
300,0.000000,0.000000,0.000000,0.000000,0.000100
301,0.000000,0.000000,0.000000,0.000000,0.000100
302,0.000000,0.000000,0.000000,0.000000,0.000100
303,0.000000,0.000000,0.000000,0.000000,0.000100
304,0.000000,0.000000,0.000000,0.000000,0.000100
305,0.000000,0.000000,0.000000,0.000000,0.000100
306,0.000000,0.000000,0.000000,0.000000,0.000100
307,0.000000,0.000000,0.000000,0.000000,0.000100
308,0.000000,0.000000,0.000000,0.000000,0.000100
309,0.000000,0.000000,0.000000,0.000000,0.000100
310,0.000000,0.000000,0.000000,0.000000,0.000100
311,0.000000,0.000000,0.000000,0.000000,0.000100
312,0.000000,0.000000,0.000000,0.000000,0.000100
313,0.000000,0.000000,0.000000,0.000000,0.000100
314,0.000000,0.000000,0.000000,0.000000,0.000100
315,0.000000,0.000000,0.000000,0.000000,0.000100
316,0.000000,0.000000,0.000000,0.000000,0.000100
317,0.000000,0.000000,0.000000,0.000000,0.000100
318,0.000000,0.000000,0.000000,0.000000,0.000100
319,0.000000,0.000000,0.000000,0.000000,0.000100
320,0.000000,0.000000,0.000000,0.000000,0.000100
