node_id,detected,attack_type
1,0,
3,0,
6,0,
12,1,Interleaved_Jamming_Attack
27,1,Interleaved_Jamming_Attack
30,0,
38,0,
41,1,Interleaved_Jamming_Attack
42,0,
51,0,
63,1,Split_Path_Attack
67,0,
75,0,
108,0,
110,0,
111,0,
112,0,
118,0,
122,1,Flow_Stretching_Attack
123,0,
130,0,
132,0,
134,0,
143,0,
152,1,Split_Path_Attack
155,0,
159,0,
161,0,
180,0,
188,0,
193,0,
194,0,
196,0,
197,1,Split_Path_Attack
198,0,
239,0,
240,0,
249,1,Split_Path_Attack
250,0,
251,0,
259,0,
260,0,
261,0,
9,0,
13,0,
39,0,
45,0,
66,0,
84,0,
94,0,
101,0,
106,0,
144,0,
147,0,
171,0,
176,1,Split_Path_Attack
262,0,
263,0,
273,0,
274,1,Split_Path_Attack
284,0,
295,0,
296,0,
307,0,
