cycle_id,flow_id,node_id,prev_hop_id,hop_delay_sum_ms,hop_delay_count,mean_delay_ms
48,0,1,67,1.387,1,1.387
48,0,3,23,7.573,3,2.52433
48,0,23,159,8.62,3,2.87333
48,0,28,152,1.689,1,1.689
48,0,28,250,7.164,3,2.388
48,0,62,70,1.557,1,1.557
48,0,64,3,5.979,3,1.993
48,0,67,70,1.624,1,1.624
48,0,76,28,9.987,5,1.9974
48,0,76,250,6.993,4,1.74825
48,0,112,1,6.297,3,2.099
48,0,112,70,3.796,2,1.898
48,0,124,249,2.096,1,2.096
48,0,130,70,1.728,1,1.728
48,0,143,70,3.392,2,1.696
48,0,143,198,1.963,1,1.963
48,0,152,143,1.965,1,1.965
48,0,159,250,4.592,3,1.53067
48,0,198,62,1.906,1,1.906
48,0,198,70,1.467,1,1.467
48,0,249,76,2.304,1,2.304
48,0,250,70,32.193,11,2.92664
48,1,73,284,3.71,2,1.855
48,1,81,95,3.326,2,1.663
48,1,95,73,3.106,2,1.553
48,1,243,254,13.972,8,1.7465
48,1,263,264,21.68,7,3.09714
48,1,264,265,32.504,13,2.50031
48,1,265,254,28.169,13,2.16685
48,1,274,275,3.669,2,1.8345
48,1,275,264,10.702,6,1.78367
48,1,284,285,3.954,2,1.977
48,1,285,274,3.825,2,1.9125
