cycle_id,sim_time_s,flow_id,flow_source,flow_destination,node_id,node_type,num_active_next_hops,sum_abs_ff_deviation,sum_abs_ff_deviation_normalized,threshold,detected,total_inbound,total_outbound,node_pdr,mean_pdr_flow,pdr_deviation,inbound_ratio
11,12.0001,0,70,68,1,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,58.93,-41.07,2.0000
11,12.0001,0,70,68,12,VEHICLE,0,1.0000,1.0000,0.5000,0,3,0,0.00,58.93,58.93,1.3333
11,12.0001,0,70,68,27,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,58.93,58.93,4.0000
11,12.0001,0,70,68,30,VEHICLE,3,0.4000,0.1333,0.5000,0,5,5,100.00,58.93,-41.07,2.0000
11,12.0001,0,70,68,38,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,58.93,58.93,1.0000
11,12.0001,0,70,68,41,VEHICLE,1,0.5000,0.5000,0.5000,0,2,1,50.00,58.93,8.93,1.5000
11,12.0001,0,70,68,42,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,58.93,58.93,2.0000
11,12.0001,0,70,68,44,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,58.93,-41.07,3.0000
11,12.0001,0,70,68,75,VEHICLE,2,0.5556,0.2778,0.5000,1,4,4,100.00,58.93,-41.07,2.2500
11,12.0001,0,70,68,110,RSU,1,0.8000,0.8000,0.5000,1,1,1,100.00,58.93,-41.07,5.0000
11,12.0001,0,70,68,111,RSU,1,0.0000,0.0000,0.5000,0,2,2,100.00,58.93,-41.07,1.5000
11,12.0001,0,70,68,118,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,58.93,58.93,2.0000
11,12.0001,0,70,68,122,RSU,1,1.0000,1.0000,0.5000,1,1,1,100.00,58.93,-41.07,2.0000
11,12.0001,0,70,68,123,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,58.93,-41.07,4.0000
11,12.0001,0,70,68,130,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,58.93,-41.07,2.0000
11,12.0001,0,70,68,132,RSU,1,0.0000,0.0000,0.5000,0,3,3,100.00,58.93,-41.07,1.3333
11,12.0001,0,70,68,140,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,58.93,-41.07,2.0000
11,12.0001,0,70,68,143,RSU,0,1.0000,1.0000,0.5000,0,2,0,0.00,58.93,58.93,3.5000
11,12.0001,0,70,68,152,RSU,0,1.0000,1.0000,0.5000,0,2,0,0.00,58.93,58.93,0.5000
11,12.0001,0,70,68,154,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,58.93,-41.07,2.0000
11,12.0001,0,70,68,155,RSU,0,1.0000,1.0000,0.5000,0,1,0,0.00,58.93,58.93,3.0000
