cycle,flow_id,node,planned_inbound_by_subflow,planned_inbound_by_mainflow
36,1,1,1,1
36,1,6,1,1
36,1,14,2,2
36,1,21,3,3
36,1,24,1,1
36,1,26,1,1
36,1,27,1,1
36,1,34,1,1
36,1,36,1,1
36,1,40,1,1
36,1,41,1,1
36,1,50,1,1
36,1,51,17,17
36,1,59,1,1
36,1,61,1,1
36,1,67,5,5
36,1,70,30,30
36,1,71,5,5
36,1,75,1,1
36,1,77,1,1
36,1,78,1,1
36,1,84,1,1
36,1,108,18,18
36,1,110,1,1
36,1,111,1,1
36,1,112,2,2
36,1,116,1,1
36,1,118,1,1
36,1,122,1,1
36,1,123,1,1
36,1,124,1,1
36,1,129,1,1
36,1,132,1,1
36,1,134,6,6
36,1,136,1,1
36,1,140,1,1
36,1,143,2,2
36,1,152,6,6
36,1,155,5,5
36,1,159,6,6
36,1,165,1,1
36,1,182,1,1
36,1,188,2,2
36,1,193,7,7
36,1,194,14,14
36,1,196,3,3
36,1,197,8,8
36,1,198,2,2
36,1,237,1,1
36,1,238,1,1
36,1,239,1,1
36,1,240,5,5
36,1,247,1,1
36,1,248,5,5
36,1,249,19,19
36,1,250,14,14
36,1,251,11,11
36,1,252,1,1
36,1,258,2,2
36,1,259,8,8
36,1,260,11,11
36,1,261,17,17
36,1,262,14,14
36,2,1,11,11
36,2,2,2,2
36,2,3,7,7
36,2,6,4,4
36,2,12,6,6
36,2,23,1,1
36,2,27,2,2
36,2,28,3,3
36,2,30,5,5
36,2,31,3,3
36,2,38,1,1
36,2,41,2,2
36,2,42,1,1
36,2,45,2,2
36,2,57,9,9
36,2,62,7,7
36,2,64,4,4
36,2,66,1,1
36,2,67,2,2
36,2,70,1,1
36,2,73,1,1
36,2,75,1,1
36,2,76,2,2
36,2,79,5,5
36,2,82,1,1
36,2,83,1,1
36,2,84,2,2
36,2,89,1,1
36,2,94,2,2
36,2,109,1,1
36,2,110,1,1
36,2,111,1,1
36,2,112,8,8
36,2,118,1,1
36,2,121,4,4
36,2,127,3,3
36,2,130,3,3
36,2,132,1,1
36,2,134,1,1
36,2,139,4,4
36,2,140,1,1
36,2,143,6,6
36,2,152,2,2
36,2,155,3,3
36,2,161,5,5
36,2,168,5,5
36,2,171,3,3
36,2,176,2,2
36,2,180,6,6
36,2,184,7,7
36,2,188,1,1
36,2,189,2,2
36,2,193,5,5
36,2,197,1,1
36,2,198,2,2
36,2,238,1,1
36,2,240,1,1
36,2,241,1,1
36,2,249,2,2
36,2,250,12,12
36,2,251,2,2
36,2,252,1,1
36,2,261,11,11
36,2,262,4,4
36,2,263,2,2
36,2,271,1,1
36,2,272,10,10
36,2,273,28,28
36,2,274,2,2
36,2,283,1,1
36,2,284,2,2
