cycle,flow_id,node,planned_inbound_by_subflow,planned_inbound_by_mainflow
52,1,1,9,9
52,1,6,6,6
52,1,12,5,5
52,1,14,8,8
52,1,21,9,9
52,1,23,6,6
52,1,24,6,6
52,1,27,7,7
52,1,28,1,1
52,1,29,3,3
52,1,30,2,2
52,1,31,1,1
52,1,34,3,3
52,1,36,5,5
52,1,40,3,3
52,1,41,4,4
52,1,56,7,7
52,1,59,4,4
52,1,60,1,1
52,1,61,2,2
52,1,62,3,3
52,1,63,1,1
52,1,67,2,2
52,1,70,30,30
52,1,71,6,6
52,1,75,5,5
52,1,76,1,1
52,1,77,1,1
52,1,79,2,2
52,1,82,14,14
52,1,84,1,1
52,1,89,1,1
52,1,108,5,5
52,1,112,3,3
52,1,116,1,1
52,1,121,2,2
52,1,124,1,1
52,1,129,1,1
52,1,130,2,2
52,1,134,4,4
52,1,136,1,1
52,1,139,2,2
52,1,143,3,3
52,1,152,3,3
52,1,154,1,1
52,1,155,4,4
52,1,159,6,6
52,1,161,3,3
52,1,164,1,1
52,1,165,11,11
52,1,168,4,4
52,1,180,5,5
52,1,182,4,4
52,1,183,6,6
52,1,189,9,9
52,1,193,2,2
52,1,194,1,1
52,1,196,4,4
52,1,197,15,15
52,1,198,1,1
52,1,238,1,1
52,1,239,1,1
52,1,247,2,2
52,1,248,4,4
52,1,249,4,4
52,1,250,7,7
52,1,251,2,2
52,1,258,3,3
52,1,259,22,22
52,1,260,5,5
52,1,261,14,14
52,1,262,5,5
52,1,269,1,1
52,1,270,1,1
52,2,1,2,2
52,2,28,1,1
52,2,38,3,3
52,2,41,3,3
52,2,42,3,3
52,2,44,2,2
52,2,62,2,2
52,2,70,2,2
52,2,76,1,1
52,2,84,12,12
52,2,87,13,13
52,2,110,6,6
52,2,111,1,1
52,2,112,3,3
52,2,118,4,4
52,2,122,15,15
52,2,123,2,2
52,2,125,4,4
52,2,132,5,5
52,2,140,2,2
52,2,143,2,2
52,2,152,2,2
52,2,154,10,10
52,2,155,2,2
52,2,159,1,1
52,2,188,5,5
52,2,193,1,1
52,2,198,3,3
52,2,207,2,2
52,2,217,26,26
52,2,218,4,4
52,2,228,24,24
52,2,229,7,7
52,2,239,14,14
52,2,240,2,2
52,2,250,4,4
52,2,251,33,33
52,2,252,2,2
52,2,261,1,1
52,2,262,2,2
