cycle_id,sim_time_s,flow_id,flow_source,flow_destination,forwarding_node_id,forwarding_node_type,next_hop_id,next_hop_type,unique_inbound_count,unique_outbound_to_next_hop,observed_ff,expected_ff_planned,ff_deviation
6,7.0001,0,70,68,1,VEHICLE,12,VEHICLE,1,1,1.0000,1.0000,0.0000
6,7.0001,0,70,68,3,VEHICLE,5,VEHICLE,4,4,1.0000,1.0000,0.0000
6,7.0001,0,70,68,23,VEHICLE,78,VEHICLE,1,1,1.0000,1.0000,0.0000
6,7.0001,0,70,68,26,VEHICLE,237,RSU,1,1,1.0000,1.0000,0.0000
6,7.0001,0,70,68,28,VEHICLE,151,RSU,1,1,1.0000,1.0000,0.0000
6,7.0001,0,70,68,30,VEHICLE,195,RSU,2,2,1.0000,1.0000,0.0000
6,7.0001,0,70,68,36,VEHICLE,79,VEHICLE,4,1,0.2500,0.1250,0.1250
6,7.0001,0,70,68,36,VEHICLE,124,RSU,4,1,0.2500,0.1250,0.1250
6,7.0001,0,70,68,36,VEHICLE,194,RSU,4,1,0.2500,0.1250,0.1250
6,7.0001,0,70,68,36,VEHICLE,259,RSU,4,1,0.2500,0.1250,0.1250
6,7.0001,0,70,68,38,VEHICLE,41,VEHICLE,4,4,1.0000,1.0000,0.0000
6,7.0001,0,70,68,41,VEHICLE,168,RSU,8,1,0.1250,0.6667,-0.5417
6,7.0001,0,70,68,42,VEHICLE,195,RSU,1,1,1.0000,1.0000,0.0000
6,7.0001,0,70,68,44,VEHICLE,12,VEHICLE,1,1,1.0000,1.0000,0.0000
6,7.0001,0,70,68,51,VEHICLE,247,RSU,1,1,1.0000,1.0000,0.0000
6,7.0001,0,70,68,75,VEHICLE,3,VEHICLE,4,4,1.0000,1.0000,0.0000
6,7.0001,0,70,68,78,VEHICLE,259,RSU,2,2,1.0000,0.2500,0.7500
6,7.0001,0,70,68,79,VEHICLE,78,VEHICLE,1,1,1.0000,0.2000,0.8000
6,7.0001,0,70,68,110,RSU,41,VEHICLE,1,1,1.0000,1.0000,0.0000
6,7.0001,0,70,68,111,RSU,168,RSU,10,10,1.0000,1.0000,0.0000
6,7.0001,0,70,68,118,RSU,41,VEHICLE,1,1,1.0000,1.0000,0.0000
6,7.0001,0,70,68,121,RSU,261,RSU,12,12,1.0000,1.0000,0.0000
6,7.0001,0,70,68,122,RSU,132,RSU,2,2,1.0000,0.0000,1.0000
6,7.0001,0,70,68,123,RSU,28,VEHICLE,1,1,1.0000,1.0000,0.0000
