Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
23, 1, 12.9658, 18.7069, 376.03, 2.29377, 6, 65.922
23, 2, 32.2877, 8.07089, 184.79, 2.10948, 6, 65.922
