cycle_id,flow_id,node_id,prev_hop_id,hop_delay_sum_ms,hop_delay_count,mean_delay_ms
10,0,1,70,1.595,1,1.595
10,0,12,132,1.813,1,1.813
10,0,30,44,2.449,1,2.449
10,0,30,67,1.877,1,1.877
10,0,30,70,1.897,1,1.897
10,0,42,70,1.805,1,1.805
10,0,44,70,3.663,1,3.663
10,0,67,70,1.925,1,1.925
10,0,110,70,1.902,1,1.902
10,0,111,70,1.526,1,1.526
10,0,118,70,1.436,1,1.436
10,0,122,70,1.355,1,1.355
10,0,130,70,1.555,1,1.555
10,0,132,70,1.164,1,1.164
10,0,140,70,1.935,1,1.935
10,0,143,70,1.922,1,1.922
10,0,143,130,2.215,1,2.215
10,0,143,155,1.616,1,1.616
10,0,155,70,2.212,1,2.212
10,0,188,70,1.846,1,1.846
10,0,195,70,2.353,1,2.353
10,0,198,70,1.403,1,1.403
10,0,198,122,2.018,1,2.018
10,0,239,30,1.864,1,1.864
10,0,241,70,1.564,1,1.564
10,1,6,57,27.724,15,1.84827
10,1,13,283,2.347,1,2.347
10,1,22,273,1.794,1,1.794
10,1,31,272,1.74,1,1.74
10,1,36,197,2.333,1,2.333
10,1,37,127,2.223,1,2.223
10,1,37,271,2.094,1,2.094
10,1,37,272,1.475,1,1.475
10,1,41,168,3.754,2,1.877
10,1,57,94,1.876,1,1.876
10,1,57,272,20.078,11,1.82527
10,1,64,31,1.604,1,1.604
10,1,64,272,2.113,1,2.113
10,1,73,272,1.579,1,1.579
10,1,84,64,3.6,2,1.8
10,1,84,184,8.44,4,2.11
10,1,84,272,1.481,1,1.481
10,1,94,13,2.346,1,2.346
10,1,94,272,2.268,1,2.268
10,1,121,272,2.624,1,2.624
10,1,127,272,1.512,1,1.512
10,1,134,36,1.766,1,1.766
10,1,139,272,2.352,1,2.352
10,1,161,134,1.37,1,1.37
10,1,168,6,24.319,13,1.87069
10,1,168,84,10.671,5,2.1342
10,1,168,121,1.721,1,1.721
10,1,184,37,6.93,3,2.31
10,1,184,272,1.807,1,1.807
10,1,197,139,1.906,1,1.906
10,1,263,22,2.226,1,2.226
10,1,271,272,1.773,1,1.773
10,1,273,272,1.635,1,1.635
10,1,283,272,1.915,1,1.915
