cycle_id,sim_time_s,flow_id,flow_source,flow_destination,node_id,node_type,num_active_next_hops,sum_abs_ff_deviation,sum_abs_ff_deviation_normalized,threshold,detected,total_inbound,total_outbound,node_pdr,mean_pdr_flow,pdr_deviation,inbound_ratio
8,9.0001,0,70,68,1,VEHICLE,0,1.0000,1.0000,0.5000,0,3,0,0.00,56.67,56.67,0.6667
8,9.0001,0,70,68,12,VEHICLE,1,0.5000,0.5000,0.5000,0,2,1,50.00,56.67,6.67,1.5000
8,9.0001,0,70,68,30,VEHICLE,1,0.3333,0.3333,0.5000,0,3,2,66.67,56.67,-10.00,1.0000
8,9.0001,0,70,68,38,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,56.67,56.67,4.0000
8,9.0001,0,70,68,41,VEHICLE,0,1.0000,1.0000,0.5000,0,7,0,0.00,56.67,56.67,2.7143
8,9.0001,0,70,68,42,VEHICLE,2,0.5000,0.2500,0.5000,0,2,2,100.00,56.67,-43.33,2.0000
8,9.0001,0,70,68,67,VEHICLE,1,0.0000,0.0000,0.5000,0,1,1,100.00,56.67,-43.33,2.0000
8,9.0001,0,70,68,75,VEHICLE,0,1.0000,1.0000,0.5000,0,1,0,0.00,56.67,56.67,4.0000
8,9.0001,0,70,68,110,RSU,1,0.0000,0.0000,0.5000,0,2,2,100.00,56.67,-43.33,1.0000
8,9.0001,0,70,68,111,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,56.67,-43.33,2.0000
8,9.0001,0,70,68,122,RSU,1,1.0000,1.0000,0.5000,1,1,1,100.00,56.67,-43.33,2.0000
8,9.0001,0,70,68,123,RSU,0,1.0000,1.0000,0.5000,0,5,0,0.00,56.67,56.67,0.6000
8,9.0001,0,70,68,130,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,56.67,-43.33,2.0000
8,9.0001,0,70,68,132,RSU,1,0.0000,0.0000,0.5000,0,1,1,100.00,56.67,-43.33,2.0000
8,9.0001,0,70,68,140,RSU,3,0.5333,0.1778,0.5000,1,3,3,100.00,56.67,-43.33,1.6667
8,9.0001,0,70,68,143,RSU,0,1.0000,1.0000,0.5000,0,2,0,0.00,56.67,56.67,2.0000
8,9.0001,0,70,68,154,RSU,1,0.5714,0.5714,0.5000,1,3,3,100.00,56.67,-43.33,2.3333
