time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,consensus_ms,blocks,chain_valid
49.5000,54,193,7,26,0.6750,0.0350,0.8852,0.7660,0.7004,195.0000,0.3250,0.6750,0.3250,0.9650,0.8683,22.1892,1.1969,6,1
50.0000,51,187,13,29,0.6375,0.0650,0.7969,0.7083,0.6159,217.5000,0.3625,0.6375,0.3625,0.9350,0.8358,20.2685,1.1969,6,1
50.5000,55,185,15,25,0.6875,0.0750,0.7857,0.7333,0.6390,187.5000,0.3125,0.6875,0.3125,0.9250,0.8458,20.8078,1.1969,6,1
51.0000,52,190,10,28,0.6500,0.0500,0.8387,0.7324,0.6528,210.0000,0.3500,0.6500,0.3500,0.9500,0.8500,21.6780,1.1969,6,1
51.5000,57,182,18,23,0.7125,0.0900,0.7600,0.7355,0.6350,172.5000,0.2875,0.7125,0.2875,0.9100,0.8442,24.1663,1.1969,6,1
52.0000,44,187,13,36,0.5500,0.0650,0.7719,0.6423,0.5441,270.0000,0.4500,0.5500,0.4500,0.9350,0.8067,22.5312,1.1969,6,1
52.5000,58,195,5,22,0.7250,0.0250,0.9206,0.8112,0.7573,165.0000,0.2750,0.7250,0.2750,0.9750,0.8917,19.7218,1.1969,6,1
53.0000,58,190,10,22,0.7250,0.0500,0.8529,0.7838,0.7111,165.0000,0.2750,0.7250,0.2750,0.9500,0.8750,24.2542,1.1969,6,1
53.5000,66,189,11,14,0.8250,0.0550,0.8571,0.8408,0.7790,105.0000,0.1750,0.8250,0.1750,0.9450,0.9050,22.5517,1.0292,7,1
54.0000,48,189,11,32,0.6000,0.0550,0.8136,0.6906,0.6037,240.0000,0.4000,0.6000,0.4000,0.9450,0.8300,22.0741,1.0292,7,1
54.5000,53,193,7,27,0.6625,0.0350,0.8833,0.7571,0.6909,202.5000,0.3375,0.6625,0.3375,0.9650,0.8642,22.6680,0.9034,8,1
55.0000,49,187,13,31,0.6125,0.0650,0.7903,0.6901,0.5957,232.5000,0.3875,0.6125,0.3875,0.9350,0.8275,23.0167,0.9034,8,1
55.5000,59,190,10,21,0.7375,0.0500,0.8551,0.7919,0.7207,157.5000,0.2625,0.7375,0.2625,0.9500,0.8792,20.6975,0.9034,8,1
56.0000,48,188,12,32,0.6000,0.0600,0.8000,0.6857,0.5945,240.0000,0.4000,0.6000,0.4000,0.9400,0.8267,20.6877,0.9034,8,1
56.5000,54,186,14,26,0.6750,0.0700,0.7941,0.7297,0.6374,195.0000,0.3250,0.6750,0.3250,0.9300,0.8450,21.9762,0.9034,8,1
57.0000,60,194,6,20,0.7500,0.0300,0.9091,0.8219,0.7663,150.0000,0.2500,0.7500,0.2500,0.9700,0.8967,24.2800,0.9034,8,1
57.5000,58,192,8,22,0.7250,0.0400,0.8788,0.7945,0.7291,165.0000,0.2750,0.7250,0.2750,0.9600,0.8817,23.9975,0.9034,8,1
58.0000,52,188,12,28,0.6500,0.0600,0.8125,0.7222,0.6347,210.0000,0.3500,0.6500,0.3500,0.9400,0.8433,21.9474,0.9034,8,1
58.5000,52,192,8,28,0.6500,0.0400,0.8667,0.7429,0.6716,210.0000,0.3500,0.6500,0.3500,0.9600,0.8567,22.8521,0.9034,8,1
59.0000,54,189,11,26,0.6750,0.0550,0.8308,0.7448,0.6634,195.0000,0.3250,0.6750,0.3250,0.9450,0.8550,20.8371,0.9034,8,1
59.5000,57,190,10,23,0.7125,0.0500,0.8507,0.7755,0.7015,172.5000,0.2875,0.7125,0.2875,0.9500,0.8708,22.3898,0.8055,9,1
60.0000,56,192,8,24,0.7000,0.0400,0.8750,0.7778,0.7100,180.0000,0.3000,0.7000,0.3000,0.9600,0.8733,22.8026,0.8055,9,1
60.5000,61,194,6,19,0.7625,0.0300,0.9104,0.8299,0.7756,142.5000,0.2375,0.7625,0.2375,0.9700,0.9008,21.0118,0.7273,10,1
61.0000,55,194,6,25,0.6875,0.0300,0.9016,0.7801,0.7196,187.5000,0.3125,0.6875,0.3125,0.9700,0.8758,22.8129,0.7273,10,1
61.5000,57,188,12,23,0.7125,0.0600,0.8261,0.7651,0.6840,172.5000,0.2875,0.7125,0.2875,0.9400,0.8642,20.3106,0.7273,10,1
62.0000,63,196,4,17,0.7875,0.0200,0.9403,0.8571,0.8127,127.5000,0.2125,0.7875,0.2125,0.9800,0.9158,24.1598,0.7273,10,1
62.5000,55,191,9,25,0.6875,0.0450,0.8594,0.7639,0.6912,187.5000,0.3125,0.6875,0.3125,0.9550,0.8658,19.8088,0.7273,10,1
63.0000,58,192,8,22,0.7250,0.0400,0.8788,0.7945,0.7291,165.0000,0.2750,0.7250,0.2750,0.9600,0.8817,21.4130,0.7273,10,1
63.5000,52,189,11,28,0.6500,0.0550,0.8254,0.7273,0.6437,210.0000,0.3500,0.6500,0.3500,0.9450,0.8467,21.8935,0.7273,10,1
64.0000,45,193,7,35,0.5625,0.0350,0.8654,0.6818,0.6128,262.5000,0.4375,0.5625,0.4375,0.9650,0.8308,24.1492,0.7273,10,1
64.5000,56,192,8,24,0.7000,0.0400,0.8750,0.7778,0.7100,180.0000,0.3000,0.7000,0.3000,0.9600,0.8733,23.9054,0.7273,10,1
65.0000,57,191,9,23,0.7125,0.0450,0.8636,0.7808,0.7104,172.5000,0.2875,0.7125,0.2875,0.9550,0.8742,20.0348,0.7273,10,1
65.5000,51,185,15,29,0.6375,0.0750,0.7727,0.6986,0.5987,217.5000,0.3625,0.6375,0.3625,0.9250,0.8292,20.1784,0.7273,10,1
66.0000,57,191,9,23,0.7125,0.0450,0.8636,0.7808,0.7104,172.5000,0.2875,0.7125,0.2875,0.9550,0.8742,19.7463,0.7273,10,1
66.5000,60,194,6,20,0.7500,0.0300,0.9091,0.8219,0.7663,150.0000,0.2500,0.7500,0.2500,0.9700,0.8967,24.3155,0.6632,11,1
67.0000,55,189,11,25,0.6875,0.0550,0.8333,0.7534,0.6732,187.5000,0.3125,0.6875,0.3125,0.9450,0.8592,23.2428,0.6632,11,1
67.5000,48,192,8,32,0.6000,0.0400,0.8571,0.7059,0.6325,240.0000,0.4000,0.6000,0.4000,0.9600,0.8400,20.2817,0.6632,11,1
68.0000,55,193,7,25,0.6875,0.0350,0.8871,0.7746,0.7099,187.5000,0.3125,0.6875,0.3125,0.9650,0.8725,19.7297,0.6632,11,1
68.5000,66,192,8,14,0.8250,0.0400,0.8919,0.8571,0.8042,105.0000,0.1750,0.8250,0.1750,0.9600,0.9150,23.8437,0.6108,12,1
69.0000,56,184,16,24,0.7000,0.0800,0.7778,0.7368,0.6408,180.0000,0.3000,0.7000,0.3000,0.9200,0.8467,20.1822,0.6108,12,1
69.5000,53,187,13,27,0.6625,0.0650,0.8030,0.7260,0.6359,202.5000,0.3375,0.6625,0.3375,0.9350,0.8442,19.7024,0.6108,12,1
70.0000,55,189,11,25,0.6875,0.0550,0.8333,0.7534,0.6732,187.5000,0.3125,0.6875,0.3125,0.9450,0.8592,22.2218,0.6108,12,1
70.5000,61,190,10,19,0.7625,0.0500,0.8592,0.8079,0.7398,142.5000,0.2375,0.7625,0.2375,0.9500,0.8875,23.3178,0.6108,12,1
71.0000,55,181,19,25,0.6875,0.0950,0.7432,0.7143,0.6070,187.5000,0.3125,0.6875,0.3125,0.9050,0.8325,20.2921,0.6108,12,1
71.5000,62,187,13,18,0.7750,0.0650,0.8267,0.8000,0.7243,135.0000,0.2250,0.7750,0.2250,0.9350,0.8817,23.4045,0.6108,12,1
72.0000,54,189,11,26,0.6750,0.0550,0.8308,0.7448,0.6634,195.0000,0.3250,0.6750,0.3250,0.9450,0.8550,20.6896,0.6108,12,1
72.5000,46,194,6,34,0.5750,0.0300,0.8846,0.6970,0.6331,255.0000,0.4250,0.5750,0.4250,0.9700,0.8383,19.8016,0.5655,13,1
73.0000,53,189,11,27,0.6625,0.0550,0.8281,0.7361,0.6536,202.5000,0.3375,0.6625,0.3375,0.9450,0.8508,24.1233,0.5655,13,1
73.5000,58,189,11,22,0.7250,0.0550,0.8406,0.7785,0.7024,165.0000,0.2750,0.7250,0.2750,0.9450,0.8717,21.4049,0.5655,13,1
74.0000,59,191,9,21,0.7375,0.0450,0.8676,0.7973,0.7296,157.5000,0.2625,0.7375,0.2625,0.9550,0.8825,23.3730,0.5655,13,1
74.5000,58,190,10,22,0.7250,0.0500,0.8529,0.7838,0.7111,165.0000,0.2750,0.7250,0.2750,0.9500,0.8750,21.5333,0.5268,14,1
75.0000,56,189,11,24,0.7000,0.0550,0.8358,0.7619,0.6830,180.0000,0.3000,0.7000,0.3000,0.9450,0.8633,22.4177,0.5268,14,1
75.5000,48,191,9,32,0.6000,0.0450,0.8421,0.7007,0.6227,240.0000,0.4000,0.6000,0.4000,0.9550,0.8367,24.0108,0.5268,14,1
76.0000,52,191,9,28,0.6500,0.0450,0.8525,0.7376,0.6621,210.0000,0.3500,0.6500,0.3500,0.9550,0.8533,22.0999,0.5268,14,1
76.5000,60,191,9,20,0.7500,0.0450,0.8696,0.8054,0.7391,150.0000,0.2500,0.7500,0.2500,0.9550,0.8867,22.9345,0.5268,14,1
77.0000,55,189,11,25,0.6875,0.0550,0.8333,0.7534,0.6732,187.5000,0.3125,0.6875,0.3125,0.9450,0.8592,22.2286,0.5268,14,1
77.5000,59,195,5,21,0.7375,0.0250,0.9219,0.8194,0.7665,157.5000,0.2625,0.7375,0.2625,0.9750,0.8958,23.5350,0.5268,14,1
78.0000,56,188,12,24,0.7000,0.0600,0.8235,0.7568,0.6742,180.0000,0.3000,0.7000,0.3000,0.9400,0.8600,21.4602,0.5268,14,1
78.5000,52,191,9,28,0.6500,0.0450,0.8525,0.7376,0.6621,210.0000,0.3500,0.6500,0.3500,0.9550,0.8533,20.7412,0.4932,15,1
79.0000,55,192,8,25,0.6875,0.0400,0.8730,0.7692,0.7005,187.5000,0.3125,0.6875,0.3125,0.9600,0.8692,21.9926,0.4932,15,1
79.5000,59,192,8,21,0.7375,0.0400,0.8806,0.8027,0.7385,157.5000,0.2625,0.7375,0.2625,0.9600,0.8858,20.5599,0.4932,15,1
80.0000,61,190,10,19,0.7625,0.0500,0.8592,0.8079,0.7398,142.5000,0.2375,0.7625,0.2375,0.9500,0.8875,20.0230,0.4932,15,1
80.5000,53,187,13,27,0.6625,0.0650,0.8030,0.7260,0.6359,202.5000,0.3375,0.6625,0.3375,0.9350,0.8442,21.5838,0.4932,15,1
81.0000,57,193,7,23,0.7125,0.0350,0.8906,0.7917,0.7289,172.5000,0.2875,0.7125,0.2875,0.9650,0.8808,19.9147,0.4932,15,1
81.5000,54,188,12,26,0.6750,0.0600,0.8182,0.7397,0.6546,195.0000,0.3250,0.6750,0.3250,0.9400,0.8517,20.8008,0.4932,15,1
82.0000,61,192,8,19,0.7625,0.0400,0.8841,0.8188,0.7574,142.5000,0.2375,0.7625,0.2375,0.9600,0.8942,22.2498,0.4932,15,1
82.5000,56,190,10,24,0.7000,0.0500,0.8485,0.7671,0.6918,180.0000,0.3000,0.7000,0.3000,0.9500,0.8667,23.3355,0.4932,15,1
83.0000,53,192,8,27,0.6625,0.0400,0.8689,0.7518,0.6813,202.5000,0.3375,0.6625,0.3375,0.9600,0.8608,21.0854,0.4932,15,1
83.5000,57,194,6,23,0.7125,0.0300,0.9048,0.7972,0.7384,172.5000,0.2875,0.7125,0.2875,0.9700,0.8842,20.0432,0.4638,16,1
84.0000,59,196,4,21,0.7375,0.0200,0.9365,0.8252,0.7762,157.5000,0.2625,0.7375,0.2625,0.9800,0.8992,22.0748,0.4638,16,1
84.5000,54,193,7,26,0.6750,0.0350,0.8852,0.7660,0.7004,195.0000,0.3250,0.6750,0.3250,0.9650,0.8683,20.9292,0.4378,17,1
85.0000,55,194,6,25,0.6875,0.0300,0.9016,0.7801,0.7196,187.5000,0.3125,0.6875,0.3125,0.9700,0.8758,19.7533,0.4378,17,1
85.5000,51,196,4,29,0.6375,0.0200,0.9273,0.7556,0.7021,217.5000,0.3625,0.6375,0.3625,0.9800,0.8658,22.9911,0.4378,17,1
86.0000,53,194,6,27,0.6625,0.0300,0.8983,0.7626,0.7006,202.5000,0.3375,0.6625,0.3375,0.9700,0.8675,19.6179,0.4378,17,1
86.5000,53,188,12,27,0.6625,0.0600,0.8154,0.7310,0.6447,202.5000,0.3375,0.6625,0.3375,0.9400,0.8475,23.4138,0.4378,17,1
87.0000,46,192,8,34,0.5750,0.0400,0.8519,0.6866,0.6126,255.0000,0.4250,0.5750,0.4250,0.9600,0.8317,21.5456,0.4378,17,1
87.5000,60,192,8,20,0.7500,0.0400,0.8824,0.8108,0.7480,150.0000,0.2500,0.7500,0.2500,0.9600,0.8900,19.8678,0.4378,17,1
88.0000,49,188,12,31,0.6125,0.0600,0.8033,0.6950,0.6047,232.5000,0.3875,0.6125,0.3875,0.9400,0.8308,22.6425,0.4378,17,1
88.5000,65,190,10,15,0.8125,0.0500,0.8667,0.8387,0.7778,112.5000,0.1875,0.8125,0.1875,0.9500,0.9042,21.2031,0.4378,17,1
89.0000,51,195,5,29,0.6375,0.0250,0.9107,0.7500,0.6917,217.5000,0.3625,0.6375,0.3625,0.9750,0.8625,22.5879,0.4378,17,1
89.5000,58,191,9,22,0.7250,0.0450,0.8657,0.7891,0.7200,165.0000,0.2750,0.7250,0.2750,0.9550,0.8783,20.0279,0.4148,18,1
