Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
17, 1, 9.22092, 15.1162, 335.147, 0.408444, 28, 28.79
17, 2, 19.9652, 0, 0, 0, 28, 28.79
