Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
4, 1, 4.53793, 0, 0, 0, 0, 47.508
4, 2, 35.1768, 15.8427, 324.782, 2.96232, 0, 47.508
