Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
2, 1, 4.82759, 0, 0, 0, 2, 57.376
2, 2, 63.7931, 8.49948, 484.421, 2.9966, 2, 57.376
