cycle,flow_id,node,planned_inbound_by_subflow,planned_inbound_by_mainflow
25,1,1,4,4
25,1,3,1,1
25,1,5,1,1
25,1,6,2,2
25,1,12,3,3
25,1,14,8,8
25,1,20,1,1
25,1,21,17,17
25,1,23,1,1
25,1,26,1,1
25,1,27,4,4
25,1,28,1,1
25,1,30,3,3
25,1,34,3,3
25,1,36,17,17
25,1,38,2,2
25,1,41,5,5
25,1,42,2,2
25,1,46,10,10
25,1,50,1,1
25,1,51,12,12
25,1,63,1,1
25,1,64,1,1
25,1,67,2,2
25,1,70,30,30
25,1,71,1,1
25,1,75,5,5
25,1,76,1,1
25,1,79,1,1
25,1,108,2,2
25,1,109,1,1
25,1,110,2,2
25,1,111,5,5
25,1,112,6,6
25,1,114,1,1
25,1,118,2,2
25,1,120,1,1
25,1,122,2,2
25,1,123,2,2
25,1,125,1,1
25,1,129,6,6
25,1,132,2,2
25,1,134,1,1
25,1,135,1,1
25,1,141,12,12
25,1,143,2,2
25,1,151,1,1
25,1,152,8,8
25,1,154,3,3
25,1,155,2,2
25,1,159,1,1
25,1,161,1,1
25,1,164,1,1
25,1,165,9,9
25,1,166,1,1
25,1,167,1,1
25,1,175,1,1
25,1,178,1,1
25,1,180,1,1
25,1,183,1,1
25,1,188,3,3
25,1,189,1,1
25,1,193,2,2
25,1,194,3,3
25,1,196,1,1
25,1,197,1,1
25,1,198,10,10
25,1,217,1,1
25,1,226,1,1
25,1,227,1,1
25,1,228,1,1
25,1,236,1,1
25,1,237,1,1
25,1,238,1,1
25,1,239,2,2
25,1,240,2,2
25,1,246,5,5
25,1,247,2,2
25,1,248,15,15
25,1,249,29,29
25,1,250,29,29
25,1,251,15,15
25,1,252,2,2
25,1,257,11,11
25,1,258,10,10
25,1,259,3,3
25,1,260,1,1
25,1,261,1,1
25,1,271,1,1
25,2,2,3,3
25,2,3,3,3
25,2,4,4,4
25,2,5,3,3
25,2,8,1,1
25,2,12,1,1
25,2,23,1,1
25,2,41,2,2
25,2,45,10,10
25,2,49,1,1
25,2,52,11,11
25,2,57,9,9
25,2,62,4,4
25,2,64,13,13
25,2,66,1,1
25,2,79,7,7
25,2,84,5,5
25,2,86,1,1
25,2,90,1,1
25,2,91,2,2
25,2,92,12,12
25,2,94,11,11
25,2,100,1,1
25,2,101,17,17
25,2,103,1,1
25,2,106,1,1
25,2,107,1,1
25,2,109,1,1
25,2,113,2,2
25,2,134,27,27
25,2,139,8,8
25,2,150,14,14
25,2,152,2,2
25,2,159,3,3
25,2,160,1,1
25,2,161,5,5
25,2,168,3,3
25,2,171,17,17
25,2,172,1,1
25,2,176,2,2
25,2,177,1,1
25,2,180,5,5
25,2,186,1,1
25,2,189,1,1
25,2,190,1,1
25,2,194,1,1
25,2,197,3,3
25,2,199,1,1
25,2,249,3,3
25,2,250,4,4
25,2,259,1,1
25,2,260,6,6
25,2,261,9,9
25,2,270,1,1
25,2,271,6,6
25,2,272,14,14
25,2,274,4,4
25,2,275,2,2
25,2,285,4,4
25,2,286,2,2
25,2,296,14,14
25,2,306,1,1
25,2,307,1,1
