Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
49, 1, 16.0841, 18.4019, 504.822, 5.11227, 42, 75.81
49, 2, 20.0786, 0, 0, 0, 42, 75.81
