node_id,detected,attack_type
1,0,
3,0,
6,1,Interleaved_Jamming_Attack
12,1,Interleaved_Jamming_Attack
14,0,
21,0,
27,1,Interleaved_Jamming_Attack
30,0,
36,0,
38,1,Interleaved_Jamming_Attack
41,0,
42,0,
44,0,
46,0,
75,1,Interleaved_Jamming_Attack
108,0,
110,0,
111,1,Interleaved_Jamming_Attack
122,1,Flow_Stretching_Attack
123,0,
130,1,Interleaved_Jamming_Attack
132,0,
134,1,Interleaved_Jamming_Attack
143,0,
152,1,Split_Path_Attack
154,0,
155,1,Interleaved_Jamming_Attack
161,0,
188,0,
194,0,
195,0,
196,0,
198,0,
237,0,
238,0,
239,0,
240,0,
248,0,
250,0,
251,0,
258,0,
4,1,Flow_Stretching_Attack
7,0,
8,0,
9,0,
13,0,
16,0,
19,0,
33,0,
35,0,
37,0,
45,0,
47,0,
52,0,
54,0,
58,0,
69,0,
74,0,
81,0,
82,0,
90,0,
93,0,
95,0,
99,0,
102,0,
106,1,Flow_Stretching_Attack
107,0,
115,0,
119,0,
126,0,
128,0,
133,0,
137,0,
142,0,
144,0,
146,0,
147,0,
150,0,
153,0,
156,0,
162,0,
163,0,
171,0,
172,0,
176,1,Split_Path_Attack
177,0,
186,0,
190,0,
199,0,
282,0,
283,0,
284,0,
285,0,
286,0,
291,0,
292,0,
293,0,
294,0,
295,0,
296,0,
297,0,
298,0,
307,0,
308,0,
309,0,
