cycle_id,flow_id,node_id,prev_hop_id,hop_delay_sum_ms,hop_delay_count,mean_delay_ms
24,0,1,38,1.768,1,1.768
24,0,1,110,1.656,1,1.656
24,0,1,118,1.424,1,1.424
24,0,3,250,3.939,2,1.9695
24,0,23,260,1.257,1,1.257
24,0,30,67,2.705,1,2.705
24,0,30,70,1.997,1,1.997
24,0,30,155,2.016,1,2.016
24,0,38,70,2.898,1,2.898
24,0,42,70,2.524,1,2.524
24,0,51,108,12.701,5,2.5402
24,0,51,237,3.173,1,3.173
24,0,57,262,8.85,5,1.77
24,0,64,261,4.986,3,1.662
24,0,67,70,1.725,1,1.725
24,0,75,70,1.651,1,1.651
24,0,75,123,2.115,1,2.115
24,0,79,3,3.091,2,1.5455
24,0,79,64,1.895,1,1.895
24,0,79,261,11.541,4,2.88525
24,0,84,193,2.176,1,2.176
24,0,108,194,10.164,5,2.0328
24,0,109,79,9.368,5,1.8736
24,0,110,70,1.829,1,1.829
24,0,111,70,1.467,1,1.467
24,0,112,70,1.653,1,1.653
24,0,112,75,1.495,1,1.495
24,0,118,70,2.415,1,2.415
24,0,122,70,1.848,1,1.848
24,0,122,132,3.304,1,3.304
24,0,123,70,1.571,1,1.571
24,0,123,143,2.234,1,2.234
24,0,130,188,1.873,1,1.873
24,0,132,70,2.024,1,2.024
24,0,134,250,1.7,1,1.7
24,0,143,70,3.313,1,3.313
24,0,155,70,3.371,1,3.371
24,0,159,79,1.384,1,1.384
24,0,159,109,1.628,1,1.628
24,0,165,51,5.133,3,1.711
24,0,166,64,1.893,1,1.893
24,0,188,70,2.166,1,2.166
24,0,189,260,2.056,1,2.056
24,0,193,75,2.044,1,2.044
24,0,194,23,1.964,1,1.964
24,0,194,259,2.034,1,2.034
24,0,198,70,2.974,1,2.974
24,0,237,238,3.998,2,1.999
24,0,238,239,2.191,1,2.191
24,0,239,250,2.145,1,2.145
24,0,240,70,1.525,1,1.525
24,0,250,6,1.539,1,1.539
24,0,250,30,4.867,3,1.62233
24,0,250,70,2.185,1,2.185
24,0,250,193,2.004,1,2.004
24,0,251,70,1.869,1,1.869
24,0,260,79,1.753,1,1.753
24,0,261,57,4.622,2,2.311
24,0,262,6,1.47,1,1.47
24,0,262,111,1.484,1,1.484
24,0,262,112,3.902,2,1.951
24,0,262,198,1.666,1,1.666
24,1,2,168,1.292,1,1.292
24,1,6,84,45.936,21,2.18743
24,1,6,261,14.416,4,3.604
24,1,12,6,4.105,2,2.0525
24,1,22,274,1.954,1,1.954
24,1,31,168,3.16,2,1.58
24,1,57,62,3.051,2,1.5255
24,1,57,73,8.391,5,1.6782
24,1,57,94,1.993,1,1.993
24,1,57,121,3.257,2,1.6285
24,1,57,168,3.006,2,1.503
24,1,57,273,1.832,1,1.832
24,1,62,168,3.226,2,1.613
24,1,64,272,3.264,1,3.264
24,1,73,31,3.036,2,1.518
24,1,73,168,4.226,2,2.113
24,1,73,171,2.6,1,2.6
24,1,84,57,4.488,2,2.244
24,1,84,261,7.45,4,1.8625
24,1,84,262,28.252,15,1.88347
24,1,94,168,3.891,1,3.891
24,1,121,168,3.805,2,1.9025
24,1,130,12,1.189,1,1.189
24,1,130,263,1.609,1,1.609
24,1,139,57,4.01,2,2.005
24,1,139,168,2.109,1,2.109
24,1,139,184,2.393,1,2.393
24,1,139,272,1.659,1,1.659
24,1,139,273,1.764,1,1.764
24,1,171,168,1.756,1,1.756
24,1,184,2,1.503,1,1.503
24,1,184,168,3.467,2,1.7335
24,1,261,57,3.778,2,1.889
24,1,261,64,1.925,1,1.925
24,1,261,139,10.434,6,1.739
24,1,262,57,12.48,7,1.78286
24,1,262,168,11.779,7,1.68271
24,1,262,261,2.04,1,2.04
24,1,262,273,1.571,1,1.571
24,1,263,22,1.586,1,1.586
24,1,272,168,3.811,2,1.9055
24,1,272,184,1.51,1,1.51
24,1,273,168,3.961,2,1.9805
24,1,273,184,1.753,1,1.753
24,1,273,272,1.731,1,1.731
24,1,274,273,2.381,1,2.381
