cycle,flow_id,node,planned_inbound_by_subflow,planned_inbound_by_mainflow
18,1,1,1,1
18,1,3,8,8
18,1,5,7,7
18,1,6,10,10
18,1,12,4,4
18,1,14,8,8
18,1,18,1,1
18,1,20,1,1
18,1,21,5,5
18,1,23,1,1
18,1,24,1,1
18,1,25,1,1
18,1,27,2,2
18,1,30,3,3
18,1,31,1,1
18,1,34,1,1
18,1,36,2,2
18,1,38,1,1
18,1,40,2,2
18,1,41,3,3
18,1,42,1,1
18,1,44,1,1
18,1,46,11,11
18,1,51,1,1
18,1,56,1,1
18,1,59,1,1
18,1,60,1,1
18,1,63,9,9
18,1,64,1,1
18,1,67,3,3
18,1,70,30,30
18,1,71,1,1
18,1,73,1,1
18,1,75,8,8
18,1,76,1,1
18,1,77,13,13
18,1,78,1,1
18,1,79,10,10
18,1,84,7,7
18,1,89,1,1
18,1,108,6,6
18,1,109,4,4
18,1,110,2,2
18,1,111,4,4
18,1,112,8,8
18,1,114,1,1
18,1,116,1,1
18,1,118,3,3
18,1,120,1,1
18,1,121,1,1
18,1,122,3,3
18,1,123,2,2
18,1,124,1,1
18,1,125,1,1
18,1,127,1,1
18,1,129,6,6
18,1,130,7,7
18,1,132,2,2
18,1,134,12,12
18,1,139,6,6
18,1,140,1,1
18,1,141,11,11
18,1,143,2,2
18,1,151,1,1
18,1,152,1,1
18,1,154,2,2
18,1,155,4,4
18,1,161,6,6
18,1,162,1,1
18,1,165,1,1
18,1,166,7,7
18,1,175,1,1
18,1,180,6,6
18,1,183,2,2
18,1,188,2,2
18,1,189,1,1
18,1,193,10,10
18,1,194,13,13
18,1,195,2,2
18,1,196,2,2
18,1,197,1,1
18,1,198,8,8
18,1,217,1,1
18,1,225,1,1
18,1,226,1,1
18,1,227,1,1
18,1,228,1,1
18,1,236,1,1
18,1,237,1,1
18,1,238,1,1
18,1,239,2,2
18,1,240,2,2
18,1,241,3,3
18,1,246,1,1
18,1,247,1,1
18,1,248,1,1
18,1,249,4,4
18,1,250,5,5
18,1,251,4,4
18,1,252,1,1
18,1,257,1,1
18,1,258,10,10
18,1,259,17,17
18,1,260,5,5
18,1,261,11,11
18,1,262,4,4
18,1,263,1,1
18,1,268,1,1
18,1,270,1,1
18,1,271,1,1
18,2,14,7,7
18,2,20,10,10
18,2,21,8,8
18,2,26,4,4
18,2,34,7,7
18,2,40,26,26
18,2,46,3,3
18,2,48,1,1
18,2,50,1,1
18,2,51,1,1
18,2,55,1,1
18,2,59,7,7
18,2,61,3,3
18,2,63,6,6
18,2,68,6,6
18,2,71,7,7
18,2,72,1,1
18,2,78,2,2
18,2,93,1,1
18,2,102,1,1
18,2,108,2,2
18,2,115,1,1
18,2,116,2,2
18,2,129,11,11
18,2,135,8,8
18,2,136,12,12
18,2,141,7,7
18,2,146,1,1
18,2,153,1,1
18,2,162,4,4
18,2,163,1,1
18,2,165,11,11
18,2,167,3,3
18,2,170,1,1
18,2,174,5,5
18,2,178,1,1
18,2,182,1,1
18,2,187,1,1
18,2,192,1,1
18,2,194,2,2
18,2,234,1,1
18,2,235,2,2
18,2,236,1,1
18,2,237,1,1
18,2,245,1,1
18,2,246,1,1
18,2,247,12,12
18,2,256,3,3
18,2,257,6,6
18,2,258,4,4
18,2,267,1,1
18,2,268,5,5
18,2,269,3,3
18,2,279,1,1
18,2,280,1,1
