Cycle No., Flow No., PDR_k (%), d_k (ms), e2e_latency (ms), Jitter (ms), lambda_t, cpu_overhead (ms)
6, 1, 4.396, 0, 0, 0, 40, 46.836
6, 2, 22.8573, 13.1072, 144.204, 2.59356, 40, 46.836
