node_id,reported_vx,reported_vy,derived_vx,derived_vy,spoof_dev
0,0.928601,-13.7988,0.928593,-13.7986,0.000144
1,-8.187559,0.199938,-8.187472,0.199930,0.000088
2,0.084128,0.014034,-0.000008,0.000000,0.085298
3,-0.006763,0.001806,-7.047787,9.164120,11.555260
4,0.000000,0.000000,-16.708299,0.272163,0.000100
5,-5.265234,11.907884,-5.265214,11.907416,0.000468
6,0.010032,-7.199993,0.010040,-7.199591,0.000402
7,11.500634,-1.170052,11.500713,-1.170052,0.000079
8,-0.069997,7.689681,-0.069942,7.683653,0.006029
9,-0.167927,0.014034,-7.033642,0.310165,6.872098
10,0.000000,0.000000,0.000000,0.000000,0.000100
11,4.639791,-13.219396,4.639526,-13.218632,0.000809
12,0.000000,0.000000,-1.010000,9.480000,0.000100
13,15.964739,-0.409898,15.964696,-0.410038,0.000146
14,8.881812,-12.788210,8.877361,-12.781782,0.007819
15,-0.084128,0.139942,-13.763618,0.440166,13.682784
16,0.000000,0.000000,0.000000,0.000000,0.000100
17,-4.698109,11.085548,-4.697911,11.085091,0.000498
18,-3.550087,8.930228,-3.549788,8.929492,0.000795
19,0.048998,0.041999,-9.278411,-4.554359,10.398417
20,5.237614,-10.035427,5.235346,-10.031120,0.004868
21,8.981123,-12.151195,8.981256,-12.151379,0.000227
22,8.397643,4.568718,8.391396,4.565319,0.007112
23,0.000000,0.000000,0.000000,0.000000,0.000100
24,-0.006763,0.001806,-1.131372,1.832219,2.148292
25,0.139990,-11.079116,0.139990,-11.078793,0.000323
26,-4.525277,8.670079,-4.525606,8.670700,0.000703
27,0.389882,15.825198,0.389886,15.825516,0.000318
28,1.170427,10.283608,1.170508,10.284243,0.000640
29,6.100739,-11.581411,6.100713,-11.581366,0.000052
30,0.470168,18.594057,0.470182,18.594323,0.000267
31,0.000000,0.000000,0.000000,0.000000,0.000100
32,0.000000,0.000000,-5.070000,9.260000,0.000100
33,0.084128,-0.139942,11.659155,-0.869810,11.598016
34,10.055611,8.016501,10.048250,8.010633,0.009414
35,0.000000,0.000000,0.000000,0.000000,0.000100
36,-13.477095,-11.931803,-13.476688,-11.931580,0.000463
37,0.006763,0.001806,0.120219,5.670475,5.669804
38,-0.196112,-0.039243,-0.196685,-0.039368,0.000586
39,-5.581357,10.532561,-5.579277,10.529078,0.004057
40,2.601709,-0.140040,9.653932,-12.972071,14.642229
41,-0.229753,-4.954676,-0.229588,-4.951118,0.003561
42,-6.988085,1.559573,-6.983082,1.558456,0.005127
43,0.000000,0.000000,8.953773,-0.910382,0.000100
44,-2.090460,-6.091271,-2.090601,-6.091651,0.000406
