node_id,detected,attack_type
1,1,Interleaved_Jamming_Attack
6,1,Interleaved_Jamming_Attack
12,1,Interleaved_Jamming_Attack
24,0,
27,1,Split_Path_Attack
30,0,
34,1,Split_Path_Attack
36,1,Interleaved_Jamming_Attack
38,0,
41,1,Interleaved_Jamming_Attack
44,1,Interleaved_Jamming_Attack
51,0,
56,0,
67,0,
75,0,
110,0,
111,0,
118,0,
122,1,Flow_Stretching_Attack
123,0,
132,0,
134,0,
143,1,Interleaved_Jamming_Attack
154,0,
155,1,Interleaved_Jamming_Attack
188,1,Interleaved_Jamming_Attack
193,0,
195,0,
197,1,Split_Path_Attack
198,0,
238,0,
239,0,
240,0,
249,1,Split_Path_Attack
250,0,
251,1,Interleaved_Jamming_Attack
28,0,
42,1,Interleaved_Jamming_Attack
70,0,
87,0,
105,0,
125,0,
140,0,
228,1,Split_Path_Attack
230,0,
241,0,
252,0,
