cycle_id,sim_time_s,flow_id,flow_source,flow_destination,forwarding_node_id,forwarding_node_type,next_hop_id,next_hop_type,unique_inbound_count,unique_outbound_to_next_hop,observed_ff,expected_ff_planned,ff_deviation
24,25.0001,0,70,68,3,VEHICLE,79,VEHICLE,3,1,0.3333,0.0833,0.2500
24,25.0001,0,70,68,3,VEHICLE,134,RSU,3,1,0.3333,0.0833,0.2500
24,25.0001,0,70,68,3,VEHICLE,180,RSU,3,1,0.3333,0.0833,0.2500
24,25.0001,0,70,68,6,VEHICLE,193,RSU,1,1,1.0000,0.3077,0.6923
24,25.0001,0,70,68,23,VEHICLE,108,RSU,1,1,1.0000,0.1250,0.8750
24,25.0001,0,70,68,38,VEHICLE,1,VEHICLE,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,51,VEHICLE,236,RSU,1,1,1.0000,0.2857,0.7143
24,25.0001,0,70,68,75,VEHICLE,30,VEHICLE,2,2,1.0000,1.0000,0.0000
24,25.0001,0,70,68,79,VEHICLE,5,VEHICLE,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,110,RSU,1,VEHICLE,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,112,RSU,30,VEHICLE,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,122,RSU,41,VEHICLE,1,1,1.0000,0.0000,1.0000
24,25.0001,0,70,68,123,RSU,239,RSU,1,1,1.0000,0.2500,0.7500
24,25.0001,0,70,68,132,RSU,1,VEHICLE,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,134,RSU,5,VEHICLE,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,154,RSU,12,VEHICLE,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,180,RSU,196,RSU,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,193,RSU,3,VEHICLE,6,2,0.3333,0.6000,-0.2667
24,25.0001,0,70,68,193,RSU,261,RSU,6,4,0.6667,0.4000,0.2667
24,25.0001,0,70,68,196,RSU,23,VEHICLE,1,1,1.0000,0.1667,0.8333
24,25.0001,0,70,68,198,RSU,1,VEHICLE,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,237,RSU,51,VEHICLE,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,238,RSU,237,RSU,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,239,RSU,238,RSU,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,240,RSU,75,VEHICLE,1,1,1.0000,1.0000,0.0000
24,25.0001,0,70,68,250,RSU,3,VEHICLE,1,1,1.0000,1.0000,0.0000
24,25.0001,1,168,155,2,VEHICLE,139,RSU,1,1,1.0000,1.0000,0.0000
24,25.0001,1,168,155,6,VEHICLE,12,VEHICLE,17,17,1.0000,1.0000,0.0000
24,25.0001,1,168,155,31,VEHICLE,73,VEHICLE,2,2,1.0000,0.0000,1.0000
24,25.0001,1,168,155,57,VEHICLE,84,RSU,16,4,0.2500,0.3077,-0.0577
24,25.0001,1,168,155,57,VEHICLE,261,RSU,16,4,0.2500,0.3077,-0.0577
24,25.0001,1,168,155,57,VEHICLE,262,RSU,16,8,0.5000,0.3846,0.1154
24,25.0001,1,168,155,62,VEHICLE,57,VEHICLE,3,1,0.3333,0.2000,0.1333
24,25.0001,1,168,155,62,VEHICLE,84,RSU,3,1,0.3333,0.2000,0.1333
24,25.0001,1,168,155,62,VEHICLE,262,RSU,3,1,0.3333,0.6000,-0.2667
24,25.0001,1,168,155,64,VEHICLE,57,VEHICLE,1,1,1.0000,1.0000,0.0000
24,25.0001,1,168,155,73,VEHICLE,139,RSU,3,3,1.0000,1.0000,0.0000
24,25.0001,1,168,155,84,RSU,6,VEHICLE,17,17,1.0000,0.4444,0.5556
24,25.0001,1,168,155,94,RSU,139,RSU,2,2,1.0000,1.0000,0.0000
24,25.0001,1,168,155,121,RSU,139,RSU,2,2,1.0000,1.0000,0.0000
24,25.0001,1,168,155,139,RSU,57,VEHICLE,12,8,0.6667,0.5556,0.1111
24,25.0001,1,168,155,139,RSU,261,RSU,12,4,0.3333,0.4444,-0.1111
24,25.0001,1,168,155,171,RSU,139,RSU,1,1,1.0000,1.0000,0.0000
24,25.0001,1,168,155,184,RSU,272,RSU,2,1,0.5000,0.2000,0.3000
24,25.0001,1,168,155,184,RSU,273,RSU,2,1,0.5000,0.2000,0.3000
24,25.0001,1,168,155,262,RSU,84,RSU,12,12,1.0000,0.0909,0.9091
24,25.0001,1,168,155,272,RSU,64,VEHICLE,3,1,0.3333,0.1667,0.1667
24,25.0001,1,168,155,272,RSU,261,RSU,3,1,0.3333,0.1667,0.1667
24,25.0001,1,168,155,272,RSU,273,RSU,3,1,0.3333,0.1667,0.1667
24,25.0001,1,168,155,273,RSU,62,VEHICLE,4,1,0.2500,0.1429,0.1071
24,25.0001,1,168,155,273,RSU,139,RSU,4,1,0.2500,0.1429,0.1071
24,25.0001,1,168,155,273,RSU,262,RSU,4,1,0.2500,0.1429,0.1071
24,25.0001,1,168,155,273,RSU,274,RSU,4,1,0.2500,0.1429,0.1071
